session_id,query_id,candidate,search_variant,comparison,before_gold_ranks,after_gold_ranks,transition,promoted_gold,demoted_gold,max_promotion,max_demotion
S001,S001-Q007,A1,Baseline,A1 vs Old under Baseline,"{""2631e802-75be-5089-9418-baece6a717cf"": 3}","{""2631e802-75be-5089-9418-baece6a717cf"": 3}",UNCHANGED_HIT,0,0,0,0
S001,S001-Q007,A1,P2,A1 vs Old under P2,"{""2631e802-75be-5089-9418-baece6a717cf"": 3}","{""2631e802-75be-5089-9418-baece6a717cf"": 3}",UNCHANGED_HIT,0,0,0,0
S001,S001-Q007,A2,Baseline,A2 vs Old under Baseline,"{""2631e802-75be-5089-9418-baece6a717cf"": 3}","{""2631e802-75be-5089-9418-baece6a717cf"": 3}",UNCHANGED_HIT,0,0,0,0
S001,S001-Q007,A2,P2,A2 vs Old under P2,"{""2631e802-75be-5089-9418-baece6a717cf"": 3}","{""2631e802-75be-5089-9418-baece6a717cf"": 3}",UNCHANGED_HIT,0,0,0,0
S001,S001-Q007,A3,Baseline,A3 vs Old under Baseline,"{""2631e802-75be-5089-9418-baece6a717cf"": 3}","{""2631e802-75be-5089-9418-baece6a717cf"": 3}",UNCHANGED_HIT,0,0,0,0
S001,S001-Q007,A3,P2,A3 vs Old under P2,"{""2631e802-75be-5089-9418-baece6a717cf"": 3}","{""2631e802-75be-5089-9418-baece6a717cf"": 3}",UNCHANGED_HIT,0,0,0,0
S001,S001-Q011,A1,Baseline,A1 vs Old under Baseline,"{""2631e802-75be-5089-9418-baece6a717cf"": 6, ""dc12b285-c21d-5cfe-84a2-d016fce5ffe6"": 1}","{""2631e802-75be-5089-9418-baece6a717cf"": 7, ""dc12b285-c21d-5cfe-84a2-d016fce5ffe6"": 5}",UNCHANGED_HIT,0,0,-1,4
S001,S001-Q011,A1,P2,A1 vs Old under P2,"{""2631e802-75be-5089-9418-baece6a717cf"": 6, ""dc12b285-c21d-5cfe-84a2-d016fce5ffe6"": 1}","{""2631e802-75be-5089-9418-baece6a717cf"": 7, ""dc12b285-c21d-5cfe-84a2-d016fce5ffe6"": 5}",UNCHANGED_HIT,0,0,-1,4
S001,S001-Q011,A2,Baseline,A2 vs Old under Baseline,"{""2631e802-75be-5089-9418-baece6a717cf"": 6, ""dc12b285-c21d-5cfe-84a2-d016fce5ffe6"": 1}","{""2631e802-75be-5089-9418-baece6a717cf"": 7, ""dc12b285-c21d-5cfe-84a2-d016fce5ffe6"": 6}",HURT,0,1,-1,5
S001,S001-Q011,A2,P2,A2 vs Old under P2,"{""2631e802-75be-5089-9418-baece6a717cf"": 6, ""dc12b285-c21d-5cfe-84a2-d016fce5ffe6"": 1}","{""2631e802-75be-5089-9418-baece6a717cf"": 7, ""dc12b285-c21d-5cfe-84a2-d016fce5ffe6"": 6}",HURT,0,1,-1,5
S001,S001-Q011,A3,Baseline,A3 vs Old under Baseline,"{""2631e802-75be-5089-9418-baece6a717cf"": 6, ""dc12b285-c21d-5cfe-84a2-d016fce5ffe6"": 1}","{""2631e802-75be-5089-9418-baece6a717cf"": 7, ""dc12b285-c21d-5cfe-84a2-d016fce5ffe6"": 6}",HURT,0,1,-1,5
S001,S001-Q011,A3,P2,A3 vs Old under P2,"{""2631e802-75be-5089-9418-baece6a717cf"": 6, ""dc12b285-c21d-5cfe-84a2-d016fce5ffe6"": 1}","{""2631e802-75be-5089-9418-baece6a717cf"": 7, ""dc12b285-c21d-5cfe-84a2-d016fce5ffe6"": 6}",HURT,0,1,-1,5
S001,S001-Q013,A1,Baseline,A1 vs Old under Baseline,"{""2631e802-75be-5089-9418-baece6a717cf"": 9, ""9b4b60a1-f0f9-5368-b4ce-b441752321bb"": 7}","{""2631e802-75be-5089-9418-baece6a717cf"": 9, ""9b4b60a1-f0f9-5368-b4ce-b441752321bb"": 6}",UNCHANGED_MISS,0,0,1,0
S001,S001-Q013,A1,P2,A1 vs Old under P2,"{""2631e802-75be-5089-9418-baece6a717cf"": 9, ""9b4b60a1-f0f9-5368-b4ce-b441752321bb"": 3}","{""2631e802-75be-5089-9418-baece6a717cf"": 9, ""9b4b60a1-f0f9-5368-b4ce-b441752321bb"": 8}",HURT,0,1,0,5
S001,S001-Q013,A2,Baseline,A2 vs Old under Baseline,"{""2631e802-75be-5089-9418-baece6a717cf"": 9, ""9b4b60a1-f0f9-5368-b4ce-b441752321bb"": 7}","{""2631e802-75be-5089-9418-baece6a717cf"": 9, ""9b4b60a1-f0f9-5368-b4ce-b441752321bb"": 3}",RESCUED,1,0,4,0
S001,S001-Q013,A2,P2,A2 vs Old under P2,"{""2631e802-75be-5089-9418-baece6a717cf"": 9, ""9b4b60a1-f0f9-5368-b4ce-b441752321bb"": 3}","{""2631e802-75be-5089-9418-baece6a717cf"": 9, ""9b4b60a1-f0f9-5368-b4ce-b441752321bb"": 2}",UNCHANGED_HIT,0,0,1,0
S001,S001-Q013,A3,Baseline,A3 vs Old under Baseline,"{""2631e802-75be-5089-9418-baece6a717cf"": 9, ""9b4b60a1-f0f9-5368-b4ce-b441752321bb"": 7}","{""2631e802-75be-5089-9418-baece6a717cf"": 9, ""9b4b60a1-f0f9-5368-b4ce-b441752321bb"": 7}",UNCHANGED_MISS,0,0,0,0
S001,S001-Q013,A3,P2,A3 vs Old under P2,"{""2631e802-75be-5089-9418-baece6a717cf"": 9, ""9b4b60a1-f0f9-5368-b4ce-b441752321bb"": 3}","{""2631e802-75be-5089-9418-baece6a717cf"": 9, ""9b4b60a1-f0f9-5368-b4ce-b441752321bb"": 5}",UNCHANGED_HIT,0,0,0,2
S001,S001-Q014,A1,Baseline,A1 vs Old under Baseline,"{""f99dbe58-f286-568d-b1fe-f1ebe59c0e0a"": 1}","{""f99dbe58-f286-568d-b1fe-f1ebe59c0e0a"": 6}",HURT,0,1,-5,5
S001,S001-Q014,A1,P2,A1 vs Old under P2,"{""f99dbe58-f286-568d-b1fe-f1ebe59c0e0a"": 3}","{""f99dbe58-f286-568d-b1fe-f1ebe59c0e0a"": 7}",HURT,0,1,-4,4
