Session,source_turn_id,Add Prompt,Current User,Summary opening,current_user_bigram_coverage,best_following_turn_id,best_following_user_bigram_coverage,following_minus_current_coverage,potential_following_task_dominance,current_user_tasks,summary_opening_tasks,following_only_tasks_in_summary,current_tasks_preserved,current_user_from_frozen_session_matches
S001,S001-Q001,当前前后文 Prompt（主要基线）,先帮我梳理一下贵州茅台2023—2025年的主要财务变化。,"用户要求梳理贵州茅台2023—2025年主要财务变化。助手基于《贵州茅台2025年年度报告或年度报告摘要》（披露日期2026-04-17，来源地址https://static.cninfo.com.cn/finalpage/2026-04-17/1225114731.PDF），确认三年完整财年数据：营业收入2023年1,476.94亿元、2024年1,708.99亿元、2025年1,688.38亿元，同比分别为+15.71%、-1.21",0.6666666666666666,S001-Q004,0.21428571428571427,-0.45238095238095233,False,[],"[""口径核验"", ""同比解释"", ""来源核验""]","[""口径核验"", ""来源核验""]",[],True
S001,S001-Q002,当前前后文 Prompt（主要基线）,刚才先看了整体变化，接着确认一下年报来源、单位和三年比较口径是否一致；先说明能确认的事实，再说还不能确认的原因。,"用户要求确认贵州茅台2023-2025年年报来源、单位和三年比较口径是否一致，并先说明能确认的事实再说明不能确认的原因。助手基于《贵州茅台2025年年度报告或年度报告摘要》（披露日期2026-04-17，来源地址https://static.cninfo.com.cn/finalpage/2026-04-17/1225114731.PDF），确认三年完整财年数据：营业收入2023年1,476.94亿元、2024年1,708.99亿元、2",0.6304347826086957,S001-Q004,0.21428571428571427,-0.4161490683229814,False,"[""原因解释"", ""口径核验"", ""同步比较"", ""来源核验""]","[""原因解释"", ""口径核验"", ""同步比较"", ""来源核验""]",[],"[""原因解释"", ""口径核验"", ""同步比较"", ""来源核验""]",True
S001,S001-Q003,当前前后文 Prompt（主要基线）,口径确认后，把刚才提到的关键指标逐年列出来，哪一年变化最明显；请从当前岗位最关心的证据开始回答。,"用户要求将贵州茅台2023-2025年关键指标逐年列出并指出变化最明显的年份，从权益研究员岗位最关心的证据开始回答。助手基于《贵州茅台2025年年度报告或年度报告摘要》（披露日期2026-04-17，来源地址https://static.cninfo.com.cn/finalpage/2026-04-17/1225114731.PDF），确认三年完整财年数据：营业收入2023年1,476.94亿元、2024年1,708.99亿元、202",0.5348837209302325,S001-Q004,0.23809523809523808,-0.2967884828349944,False,"[""口径核验"", ""拐点定位""]","[""口径核验"", ""来源核验""]","[""来源核验""]","[""口径核验""]",True
S001,S001-Q004,当前前后文 Prompt（主要基线）,沿着上一轮的年度变化看，收入规模和利润表现是同步的吗；不要只比较2023年和2025年两个端点。,"用户基于前文已确认的贵州茅台2023-2025年财务数据，询问收入规模与利润表现是否同步，并要求不要只比较2023年和2025年两个端点。助手基于《贵州茅台2025年年度报告或年度报告摘要》（披露日期2026-04-17，来源地址https://static.cninfo.com.cn/finalpage/2026-04-17/1225114731.PDF），确认三年完整财年数据：营业收入2023年1,476.94亿元、2024年1,7",0.6190476190476191,S001-Q005,0.15384615384615385,-0.4652014652014652,False,"[""同步比较""]","[""口径核验"", ""同步比较"", ""来源核验""]","[""口径核验"", ""来源核验""]","[""同步比较""]",True
S001,S001-Q005,当前前后文 Prompt（主要基线）,刚才如果识别出了拐点，它主要发生在2024年还是2025年；如果指标方向不同，请保留这种冲突。,"用户基于前文已确认的贵州茅台2023-2025年财务数据，询问拐点主要发生在2024年还是2025年，并要求若指标方向不同则保留冲突。助手基于《贵州茅台2025年年度报告或年度报告摘要》（披露日期2026-04-17，来源地址https://static.cninfo.com.cn/finalpage/2026-04-17/1225114731.PDF），确认三年完整财年数据：营业收入2023年1,476.94亿元、2024年1,708",0.5641025641025641,S001-Q006,0.02564102564102564,-0.5384615384615384,False,"[""拐点定位""]","[""口径核验"", ""拐点定位"", ""来源核验""]","[""口径核验"", ""来源核验""]","[""拐点定位""]",True
S001,S001-Q006,当前前后文 Prompt（主要基线）,再把扣非净利润接进来，前面对盈利趋势的判断需要调整吗；把结论写得可以回到公开来源复算。,"用户基于前文已确认的贵州茅台2023-2025年财务数据，要求将扣非净利润纳入分析，判断前面对盈利趋势的判断是否需要调整，并要求结论可回到公开来源复算。助手基于《贵州茅台2025年年度报告或年度报告摘要》（披露日期2026-04-17，来源地址https://static.cninfo.com.cn/finalpage/2026-04-17/1225114731.PDF），确认三年完整财年数据：营业收入2023年1,476.94亿元、2",0.6153846153846154,S001-Q007,0.09523809523809523,-0.5201465201465202,False,"[""判断修订"", ""口径核验"", ""可复算性"", ""来源核验"", ""盈利质量""]","[""判断修订"", ""口径核验"", ""可复算性"", ""来源核验"", ""盈利质量""]",[],"[""判断修订"", ""口径核验"", ""可复算性"", ""来源核验"", ""盈利质量""]",True
S001,S001-Q007,当前前后文 Prompt（主要基线）,既然利润口径已经拆开，经营现金流是否支持刚才的盈利质量判断；请明确哪些是年报原数、哪些是计算结果。,"用户基于前文已确认的贵州茅台2023-2025年财务数据，询问经营现金流是否支持此前关于盈利质量的判断，并要求明确哪些是年报原数、哪些是计算结果。助手基于《贵州茅台2025年年度报告或年度报告摘要》（披露日期2026-04-17，来源地址https://static.cninfo.com.cn/finalpage/2026-04-17/1225114731.PDF），确认三年完整财年数据：营业收入2023年1,476.94亿元、2024",0.5952380952380952,S001-Q009,0.0975609756097561,-0.49767711962833916,False,"[""口径核验"", ""可复算性"", ""来源核验"", ""现金质量"", ""盈利质量"", ""验证""]","[""口径核验"", ""可复算性"", ""来源核验"", ""现金质量"", ""盈利质量"", ""验证""]",[],"[""口径核验"", ""可复算性"", ""来源核验"", ""现金质量"", ""盈利质量"", ""验证""]",True
S001,S001-Q008,当前前后文 Prompt（主要基线）,把前面的现金和利润变化放到总资产路径里看，资产扩张得到经营结果支撑了吗；把口径限制放在结论里，不要另作假设。,"用户基于前文已确认的贵州茅台2023-2025年财务数据，要求将现金和利润变化放入总资产路径中分析，判断资产扩张是否得到经营结果支撑，并将口径限制写入结论。助手基于《贵州茅台2025年年度报告或年度报告摘要》（披露日期2026-04-17，来源地址https://static.cninfo.com.cn/finalpage/2026-04-17/1225114731.PDF），确认三年完整财年数据：营业收入2023年1,476.94亿元",0.5,S001-Q011,0.15555555555555556,-0.34444444444444444,False,"[""口径核验""]","[""口径核验"", ""来源核验""]",[],"[""口径核验""]",True
S001,S001-Q009,当前前后文 Prompt（主要基线）,接着看股东权益，前面这些经营变化最终有没有转化为权益积累；把2024年这个中间点也保留下来。,"用户基于前文已确认的贵州茅台2023-2025年财务数据，要求分析经营变化是否转化为权益积累，并保留2024年中间点。助手基于《贵州茅台2025年年度报告或年度报告摘要》（披露日期2026-04-17，来源地址https://static.cninfo.com.cn/finalpage/2026-04-17/1225114731.PDF），确认三年完整财年数据：营业收入2023年1,476.94亿元、2024年1,708.99亿元、20",0.3902439024390244,S001-Q011,0.13333333333333333,-0.2569105691056911,False,"[""拐点定位""]","[""口径核验"", ""拐点定位"", ""来源核验""]","[""口径核验""]","[""拐点定位""]",True
S001,S001-Q010,当前前后文 Prompt（主要基线）,综合刚才几轮，如果现在写一段研究底稿，最稳妥的阶段性结论是什么；结论要能直接接到下一轮继续追问。,"用户基于前文已确认的贵州茅台2023-2025年财务数据，要求综合前几轮分析，给出最稳妥的阶段性结论，并确保结论能直接衔接下一轮追问。助手基于《贵州茅台2025年年度报告或年度报告摘要》（披露日期2026-04-17，来源地址https://static.cninfo.com.cn/finalpage/2026-04-17/1225114731.PDF），确认三年完整财年数据：营业收入2023年1,476.94亿元、2024年1,708",0.35714285714285715,S001-Q011,0.13333333333333333,-0.22380952380952382,False,"[""一般分析判断""]","[""口径核验"", ""来源核验""]","[""口径核验""]",[],True
