requirement_id,query_id,session_id,turn_index,group_index,is_or,gold_members,longterm_rank,longterm_hit_at_5,longterm_hit_at_20,longterm_hit_at_5_old,midterm_hit_at_5,gold_missing_from_store,union_hit
S001-Q007::G1,S001-Q007,S001,6,1,False,"[""S001-Q001""]",1,True,True,True,True,[],True
S001-Q011::G1,S001-Q011,S001,10,1,False,"[""S001-Q001""]",1,True,True,True,True,[],True
S001-Q011::G2,S001-Q011,S001,10,2,False,"[""S001-Q007""]",4,True,True,False,True,[],True
S001-Q013::G1,S001-Q013,S001,12,1,False,"[""S001-Q001""]",3,True,True,True,False,[],True
S001-Q013::G2,S001-Q013,S001,12,2,False,"[""S001-Q006""]",9,False,True,False,True,[],True
S001-Q014::G1,S001-Q014,S001,13,1,False,"[""S001-Q008""]",3,True,True,True,True,[],True
S001-Q021::G1,S001-Q021,S001,20,1,False,"[""S001-Q015""]",,False,False,False,False,[],False
S001-Q022::G1,S001-Q022,S001,21,1,False,"[""S001-Q012""]",12,False,True,False,False,[],True
S001-Q022::G2,S001-Q022,S001,21,2,False,"[""S001-Q018""]",,False,False,False,False,"[""S001-Q018""]",False
S001-Q026::G1,S001-Q026,S001,25,1,False,"[""S001-Q014""]",4,True,True,True,True,[],True
S001-Q026::G2,S001-Q026,S001,25,2,False,"[""S001-Q019""]",,False,False,False,False,"[""S001-Q019""]",False
S001-Q028::G1,S001-Q028,S001,27,1,False,"[""S001-Q022""]",11,False,True,False,True,[],True
S001-Q033::G1,S001-Q033,S001,32,1,False,"[""S001-Q023""]",,False,False,False,True,[],True
S001-Q033::G2,S001-Q033,S001,32,2,False,"[""S001-Q029""]",16,False,True,False,False,[],True
S001-Q035::G1,S001-Q035,S001,34,1,False,"[""S001-Q029""]",3,True,True,True,False,[],True
S001-Q039::G1,S001-Q039,S001,38,1,False,"[""S001-Q027""]",11,False,True,False,True,[],True
S001-Q039::G2,S001-Q039,S001,38,2,False,"[""S001-Q032""]",,False,False,False,False,[],False
S001-Q042::G1,S001-Q042,S001,41,1,False,"[""S001-Q036""]",,False,False,False,False,[],False
S001-Q044::G1,S001-Q044,S001,43,1,False,"[""S001-Q034""]",,False,False,False,True,[],True
S001-Q044::G2,S001-Q044,S001,43,2,False,"[""S001-Q040""]",,False,False,False,False,[],False
S001-Q049::G1,S001-Q049,S001,48,1,False,"[""S001-Q043""]",16,False,True,False,False,[],True
S002-Q007::G1,S002-Q007,S002,6,1,False,"[""S002-Q001""]",1,True,True,True,True,[],True
S002-Q011::G1,S002-Q011,S002,10,1,False,"[""S002-Q001""]",5,True,True,False,False,[],True
S002-Q011::G2,S002-Q011,S002,10,2,False,"[""S002-Q007""]",3,True,True,True,True,[],True
S002-Q013::G1,S002-Q013,S002,12,1,False,"[""S002-Q001""]",1,True,True,True,False,[],True
S002-Q013::G2,S002-Q013,S002,12,2,False,"[""S002-Q006""]",5,True,True,True,True,[],True
S002-Q014::G1,S002-Q014,S002,13,1,False,"[""S002-Q008""]",5,True,True,True,False,[],True
S002-Q021::G1,S002-Q021,S002,20,1,False,"[""S002-Q015""]",6,False,True,False,False,[],True
S002-Q022::G1,S002-Q022,S002,21,1,False,"[""S002-Q012""]",13,False,True,False,False,[],True
S002-Q022::G2,S002-Q022,S002,21,2,False,"[""S002-Q018""]",2,True,True,True,False,[],True
S002-Q026::G1,S002-Q026,S002,25,1,False,"[""S002-Q014""]",9,False,True,False,False,[],True
S002-Q026::G2,S002-Q026,S002,25,2,False,"[""S002-Q019""]",12,False,True,False,False,[],True
S002-Q028::G1,S002-Q028,S002,27,1,False,"[""S002-Q022""]",10,False,True,False,True,[],True
S002-Q033::G1,S002-Q033,S002,32,1,False,"[""S002-Q023""]",12,False,True,False,True,[],True
S002-Q033::G2,S002-Q033,S002,32,2,False,"[""S002-Q029""]",14,False,True,False,False,[],True
S002-Q035::G1,S002-Q035,S002,34,1,False,"[""S002-Q029""]",13,False,True,False,False,[],True
S002-Q039::G1,S002-Q039,S002,38,1,False,"[""S002-Q027""]",,False,False,False,False,[],False
S002-Q039::G2,S002-Q039,S002,38,2,False,"[""S002-Q032""]",11,False,True,False,True,[],True
S002-Q044::G2,S002-Q044,S002,43,2,False,"[""S002-Q040""]",7,False,True,False,True,[],True
S002-Q049::G1,S002-Q049,S002,48,1,False,"[""S002-Q043""]",9,False,True,False,True,[],True
S002-Q052::G1,S002-Q052,S002,51,1,False,"[""S002-Q040""]",2,True,True,True,True,[],True
S002-Q052::G2,S002-Q052,S002,51,2,False,"[""S002-Q045""]",,False,False,False,False,[],False
S002-Q055::G1,S002-Q055,S002,54,1,False,"[""S002-Q045""]",15,False,True,False,False,[],True
S002-Q055::G2,S002-Q055,S002,54,2,False,"[""S002-Q051""]",,False,False,False,False,[],False
S002-Q056::G1,S002-Q056,S002,55,1,False,"[""S002-Q050""]",,False,False,False,False,[],False
S002-Q063::G1,S002-Q063,S002,62,1,False,"[""S002-Q057""]",,False,False,False,False,[],False
S002-Q065::G1,S002-Q065,S002,64,1,False,"[""S002-Q053""]",,False,False,False,True,[],True
S002-Q065::G2,S002-Q065,S002,64,2,False,"[""S002-Q058""]",,False,False,False,False,[],False
S002-Q066::G1,S002-Q066,S002,65,1,False,"[""S002-Q056""]",12,False,True,False,True,[],True
S002-Q066::G2,S002-Q066,S002,65,2,False,"[""S002-Q062""]",7,False,True,False,False,[],True
S002-Q070::G1,S002-Q070,S002,69,1,False,"[""S002-Q064""]",,False,False,False,False,[],False
S003-Q007::G1,S003-Q007,S003,6,1,False,"[""S003-Q001""]",1,True,True,True,True,[],True
S003-Q011::G1,S003-Q011,S003,10,1,False,"[""S003-Q001""]",1,True,True,True,True,[],True
S003-Q011::G2,S003-Q011,S003,10,2,False,"[""S003-Q007""]",2,True,True,True,True,[],True
S003-Q013::G1,S003-Q013,S003,12,1,False,"[""S003-Q001""]",1,True,True,True,False,[],True
S003-Q013::G2,S003-Q013,S003,12,2,False,"[""S003-Q006""]",3,True,True,True,True,[],True
S003-Q014::G1,S003-Q014,S003,13,1,False,"[""S003-Q008""]",,False,False,False,True,"[""S003-Q008""]",True
S003-Q021::G1,S003-Q021,S003,20,1,False,"[""S003-Q015""]",,False,False,False,False,[],False
S003-Q022::G1,S003-Q022,S003,21,1,False,"[""S003-Q012""]",9,False,True,False,True,[],True
S003-Q022::G2,S003-Q022,S003,21,2,False,"[""S003-Q018""]",7,False,True,False,True,[],True
S003-Q026::G1,S003-Q026,S003,25,1,False,"[""S003-Q014""]",12,False,True,False,False,[],True
S003-Q026::G2,S003-Q026,S003,25,2,False,"[""S003-Q019""]",2,True,True,True,False,[],True
S003-Q028::G1,S003-Q028,S003,27,1,False,"[""S003-Q022""]",7,False,True,False,False,[],True
S003-Q033::G1,S003-Q033,S003,32,1,False,"[""S003-Q023""]",,False,False,False,False,[],False
S003-Q033::G2,S003-Q033,S003,32,2,False,"[""S003-Q029""]",,False,False,False,False,[],False
S003-Q035::G1,S003-Q035,S003,34,1,False,"[""S003-Q029""]",,False,False,False,False,[],False
S003-Q039::G1,S003-Q039,S003,38,1,False,"[""S003-Q027""]",18,False,True,False,True,[],True
S003-Q039::G2,S003-Q039,S003,38,2,False,"[""S003-Q032""]",15,False,True,False,False,[],True
S003-Q042::G1,S003-Q042,S003,41,1,False,"[""S003-Q036""]",,False,False,False,False,[],False
S003-Q044::G1,S003-Q044,S003,43,1,False,"[""S003-Q034""]",,False,False,False,False,[],False
S003-Q044::G2,S003-Q044,S003,43,2,False,"[""S003-Q040""]",3,True,True,True,False,[],True
S003-Q049::G1,S003-Q049,S003,48,1,False,"[""S003-Q043""]",17,False,True,False,False,[],True
S003-Q052::G1,S003-Q052,S003,51,1,False,"[""S003-Q040""]",13,False,True,False,False,[],True
S003-Q052::G2,S003-Q052,S003,51,2,False,"[""S003-Q045""]",14,False,True,False,False,[],True
S003-Q055::G1,S003-Q055,S003,54,1,False,"[""S003-Q045""]",7,False,True,False,False,[],True
S003-Q055::G2,S003-Q055,S003,54,2,False,"[""S003-Q051""]",,False,False,False,False,[],False
S003-Q056::G1,S003-Q056,S003,55,1,False,"[""S003-Q050""]",6,False,True,True,True,[],True
S003-Q063::G1,S003-Q063,S003,62,1,False,"[""S003-Q057""]",,False,False,False,False,[],False
S003-Q065::G1,S003-Q065,S003,64,1,False,"[""S003-Q053""]",6,False,True,True,False,[],True
S003-Q065::G2,S003-Q065,S003,64,2,False,"[""S003-Q058""]",,False,False,False,False,[],False
S003-Q066::G1,S003-Q066,S003,65,1,False,"[""S003-Q056""]",9,False,True,False,True,[],True
S003-Q066::G2,S003-Q066,S003,65,2,False,"[""S003-Q062""]",19,False,True,False,False,[],True
S003-Q070::G1,S003-Q070,S003,69,1,False,"[""S003-Q064""]",,False,False,False,True,[],True
S003-Q077::G2,S003-Q077,S003,76,2,False,"[""S003-Q071""]",,False,False,False,False,[],False
S003-Q077::G3,S003-Q077,S003,76,3,False,"[""S003-Q073""]",,False,False,False,False,[],False
S003-Q078::G1,S003-Q078,S003,77,1,False,"[""S003-Q066""]",,False,False,False,True,[],True
S003-Q078::G2,S003-Q078,S003,77,2,False,"[""S003-Q071""]",,False,False,False,False,[],False
S003-Q084::G1,S003-Q084,S003,83,1,False,"[""S003-Q078""]",,False,False,False,False,[],False
S003-Q088::G1,S003-Q088,S003,87,1,False,"[""S003-Q078""]",14,False,True,False,False,[],True
S003-Q088::G2,S003-Q088,S003,87,2,False,"[""S003-Q084""]",,False,False,False,False,"[""S003-Q084""]",False
S003-Q091::G1,S003-Q091,S003,90,1,False,"[""S003-Q079""]",,False,False,False,False,[],False
S003-Q091::G2,S003-Q091,S003,90,2,False,"[""S003-Q084""]",,False,False,False,True,"[""S003-Q084""]",True
S003-Q091::G3,S003-Q091,S003,90,3,False,"[""S003-Q085""]",10,False,True,False,False,[],True
S004-Q007::G1,S004-Q007,S004,6,1,False,"[""S004-Q001""]",1,True,True,True,True,[],True
S004-Q011::G1,S004-Q011,S004,10,1,False,"[""S004-Q001""]",3,True,True,False,False,[],True
S004-Q011::G2,S004-Q011,S004,10,2,False,"[""S004-Q007""]",1,True,True,True,True,[],True
S004-Q013::G1,S004-Q013,S004,12,1,False,"[""S004-Q001""]",4,True,True,True,False,[],True
S004-Q013::G2,S004-Q013,S004,12,2,False,"[""S004-Q006""]",6,False,True,False,True,[],True
S004-Q014::G1,S004-Q014,S004,13,1,False,"[""S004-Q008""]",6,False,True,False,True,[],True
S004-Q021::G1,S004-Q021,S004,20,1,False,"[""S004-Q015""]",6,False,True,False,False,[],True
S004-Q022::G1,S004-Q022,S004,21,1,False,"[""S004-Q012""]",9,False,True,False,True,[],True
S004-Q022::G2,S004-Q022,S004,21,2,False,"[""S004-Q018""]",,False,False,False,True,[],True
S004-Q026::G1,S004-Q026,S004,25,1,False,"[""S004-Q014""]",,False,False,False,False,[],False
S004-Q026::G2,S004-Q026,S004,25,2,False,"[""S004-Q019""]",6,False,True,True,False,[],True
S004-Q028::G1,S004-Q028,S004,27,1,False,"[""S004-Q022""]",9,False,True,False,False,[],True
S004-Q033::G1,S004-Q033,S004,32,1,False,"[""S004-Q023""]",,False,False,False,True,[],True
S004-Q033::G2,S004-Q033,S004,32,2,False,"[""S004-Q029""]",16,False,True,False,False,[],True
S004-Q035::G1,S004-Q035,S004,34,1,False,"[""S004-Q029""]",6,False,True,True,True,[],True
S004-Q039::G1,S004-Q039,S004,38,1,False,"[""S004-Q027""]",,False,False,False,True,[],True
S004-Q039::G2,S004-Q039,S004,38,2,False,"[""S004-Q032""]",,False,False,False,False,[],False
S004-Q042::G1,S004-Q042,S004,41,1,False,"[""S004-Q036""]",,False,False,False,True,[],True
S004-Q044::G1,S004-Q044,S004,43,1,False,"[""S004-Q034""]",7,False,True,False,False,[],True
S004-Q044::G2,S004-Q044,S004,43,2,False,"[""S004-Q040""]",16,False,True,False,False,[],True
S004-Q049::G1,S004-Q049,S004,48,1,False,"[""S004-Q043""]",10,False,True,False,False,[],True
S004-Q052::G1,S004-Q052,S004,51,1,False,"[""S004-Q040""]",,False,False,False,False,[],False
S004-Q052::G2,S004-Q052,S004,51,2,False,"[""S004-Q045""]",3,True,True,True,False,[],True
S004-Q055::G1,S004-Q055,S004,54,1,False,"[""S004-Q045""]",,False,False,False,False,[],False
S004-Q055::G2,S004-Q055,S004,54,2,False,"[""S004-Q051""]",,False,False,False,False,[],False
S004-Q056::G1,S004-Q056,S004,55,1,False,"[""S004-Q050""]",12,False,True,False,True,[],True
S004-Q063::G1,S004-Q063,S004,62,1,False,"[""S004-Q057""]",,False,False,False,False,[],False
S004-Q065::G1,S004-Q065,S004,64,1,False,"[""S004-Q053""]",19,False,True,False,False,[],True
S004-Q065::G2,S004-Q065,S004,64,2,False,"[""S004-Q058""]",7,False,True,False,True,[],True
S004-Q066::G1,S004-Q066,S004,65,1,False,"[""S004-Q056""]",17,False,True,False,False,[],True
S004-Q066::G2,S004-Q066,S004,65,2,False,"[""S004-Q062""]",,False,False,False,False,[],False
S004-Q070::G1,S004-Q070,S004,69,1,False,"[""S004-Q064""]",4,True,True,True,True,[],True
S005-Q007::G1,S005-Q007,S005,6,1,False,"[""S005-Q001""]",1,True,True,True,True,[],True
S005-Q011::G1,S005-Q011,S005,10,1,False,"[""S005-Q001""]",3,True,True,True,False,[],True
S005-Q011::G2,S005-Q011,S005,10,2,False,"[""S005-Q007""]",7,False,True,False,True,[],True
S005-Q013::G1,S005-Q013,S005,12,1,False,"[""S005-Q001""]",7,False,True,False,False,[],True
S005-Q013::G2,S005-Q013,S005,12,2,False,"[""S005-Q006""]",3,True,True,True,True,[],True
S005-Q014::G1,S005-Q014,S005,13,1,False,"[""S005-Q008""]",3,True,True,True,True,[],True
S005-Q021::G1,S005-Q021,S005,20,1,False,"[""S005-Q015""]",10,False,True,False,True,[],True
S005-Q022::G1,S005-Q022,S005,21,1,False,"[""S005-Q012""]",6,False,True,False,False,[],True
S005-Q022::G2,S005-Q022,S005,21,2,False,"[""S005-Q018""]",3,True,True,True,False,[],True
S005-Q026::G1,S005-Q026,S005,25,1,False,"[""S005-Q014""]",12,False,True,False,True,[],True
S005-Q026::G2,S005-Q026,S005,25,2,False,"[""S005-Q019""]",14,False,True,False,False,[],True
S005-Q028::G1,S005-Q028,S005,27,1,False,"[""S005-Q022""]",,False,False,False,False,[],False
S005-Q033::G1,S005-Q033,S005,32,1,False,"[""S005-Q023""]",16,False,True,False,True,[],True
S005-Q033::G2,S005-Q033,S005,32,2,False,"[""S005-Q029""]",2,True,True,True,True,[],True
S005-Q035::G1,S005-Q035,S005,34,1,False,"[""S005-Q029""]",12,False,True,False,True,[],True
S005-Q039::G1,S005-Q039,S005,38,1,False,"[""S005-Q027""]",,False,False,False,False,[],False
S005-Q039::G2,S005-Q039,S005,38,2,False,"[""S005-Q032""]",,False,False,False,False,"[""S005-Q032""]",False
S005-Q044::G2,S005-Q044,S005,43,2,False,"[""S005-Q040""]",12,False,True,False,True,[],True
S005-Q049::G1,S005-Q049,S005,48,1,False,"[""S005-Q043""]",7,False,True,False,True,[],True
S005-Q052::G1,S005-Q052,S005,51,1,False,"[""S005-Q040""]",1,True,True,True,True,[],True
S005-Q052::G2,S005-Q052,S005,51,2,False,"[""S005-Q045""]",,False,False,False,False,[],False
S005-Q055::G1,S005-Q055,S005,54,1,False,"[""S005-Q045""]",15,False,True,False,False,[],True
S005-Q055::G2,S005-Q055,S005,54,2,False,"[""S005-Q051""]",2,True,True,True,False,[],True
S005-Q056::G1,S005-Q056,S005,55,1,False,"[""S005-Q050""]",,False,False,False,False,[],False
