query_id,query_token_index,token_id,token,decoded,visible_page_count,document_frequency,df_ratio,idf,filtered_by_B2,filter_reason
S001-Q007,0,6,▁,,3,3,1.0,1.0,True,WHITESPACE_OR_EMPTY
S001-Q007,1,60357,既然,既然,3,0,0.0,2.386294361119891,False,KEPT
S001-Q007,2,77597,利润,利润,3,1,0.3333333333333333,1.6931471805599454,False,KEPT
S001-Q007,3,3524,口,口,3,1,0.3333333333333333,1.6931471805599454,False,KEPT
S001-Q007,4,111456,径,径,3,1,0.3333333333333333,1.6931471805599454,False,KEPT
S001-Q007,5,3990,已经,已经,3,0,0.0,2.386294361119891,False,KEPT
S001-Q007,6,57249,拆,拆,3,0,0.0,2.386294361119891,False,KEPT
S001-Q007,7,4185,开,开,3,0,0.0,2.386294361119891,False,KEPT
S001-Q007,8,4,",",",",3,3,1.0,1.0,True,PUNCTUATION
S001-Q007,9,16647,经营,经营,3,3,1.0,1.0,True,DF_RATIO_GE_0.8
S001-Q007,10,98794,现金,现金,3,0,0.0,2.386294361119891,False,KEPT
S001-Q007,11,4695,流,流,3,0,0.0,2.386294361119891,False,KEPT
S001-Q007,12,10409,是否,是否,3,1,0.3333333333333333,1.6931471805599454,False,KEPT
S001-Q007,13,7499,支持,支持,3,0,0.0,2.386294361119891,False,KEPT
S001-Q007,14,107474,刚才,刚才,3,0,0.0,2.386294361119891,False,KEPT
S001-Q007,15,43,的,的,3,2,0.6666666666666666,1.2876820724517808,False,KEPT
S001-Q007,16,107949,盈利,盈利,3,0,0.0,2.386294361119891,False,KEPT
S001-Q007,17,13723,质量,质量,3,0,0.0,2.386294361119891,False,KEPT
S001-Q007,18,30812,判断,判断,3,0,0.0,2.386294361119891,False,KEPT
S001-Q007,19,132,(,(,3,1,0.3333333333333333,1.6931471805599454,True,PUNCTUATION
S001-Q007,20,36762,归,归,3,3,1.0,1.0,True,DF_RATIO_GE_0.8
S001-Q007,21,15775,母,母,3,3,1.0,1.0,True,DF_RATIO_GE_0.8
S001-Q007,22,217441,净利润,净利润,3,3,1.0,1.0,True,DF_RATIO_GE_0.8
S001-Q007,23,106033,呈,呈,3,1,0.3333333333333333,1.6931471805599454,False,KEPT
S001-Q007,24,2996,先,先,3,3,1.0,1.0,True,DF_RATIO_GE_0.8
S001-Q007,25,14264,升,升,3,3,1.0,1.0,True,DF_RATIO_GE_0.8
S001-Q007,26,1826,后,后,3,3,1.0,1.0,True,DF_RATIO_GE_0.8
S001-Q007,27,16328,降,降,3,3,1.0,1.0,True,DF_RATIO_GE_0.8
S001-Q007,28,3142,);,);,3,0,0.0,2.386294361119891,True,PUNCTUATION
S001-Q007,29,9736,请,请,3,0,0.0,2.386294361119891,False,KEPT
S001-Q007,30,30313,明确,明确,3,0,0.0,2.386294361119891,False,KEPT
S001-Q007,31,64188,哪些,哪些,3,0,0.0,2.386294361119891,False,KEPT
S001-Q007,32,354,是,是,3,0,0.0,2.386294361119891,False,KEPT
S001-Q007,33,470,年,年,3,3,1.0,1.0,True,DF_RATIO_GE_0.8
S001-Q007,34,9001,报,报,3,1,0.3333333333333333,1.6931471805599454,False,KEPT
S001-Q007,35,3694,原,原,3,0,0.0,2.386294361119891,False,KEPT
S001-Q007,36,4723,数,数,3,0,0.0,2.386294361119891,False,KEPT
S001-Q007,37,37,、,、,3,3,1.0,1.0,True,PUNCTUATION
S001-Q007,38,64188,哪些,哪些,3,0,0.0,2.386294361119891,False,KEPT
S001-Q007,39,354,是,是,3,0,0.0,2.386294361119891,False,KEPT
S001-Q007,40,66277,计算,计算,3,0,0.0,2.386294361119891,False,KEPT
S001-Q007,41,19015,结果,结果,3,0,0.0,2.386294361119891,False,KEPT
S001-Q007,42,30,。,。,3,3,1.0,1.0,True,PUNCTUATION
S001-Q007,43,2,</s>,,3,3,1.0,1.0,True,SPECIAL_TOKEN
S001-Q011,0,6,▁,,7,7,1.0,1.0,True,WHITESPACE_OR_EMPTY
S001-Q011,1,68999,前面,前面,7,0,0.0,3.0794415416798357,False,KEPT
S001-Q011,2,43,的,的,7,6,0.8571428571428571,1.1335313926245225,True,DF_RATIO_GE_0.8
S001-Q011,3,41740,整体,整体,7,0,0.0,3.0794415416798357,False,KEPT
S001-Q011,4,51361,画像,画像,7,0,0.0,3.0794415416798357,False,KEPT
S001-Q011,5,150398,已经有,已经有,7,0,0.0,3.0794415416798357,False,KEPT
S001-Q011,6,274,了,了,7,0,0.0,3.0794415416798357,False,KEPT
S001-Q011,7,4,",",",",7,7,1.0,1.0,True,PUNCTUATION
S001-Q011,8,72046,接下来,接下来,7,0,0.0,3.0794415416798357,False,KEPT
S001-Q011,9,33073,沿,沿,7,0,0.0,3.0794415416798357,False,KEPT
S001-Q011,10,1562,着,着,7,0,0.0,3.0794415416798357,False,KEPT
S001-Q011,11,128180,营业,营业,7,7,1.0,1.0,True,DF_RATIO_GE_0.8
S001-Q011,12,16306,收入,收入,7,7,1.0,1.0,True,DF_RATIO_GE_0.8
S001-Q011,13,2346,把,把,7,0,0.0,3.0794415416798357,False,KEPT
S001-Q011,14,42700,三年,三年,7,7,1.0,1.0,True,DF_RATIO_GE_0.8
S001-Q011,15,107949,盈利,盈利,7,2,0.2857142857142857,1.9808292530117262,False,KEPT
S001-Q011,16,201922,路径,路径,7,0,0.0,3.0794415416798357,False,KEPT
S001-Q011,17,57249,拆,拆,7,0,0.0,3.0794415416798357,False,KEPT
S001-Q011,18,4185,开,开,7,0,0.0,3.0794415416798357,False,KEPT
S001-Q011,19,74,;,;,7,7,1.0,1.0,True,PUNCTUATION
S001-Q011,20,9736,请,请,7,0,0.0,3.0794415416798357,False,KEPT
S001-Q011,21,3624,区,区,7,0,0.0,3.0794415416798357,False,KEPT
S001-Q011,22,1583,分,分,7,0,0.0,3.0794415416798357,False,KEPT
S001-Q011,23,16677,最新,最新,7,0,0.0,3.0794415416798357,False,KEPT
S001-Q011,24,12615,一年,一年,7,0,0.0,3.0794415416798357,False,KEPT
S001-Q011,25,43,的,的,7,6,0.8571428571428571,1.1335313926245225,True,DF_RATIO_GE_0.8
S001-Q011,26,14591,边,边,7,0,0.0,3.0794415416798357,False,KEPT
S001-Q011,27,114969,际,际,7,0,0.0,3.0794415416798357,False,KEPT
S001-Q011,28,27825,变化,变化,7,3,0.42857142857142855,1.6931471805599454,False,KEPT
S001-Q011,29,264,和,和,7,3,0.42857142857142855,1.6931471805599454,False,KEPT
S001-Q011,30,46396,完整,完整,7,7,1.0,1.0,True,DF_RATIO_GE_0.8
S001-Q011,31,42700,三年,三年,7,7,1.0,1.0,True,DF_RATIO_GE_0.8
S001-Q011,32,201922,路径,路径,7,0,0.0,3.0794415416798357,False,KEPT
S001-Q011,33,30,。,。,7,7,1.0,1.0,True,PUNCTUATION
S001-Q011,34,2,</s>,,7,7,1.0,1.0,True,SPECIAL_TOKEN
S001-Q013,0,6,▁,,9,9,1.0,1.0,True,WHITESPACE_OR_EMPTY
S001-Q013,1,101257,上一,上一,9,0,0.0,3.302585092994046,False,KEPT
S001-Q013,2,23072,轮,轮,9,0,0.0,3.302585092994046,False,KEPT
S001-Q013,3,43,的,的,9,8,0.8888888888888888,1.1053605156578263,True,DF_RATIO_GE_0.8
S001-Q013,4,109104,差异,差异,9,0,0.0,3.302585092994046,False,KEPT
S001-Q013,5,132,(,(,9,2,0.2222222222222222,2.203972804325936,True,PUNCTUATION
S001-Q013,6,36762,归,归,9,9,1.0,1.0,True,DF_RATIO_GE_0.8
S001-Q013,7,15775,母,母,9,9,1.0,1.0,True,DF_RATIO_GE_0.8
S001-Q013,8,217441,净利润,净利润,9,9,1.0,1.0,True,DF_RATIO_GE_0.8
S001-Q013,9,106033,呈,呈,9,5,0.5555555555555556,1.5108256237659907,False,KEPT
S001-Q013,10,2996,先,先,9,9,1.0,1.0,True,DF_RATIO_GE_0.8
S001-Q013,11,14264,升,升,9,9,1.0,1.0,True,DF_RATIO_GE_0.8
S001-Q013,12,1826,后,后,9,9,1.0,1.0,True,DF_RATIO_GE_0.8
S001-Q013,13,16328,降,降,9,9,1.0,1.0,True,DF_RATIO_GE_0.8
S001-Q013,14,4,",",",",9,9,1.0,1.0,True,PUNCTUATION
S001-Q013,15,7051,总,总,9,9,1.0,1.0,True,DF_RATIO_GE_0.8
S001-Q013,16,32310,资产,资产,9,9,1.0,1.0,True,DF_RATIO_GE_0.8
S001-Q013,17,106033,呈,呈,9,5,0.5555555555555556,1.5108256237659907,False,KEPT
S001-Q013,18,57847,连续,连续,9,9,1.0,1.0,True,DF_RATIO_GE_0.8
S001-Q013,19,48821,上升,上升,9,9,1.0,1.0,True,DF_RATIO_GE_0.8
S001-Q013,20,16,),),9,0,0.0,3.302585092994046,True,PUNCTUATION
S001-Q013,21,34045,具体,具体,9,9,1.0,1.0,True,DF_RATIO_GE_0.8
S001-Q013,22,176806,集中在,集中在,9,0,0.0,3.302585092994046,False,KEPT
S001-Q013,23,127803,哪个,哪个,9,0,0.0,3.302585092994046,False,KEPT
S001-Q013,24,17526,年度,年度,9,9,1.0,1.0,True,DF_RATIO_GE_0.8
S001-Q013,25,4,",",",",9,9,1.0,1.0,True,PUNCTUATION
S001-Q013,26,97246,能否,能否,9,0,0.0,3.302585092994046,False,KEPT
S001-Q013,27,2346,把,把,9,0,0.0,3.302585092994046,False,KEPT
S001-Q013,28,6442,两,两,9,0,0.0,3.302585092994046,False,KEPT
S001-Q013,29,12002,段,段,9,0,0.0,3.302585092994046,False,KEPT
S001-Q013,30,106664,同比,同比,9,9,1.0,1.0,True,DF_RATIO_GE_0.8
S001-Q013,31,41436,分别,分别,9,0,0.0,3.302585092994046,False,KEPT
S001-Q013,32,48704,解释,解释,9,0,0.0,3.302585092994046,False,KEPT
S001-Q013,33,29635,清楚,清楚,9,0,0.0,3.302585092994046,False,KEPT
S001-Q013,34,74,;,;,9,9,1.0,1.0,True,PUNCTUATION
S001-Q013,35,12790,别,别,9,0,0.0,3.302585092994046,False,KEPT
S001-Q013,36,5344,只,只,9,1,0.1111111111111111,2.6094379124341005,False,KEPT
S001-Q013,37,28226,复,复,9,1,0.1111111111111111,2.6094379124341005,False,KEPT
S001-Q013,38,25722,述,述,9,0,0.0,3.302585092994046,False,KEPT
S001-Q013,39,28406,数字,数字,9,0,0.0,3.302585092994046,False,KEPT
S001-Q013,40,4,",",",",9,9,1.0,1.0,True,PUNCTUATION
S001-Q013,41,1050,要,要,9,0,0.0,3.302585092994046,False,KEPT
S001-Q013,42,37090,说明,说明,9,1,0.1111111111111111,2.6094379124341005,False,KEPT
S001-Q013,43,3800,它,它,9,0,0.0,3.302585092994046,False,KEPT
S001-Q013,44,264,和,和,9,4,0.4444444444444444,1.6931471805599454,False,KEPT
S001-Q013,45,101257,上一,上一,9,0,0.0,3.302585092994046,False,KEPT
S001-Q013,46,11003,问,问,9,0,0.0,3.302585092994046,False,KEPT
S001-Q013,47,132,(,(,9,2,0.2222222222222222,2.203972804325936,True,PUNCTUATION
S001-Q013,48,36762,归,归,9,9,1.0,1.0,True,DF_RATIO_GE_0.8
S001-Q013,49,15775,母,母,9,9,1.0,1.0,True,DF_RATIO_GE_0.8
S001-Q013,50,217441,净利润,净利润,9,9,1.0,1.0,True,DF_RATIO_GE_0.8
S001-Q013,51,1189,与,与,9,4,0.4444444444444444,1.6931471805599454,False,KEPT
S001-Q013,52,128180,营业,营业,9,9,1.0,1.0,True,DF_RATIO_GE_0.8
S001-Q013,53,16306,收入,收入,9,9,1.0,1.0,True,DF_RATIO_GE_0.8
S001-Q013,54,19426,增,增,9,0,0.0,3.302585092994046,False,KEPT
S001-Q013,55,30832,减,减,9,0,0.0,3.302585092994046,False,KEPT
S001-Q013,56,18947,方向,方向,9,4,0.4444444444444444,1.6931471805599454,False,KEPT
S001-Q013,57,264,和,和,9,4,0.4444444444444444,1.6931471805599454,False,KEPT
S001-Q013,58,171597,幅度,幅度,9,0,0.0,3.302585092994046,False,KEPT
S001-Q013,59,10409,是否,是否,9,6,0.6666666666666666,1.3566749439387324,False,KEPT
S001-Q013,60,177702,匹配,匹配,9,0,0.0,3.302585092994046,False,KEPT
S001-Q013,61,16,),),9,0,0.0,3.302585092994046,True,PUNCTUATION
S001-Q013,62,86282,的关系,的关系,9,0,0.0,3.302585092994046,False,KEPT
S001-Q013,63,30,。,。,9,9,1.0,1.0,True,PUNCTUATION
S001-Q013,64,2,</s>,,9,9,1.0,1.0,True,SPECIAL_TOKEN
S001-Q014,0,6,▁,,10,10,1.0,1.0,True,WHITESPACE_OR_EMPTY
S001-Q014,1,104993,接着,接着,10,0,0.0,3.3978952727983707,False,KEPT
S001-Q014,2,15104,加入,加入,10,0,0.0,3.3978952727983707,False,KEPT
S001-Q014,3,48843,扣,扣,10,1,0.1,2.7047480922384253,False,KEPT
S001-Q014,4,7688,非,非,10,1,0.1,2.7047480922384253,False,KEPT
S001-Q014,5,217441,净利润,净利润,10,10,1.0,1.0,True,DF_RATIO_GE_0.8
S001-Q014,6,4,",",",",10,10,1.0,1.0,True,PUNCTUATION
S001-Q014,7,107474,刚才,刚才,10,0,0.0,3.3978952727983707,False,KEPT
S001-Q014,8,95539,看到的,看到的,10,0,0.0,3.3978952727983707,False,KEPT
S001-Q014,9,36762,归,归,10,10,1.0,1.0,True,DF_RATIO_GE_0.8
S001-Q014,10,15775,母,母,10,10,1.0,1.0,True,DF_RATIO_GE_0.8
S001-Q014,11,217441,净利润,净利润,10,10,1.0,1.0,True,DF_RATIO_GE_0.8
S001-Q014,12,27825,变化,变化,10,5,0.5,1.6061358035703155,False,KEPT
S001-Q014,13,138561,有多少,有多少,10,0,0.0,3.3978952727983707,False,KEPT
S001-Q014,14,33531,属于,属于,10,0,0.0,3.3978952727983707,False,KEPT
S001-Q014,15,23862,持续,持续,10,0,0.0,3.3978952727983707,False,KEPT
S001-Q014,16,16647,经营,经营,10,10,1.0,1.0,True,DF_RATIO_GE_0.8
S001-Q014,17,3524,口,口,10,2,0.2,2.2992829841302607,False,KEPT
S001-Q014,18,111456,径,径,10,2,0.2,2.2992829841302607,False,KEPT
S001-Q014,19,74,;,;,10,10,1.0,1.0,True,PUNCTUATION
S001-Q014,20,9736,请,请,10,0,0.0,3.3978952727983707,False,KEPT
S001-Q014,21,2996,先,先,10,10,1.0,1.0,True,DF_RATIO_GE_0.8
S001-Q014,22,4766,给,给,10,0,0.0,3.3978952727983707,False,KEPT
S001-Q014,23,160498,结论,结论,10,10,1.0,1.0,True,DF_RATIO_GE_0.8
S001-Q014,24,4,",",",",10,10,1.0,1.0,True,PUNCTUATION
S001-Q014,25,2058,再,再,10,1,0.1,2.7047480922384253,False,KEPT
S001-Q014,26,37090,说明,说明,10,1,0.1,2.7047480922384253,False,KEPT
S001-Q014,27,42700,三年,三年,10,10,1.0,1.0,True,DF_RATIO_GE_0.8
S001-Q014,28,83277,依据,依据,10,0,0.0,3.3978952727983707,False,KEPT
S001-Q014,29,30,。,。,10,10,1.0,1.0,True,PUNCTUATION
S001-Q014,30,2,</s>,,10,10,1.0,1.0,True,SPECIAL_TOKEN
S001-Q021,0,6,▁,,17,17,1.0,1.0,True,WHITESPACE_OR_EMPTY
S001-Q021,1,33073,沿,沿,17,1,0.058823529411764705,3.1972245773362196,False,KEPT
S001-Q021,2,1562,着,着,17,0,0.0,3.8903717578961645,False,KEPT
S001-Q021,3,101257,上一,上一,17,1,0.058823529411764705,3.1972245773362196,False,KEPT
S001-Q021,4,23072,轮,轮,17,2,0.11764705882352941,2.791759469228055,False,KEPT
S001-Q021,5,43,的,的,17,16,0.9411764705882353,1.0571584138399486,True,DF_RATIO_GE_0.8
S001-Q021,6,107949,盈利,盈利,17,5,0.29411764705882354,2.09861228866811,False,KEPT
S001-Q021,7,160498,结论,结论,17,17,1.0,1.0,True,DF_RATIO_GE_0.8
S001-Q021,8,132,(,(,17,2,0.11764705882352941,2.791759469228055,True,PUNCTUATION
S001-Q021,9,36762,归,归,17,17,1.0,1.0,True,DF_RATIO_GE_0.8
S001-Q021,10,15775,母,母,17,17,1.0,1.0,True,DF_RATIO_GE_0.8
S001-Q021,11,217441,净利润,净利润,17,17,1.0,1.0,True,DF_RATIO_GE_0.8
S001-Q021,12,106033,呈,呈,17,13,0.7647058823529411,1.251314428280906,False,KEPT
S001-Q021,13,2996,先,先,17,17,1.0,1.0,True,DF_RATIO_GE_0.8
S001-Q021,14,14264,升,升,17,17,1.0,1.0,True,DF_RATIO_GE_0.8
S001-Q021,15,1826,后,后,17,17,1.0,1.0,True,DF_RATIO_GE_0.8
S001-Q021,16,16328,降,降,17,17,1.0,1.0,True,DF_RATIO_GE_0.8
S001-Q021,17,4,",",",",17,17,1.0,1.0,True,PUNCTUATION
S001-Q021,18,7051,总,总,17,17,1.0,1.0,True,DF_RATIO_GE_0.8
S001-Q021,19,32310,资产,资产,17,17,1.0,1.0,True,DF_RATIO_GE_0.8
S001-Q021,20,106033,呈,呈,17,13,0.7647058823529411,1.251314428280906,False,KEPT
S001-Q021,21,57847,连续,连续,17,17,1.0,1.0,True,DF_RATIO_GE_0.8
S001-Q021,22,48821,上升,上升,17,17,1.0,1.0,True,DF_RATIO_GE_0.8
S001-Q021,23,247,"),","),",17,17,1.0,1.0,True,PUNCTUATION
S001-Q021,24,72046,接下来,接下来,17,0,0.0,3.8903717578961645,False,KEPT
S001-Q021,25,22613,重点,重点,17,1,0.058823529411764705,3.1972245773362196,False,KEPT
S001-Q021,26,2112,看,看,17,0,0.0,3.8903717578961645,False,KEPT
S001-Q021,27,16647,经营,经营,17,17,1.0,1.0,True,DF_RATIO_GE_0.8
S001-Q021,28,98794,现金,现金,17,2,0.11764705882352941,2.791759469228055,False,KEPT
S001-Q021,29,4695,流,流,17,1,0.058823529411764705,3.1972245773362196,False,KEPT
S001-Q021,30,10409,是否,是否,17,7,0.4117647058823529,1.8109302162163288,False,KEPT
S001-Q021,31,3898,跟,跟,17,0,0.0,3.8903717578961645,False,KEPT
S001-Q021,32,1844,得,得,17,0,0.0,3.8903717578961645,False,KEPT
S001-Q021,33,575,上,上,17,0,0.0,3.8903717578961645,False,KEPT
S001-Q021,34,74,;,;,17,17,1.0,1.0,True,PUNCTUATION
S001-Q021,35,9736,请,请,17,0,0.0,3.8903717578961645,False,KEPT
S001-Q021,36,1965,从,从,17,2,0.11764705882352941,2.791759469228055,False,KEPT
S001-Q021,37,36563,当前,当前,17,1,0.058823529411764705,3.1972245773362196,False,KEPT
S001-Q021,38,72035,岗位,岗位,17,1,0.058823529411764705,3.1972245773362196,False,KEPT
S001-Q021,39,1800,最,最,17,2,0.11764705882352941,2.791759469228055,False,KEPT
S001-Q021,40,64216,关心,关心,17,1,0.058823529411764705,3.1972245773362196,False,KEPT
S001-Q021,41,43,的,的,17,16,0.9411764705882353,1.0571584138399486,True,DF_RATIO_GE_0.8
S001-Q021,42,99857,证据,证据,17,2,0.11764705882352941,2.791759469228055,False,KEPT
S001-Q021,43,6966,开始,开始,17,1,0.058823529411764705,3.1972245773362196,False,KEPT
S001-Q021,44,27739,回答,回答,17,1,0.058823529411764705,3.1972245773362196,False,KEPT
S001-Q021,45,30,。,。,17,17,1.0,1.0,True,PUNCTUATION
S001-Q021,46,2,</s>,,17,17,1.0,1.0,True,SPECIAL_TOKEN
S001-Q022,0,6,▁,,18,18,1.0,1.0,True,WHITESPACE_OR_EMPTY
S001-Q022,1,107474,刚才,刚才,18,0,0.0,3.9444389791664403,False,KEPT
S001-Q022,2,95539,看到的,看到的,18,0,0.0,3.9444389791664403,False,KEPT
S001-Q022,3,16647,经营,经营,18,18,1.0,1.0,True,DF_RATIO_GE_0.8
S001-Q022,4,98794,现金,现金,18,2,0.1111111111111111,2.8458266904983307,False,KEPT
S001-Q022,5,4695,流,流,18,1,0.05555555555555555,3.2512917986064953,False,KEPT
S001-Q022,6,42700,三年,三年,18,18,1.0,1.0,True,DF_RATIO_GE_0.8
S001-Q022,7,201922,路径,路径,18,3,0.16666666666666666,2.55814461804655,False,KEPT
S001-Q022,8,354,是,是,18,1,0.05555555555555555,3.2512917986064953,False,KEPT
S001-Q022,9,57847,连续,连续,18,18,1.0,1.0,True,DF_RATIO_GE_0.8
S001-Q022,10,27825,变化,变化,18,8,0.4444444444444444,1.7472144018302211,False,KEPT
