候选 Add Prompt,Query 检索方式,Gold movement,Gold count,TASK added instances,TASK lost instances,TASK top added,TASK top lost,SUBJECT added instances,SUBJECT lost instances,SUBJECT top added,SUBJECT top lost,TIME added instances,TIME lost instances,TIME top added,TIME top lost,INDICATOR added instances,INDICATOR lost instances,INDICATOR top added,INDICATOR top lost,NUMBER added instances,NUMBER lost instances,NUMBER top added,NUMBER top lost,STATE added instances,STATE lost instances,STATE top added,STATE top lost,RELATION added instances,RELATION lost instances,RELATION top added,RELATION top lost,DEPENDENCY added instances,DEPENDENCY lost instances,DEPENDENCY top added,DEPENDENCY top lost,EVIDENCE_LIMIT added instances,EVIDENCE_LIMIT lost instances,EVIDENCE_LIMIT top added,EVIDENCE_LIMIT top lost,KEYWORD added instances,KEYWORD lost instances,KEYWORD top added,KEYWORD top lost,JUDGMENT added instances,JUDGMENT lost instances,JUDGMENT top added,JUDGMENT top lost
最小改动 Add Prompt,原始问题直接检索,DEMOTED,15,14,15,"[[""信息缺口"", 3], [""原因解释"", 3], [""现金质量"", 2], [""证据分级"", 1], [""盈利质量"", 1], [""同比解释"", 1], [""同步比较"", 1], [""可复算性"", 1], [""验证"", 1]]","[[""可复算性"", 3], [""效率判断"", 2], [""判断修订"", 2], [""现金质量"", 2], [""验证"", 1], [""拐点定位"", 1], [""证据分级"", 1], [""同步比较"", 1], [""同比解释"", 1], [""阶段小结"", 1]]",0,0,[],[],7,2,"[[""2023年"", 3], [""2024年"", 3], [""2026"", 1]]","[[""1977"", 2]]",6,5,"[[""经营活动现金流净额"", 3], [""扣非归母净利润"", 2], [""营业收入"", 1]]","[[""归母股东权益"", 2], [""总资产"", 2], [""扣非归母净利润"", 1]]",86,80,"[[""2,156.69"", 3], [""2,331.06"", 3], [""2,446.38"", 3], [""2,727"", 3], [""2,989.45"", 3], [""3,038.35"", 3], [""2024"", 3], [""+1.64%"", 2], [""+4.95%"", 2], [""+8.09%"", 2], [""+9.62%"", 2], [""1,476.94"", 2]]","[[""1225114731"", 2], [""+1.64%"", 2], [""+15.38%"", 2], [""+15.71%"", 2], [""+4.95%"", 2], [""+8.09%"", 2], [""+9.62%"", 2], [""-1.21%"", 2], [""-4.53%"", 2], [""1476.94"", 2], [""1688.38"", 2], [""1708.99"", 2]]",9,6,"[[""信息缺口"", 3], [""同步"", 2], [""无法确认"", 1], [""拐点"", 1], [""连续下降"", 1], [""错位"", 1]]","[[""同步"", 2], [""先升后降"", 1], [""不同步"", 1], [""拐点"", 1], [""连续上升"", 1]]",4,7,"[[""同步"", 2], [""同比"", 1], [""错位"", 1]]","[[""修订"", 3], [""同步"", 2], [""不同步"", 1], [""同比"", 1]]",2,5,"[[""CONTINUATION"", 2]]","[[""PREVIOUS_TURN"", 2], [""REVISION"", 2], [""EARLIER_CONTEXT"", 1]]",8,2,"[[""信息缺口"", 4], [""口径限制"", 2], [""证据限制"", 1], [""来源限制"", 1]]","[[""信息缺口"", 1], [""口径限制"", 1]]",30,30,"[[""同比分析"", 3], [""归母股东权益"", 3], [""总资产"", 3], [""归母净利润"", 2], [""营业收入"", 2], [""财务指标"", 2], [""来源追溯"", 2], [""2023-2025财年"", 1], [""反证"", 1], [""同比"", 1], [""年报"", 1], [""先升后降"", 1]]","[[""同比"", 5], [""先升后降"", 3], [""年报"", 3], [""收入"", 2], [""效率判断"", 2], [""权益"", 2], [""资产"", 2], [""2023-2025"", 1], [""反证检验"", 1], [""表述修正"", 1], [""年度报告"", 1], [""风险分析"", 1]]",5,14,"[[""结论"", 2], [""支持"", 1], [""判断"", 1], [""确认"", 1]]","[[""判断"", 4], [""确认"", 4], [""修订"", 3], [""支持"", 2], [""结论"", 1]]"
最小改动 Add Prompt,原始问题直接检索,PROMOTED,9,8,5,"[[""同步比较"", 2], [""信息缺口"", 1], [""效率判断"", 1], [""阶段小结"", 1], [""原因解释"", 1], [""同比解释"", 1], [""证据分级"", 1]]","[[""来源核验"", 1], [""反证检验"", 1], [""原因解释"", 1], [""盈利质量"", 1], [""管理层问询"", 1]]",0,0,[],[],4,3,"[[""2026年"", 1], [""2023年"", 1], [""2024年"", 1], [""2024"", 1]]","[[""2026"", 1], [""2023年"", 1], [""1977"", 1]]",0,2,[],"[[""归母净利润"", 1], [""总资产"", 1]]",30,43,"[[""+12.81%"", 1], [""+15.28%"", 1], [""+29.02%"", 1], [""+29.94%"", 1], [""+3.46%"", 1], [""+32.94%"", 1], [""+33.46%"", 1], [""+34.00%"", 1], [""-18.97%"", 1], [""-20.38%"", 1], [""-21.37%"", 1], [""-55.69%"", 1]]","[[""04"", 1], [""17"", 1], [""1334.54"", 1], [""1388.1"", 1], [""1697.25"", 1], [""1852.51"", 1], [""2462.75"", 1], [""6023.15"", 1], [""6795.48"", 1], [""7771.02"", 1], [""7833.56"", 1], [""8039.65"", 1]]",6,2,"[[""不同步"", 2], [""拐点"", 2], [""连续下降"", 1], [""无法确认"", 1]]","[[""先升后降"", 1], [""连续下降"", 1]]",4,2,"[[""不同步"", 2], [""修订"", 1], [""同比"", 1]]","[[""比较"", 1], [""反证"", 1]]",2,1,"[[""CONTINUATION"", 1], [""EARLIER_CONTEXT"", 1]]","[[""REVISION"", 1]]",4,6,"[[""信息缺口"", 2], [""口径限制"", 1], [""证据限制"", 1]]","[[""口径限制"", 3], [""信息缺口"", 2], [""来源限制"", 1]]",11,11,"[[""年度报告"", 2], [""表述审查"", 1], [""内控审计"", 1], [""年报"", 1], [""归母股东权益"", 1], [""先升后降"", 1], [""连续上升"", 1], [""冲突调和"", 1], [""同比"", 1], [""先降后升"", 1]]","[[""措辞审查"", 1], [""年报"", 1], [""年度报告"", 1], [""管理问询"", 1], [""反证"", 1], [""同比"", 1], [""现金流"", 1], [""信号调和"", 1], [""归母净利润"", 1], [""经营现金流"", 1], [""修订"", 1]]",4,3,"[[""确认"", 2], [""判断"", 1], [""修订"", 1]]","[[""结论"", 2], [""判断"", 1]]"
最小改动 Add Prompt,上下文引用解析后检索,DEMOTED,14,15,11,"[[""现金质量"", 3], [""信息缺口"", 3], [""原因解释"", 3], [""同比解释"", 2], [""判断修订"", 1], [""盈利质量"", 1], [""可复算性"", 1], [""验证"", 1]]","[[""同步比较"", 2], [""效率判断"", 2], [""可复算性"", 2], [""判断修订"", 2], [""拐点定位"", 1], [""证据分级"", 1], [""阶段小结"", 1]]",0,0,[],[],8,3,"[[""2023年"", 3], [""2024年"", 3], [""2026"", 2]]","[[""1977"", 2], [""2023年"", 1]]",6,2,"[[""经营活动现金流净额"", 3], [""扣非归母净利润"", 2], [""营业收入"", 1]]","[[""归母净利润"", 1], [""总资产"", 1]]",86,81,"[[""2,156.69"", 3], [""2,331.06"", 3], [""2,446.38"", 3], [""2,727"", 3], [""2,989.45"", 3], [""3,038.35"", 3], [""2024"", 3], [""+1.64%"", 2], [""+4.95%"", 2], [""+8.09%"", 2], [""+9.62%"", 2], [""1,476.94"", 2]]","[[""+1.64%"", 3], [""+15.38%"", 3], [""+9.62%"", 3], [""-4.53%"", 3], [""1225114731"", 2], [""+15.71%"", 2], [""+4.95%"", 2], [""+8.09%"", 2], [""-1.21%"", 2], [""1476.94"", 2], [""1688.38"", 2], [""1708.99"", 2]]",11,4,"[[""信息缺口"", 3], [""同步"", 2], [""拐点"", 2], [""无法确认"", 1], [""连续上升"", 1], [""连续下降"", 1], [""错位"", 1]]","[[""不同步"", 1], [""先升后降"", 1], [""同步"", 1], [""连续上升"", 1]]",5,6,"[[""同比"", 2], [""同步"", 2], [""错位"", 1]]","[[""修订"", 3], [""不同步"", 1], [""比较"", 1], [""同步"", 1]]",3,4,"[[""CONTINUATION"", 2], [""REVISION"", 1]]","[[""REVISION"", 2], [""PREVIOUS_TURN"", 1], [""EARLIER_CONTEXT"", 1]]",8,2,"[[""信息缺口"", 4], [""口径限制"", 2], [""证据限制"", 1], [""来源限制"", 1]]","[[""信息缺口"", 2]]",27,27,"[[""同比分析"", 3], [""归母股东权益"", 3], [""总资产"", 3], [""归母净利润"", 2], [""营业收入"", 2], [""财务指标"", 2], [""年报数据"", 2], [""来源追溯"", 2], [""经营现金流"", 2], [""年度报告"", 1], [""年报"", 1], [""口径一致"", 1]]","[[""同比"", 4], [""先升后降"", 3], [""年报"", 2], [""收入"", 2], [""效率判断"", 2], [""权益"", 2], [""资产"", 2], [""经营活动现金流"", 2], [""归母净利润"", 1], [""年度报告"", 1], [""三年比较口径"", 1], [""来源确认"", 1]]",4,10,"[[""确认"", 2], [""支持"", 1], [""结论"", 1]]","[[""判断"", 4], [""修订"", 3], [""确认"", 2], [""支持"", 1]]"
最小改动 Add Prompt,上下文引用解析后检索,PROMOTED,10,11,5,"[[""现金质量"", 3], [""信息缺口"", 2], [""原因解释"", 1], [""可复算性"", 1], [""反证检验"", 1], [""同比解释"", 1], [""证据分级"", 1], [""同步比较"", 1]]","[[""原因解释"", 1], [""判断修订"", 1], [""验证"", 1], [""盈利质量"", 1], [""管理层问询"", 1]]",0,0,[],[],4,2,"[[""2026"", 1], [""2023年"", 1], [""2024年"", 1], [""2024"", 1]]","[[""2023年"", 1], [""1977"", 1]]",7,2,"[[""经营活动现金流净额"", 2], [""营业收入"", 2], [""扣非归母净利润"", 1], [""归母净利润"", 1], [""总资产"", 1]]","[[""归母净利润"", 1], [""总资产"", 1]]",21,41,"[[""04"", 1], [""17"", 1], [""2026"", 1], [""1,334.54"", 1], [""1,388.1"", 1], [""1,697.25"", 1], [""1,852.51"", 1], [""2,462.75"", 1], [""2024"", 1], [""6,023.15"", 1], [""6,795.48"", 1], [""7,771.02"", 1]]","[[""1334.54"", 1], [""1388.1"", 1], [""1697.25"", 1], [""1852.51"", 1], [""2462.75"", 1], [""6023.15"", 1], [""6795.48"", 1], [""7771.02"", 1], [""7833.56"", 1], [""8039.65"", 1], [""8837.3"", 1], [""1,334.54"", 1]]",4,3,"[[""不同步"", 2], [""拐点"", 1], [""无法确认"", 1]]","[[""拐点"", 1], [""先升后降"", 1], [""连续下降"", 1]]",4,2,"[[""不同步"", 2], [""反证"", 1], [""同比"", 1]]","[[""修订"", 1], [""比较"", 1]]",3,1,"[[""CONTINUATION"", 1], [""EARLIER_CONTEXT"", 1], [""REVISION"", 1]]","[[""PREVIOUS_TURN"", 1]]",3,5,"[[""信息缺口"", 1], [""口径限制"", 1], [""证据限制"", 1]]","[[""口径限制"", 3], [""来源限制"", 1], [""信息缺口"", 1]]",10,10,"[[""表述审查"", 1], [""年报"", 1], [""归母股东权益"", 1], [""经营现金流"", 1], [""营业收入"", 1], [""财务变化"", 1], [""冲突调和"", 1], [""同比"", 1], [""年度报告"", 1], [""先降后升"", 1]]","[[""措辞审查"", 1], [""年度报告"", 1], [""管理问询"", 1], [""同比"", 1], [""拐点"", 1], [""财务分析"", 1], [""信号调和"", 1], [""归母净利润"", 1], [""经营现金流"", 1], [""修订"", 1]]",5,4,"[[""确认"", 3], [""判断"", 2]]","[[""判断"", 1], [""结论"", 1], [""修订"", 1], [""确认"", 1]]"
多检索入口保留 Add Prompt,原始问题直接检索,DEMOTED,15,7,14,"[[""同步比较"", 2], [""原因解释"", 2], [""现金质量"", 1], [""管理层问询"", 1], [""信息缺口"", 1]]","[[""可复算性"", 2], [""判断修订"", 2], [""效率判断"", 2], [""现金质量"", 2], [""阶段小结"", 2], [""验证"", 1], [""拐点定位"", 1], [""盈利质量"", 1], [""原因解释"", 1]]",0,0,[],[],12,9,"[[""2023年"", 4], [""2024年"", 4], [""2024"", 2], [""2026"", 1], [""1977"", 1]]","[[""2023年"", 3], [""2024年"", 3], [""1977"", 2], [""2026"", 1]]",4,7,"[[""营业收入"", 2], [""归母净利润"", 1], [""经营活动现金流净额"", 1]]","[[""归母股东权益"", 2], [""总资产"", 1], [""扣非归母净利润"", 1], [""归母净利润"", 1], [""经营活动现金流净额"", 1], [""营业收入"", 1]]",78,77,"[[""2024"", 4], [""2,156.69"", 3], [""2,331.06"", 3], [""2,446.38"", 3], [""2,727"", 3], [""2,989.45"", 3], [""3,038.35"", 3], [""1,476.94"", 2], [""1,688.38"", 2], [""1,708.99"", 2], [""1,977.08"", 2], [""2,469.3"", 2]]","[[""2024"", 3], [""1476.94"", 2], [""1688.38"", 2], [""1708.99"", 2], [""2156.69"", 2], [""2331.06"", 2], [""2446.38"", 2], [""2727"", 2], [""2989.45"", 2], [""3038.35"", 2], [""1.81"", 2], [""5.65"", 2]]",7,9,"[[""拐点"", 3], [""连续下降"", 1], [""错位"", 1], [""信息缺口"", 1], [""无法确认"", 1]]","[[""先升后降"", 2], [""拐点"", 2], [""不同步"", 1], [""错位"", 1], [""同步"", 1], [""连续上升"", 1], [""连续下降"", 1]]",3,6,"[[""比较"", 2], [""错位"", 1]]","[[""修订"", 3], [""不同步"", 1], [""错位"", 1], [""同步"", 1]]",1,3,"[[""CONTINUATION"", 1]]","[[""REVISION"", 2], [""EARLIER_CONTEXT"", 1]]",6,5,"[[""信息缺口"", 3], [""证据限制"", 2], [""口径限制"", 1]]","[[""口径限制"", 3], [""来源限制"", 1], [""信息缺口"", 1]]",28,28,"[[""年报来源"", 3], [""年报"", 3], [""同比"", 2], [""内控审计"", 2], [""拐点"", 2], [""收入利润资产权益"", 2], [""反证"", 1], [""2024年拐点"", 1], [""归母股东权益"", 1], [""总资产"", 1], [""风险议题卡"", 1], [""2024年中间点"", 1]]","[[""年报"", 3], [""年度报告"", 2], [""收入"", 2], [""权益"", 2], [""资产"", 2], [""经营活动现金流"", 2], [""总资产"", 2], [""反证检验"", 1], [""表述修正"", 1], [""同比"", 1], [""先升后降"", 1], [""归母净利润"", 1]]",3,8,"[[""判断"", 1], [""结论"", 1], [""支持"", 1]]","[[""修订"", 3], [""支持"", 2], [""判断"", 2], [""确认"", 1]]"
多检索入口保留 Add Prompt,原始问题直接检索,PROMOTED,11,11,6,"[[""同步比较"", 3], [""现金质量"", 3], [""阶段小结"", 2], [""原因解释"", 1], [""效率判断"", 1], [""可复算性"", 1]]","[[""原因解释"", 1], [""盈利质量"", 1], [""现金质量"", 1], [""同步比较"", 1], [""来源核验"", 1], [""阶段小结"", 1]]",0,0,[],[],4,10,"[[""2023年"", 2], [""2024年"", 2]]","[[""2023年"", 4], [""2024年"", 3], [""1977"", 2], [""2026"", 1]]",3,3,"[[""归母股东权益"", 2], [""总资产"", 1]]","[[""归母净利润"", 1], [""总资产"", 1], [""归母股东权益"", 1]]",70,53,"[[""1225114731"", 2], [""1,388.1"", 2], [""1,852.51"", 2], [""2,462.75"", 2], [""2024"", 2], [""+12.81%"", 2], [""+15.28%"", 2], [""+29.02%"", 2], [""+3.46%"", 2], [""+32.94%"", 2], [""+33.46%"", 2], [""+34.00%"", 2]]","[[""2024"", 3], [""1388.1"", 2], [""1852.51"", 2], [""2462.75"", 2], [""1977.08"", 2], [""2469.3"", 2], [""3371.08"", 2], [""3620.13"", 2], [""4009.17"", 2], [""4237.02"", 2], [""-4.53%"", 1], [""2,727"", 1]]",8,1,"[[""拐点"", 4], [""错位"", 2], [""不同步"", 1], [""无法确认"", 1]]","[[""同步"", 1]]",6,3,"[[""修订"", 2], [""错位"", 2], [""不同步"", 1], [""比较"", 1]]","[[""比较"", 1], [""修订"", 1], [""同步"", 1]]",1,0,"[[""PREVIOUS_TURN"", 1]]",[],7,6,"[[""信息缺口"", 3], [""来源限制"", 3], [""口径限制"", 1]]","[[""来源限制"", 4], [""口径限制"", 2]]",18,18,"[[""同比"", 4], [""拐点"", 2], [""年报"", 2], [""经营活动现金流净额"", 2], [""2023-2025"", 1], [""证据分级"", 1], [""经营活动现金流"", 1], [""经营现金流"", 1], [""投资者关系"", 1], [""股东权益"", 1], [""合规核验"", 1], [""营业收入"", 1]]","[[""经营活动现金流"", 3], [""年度报告"", 2], [""年报分析"", 2], [""投资者关系"", 2], [""权益研究员"", 1], [""2023-2025财年"", 1], [""同比分析"", 1], [""经营现金流"", 1], [""先升后降"", 1], [""归母股东权益"", 1], [""连续上升"", 1], [""法务合规"", 1]]",9,5,"[[""确认"", 3], [""修订"", 2], [""结论"", 2], [""判断"", 1], [""支持"", 1]]","[[""结论"", 2], [""支持"", 1], [""修订"", 1], [""确认"", 1]]"
多检索入口保留 Add Prompt,上下文引用解析后检索,DEMOTED,15,13,14,"[[""原因解释"", 3], [""现金质量"", 3], [""同步比较"", 2], [""信息缺口"", 2], [""拐点定位"", 1], [""同比解释"", 1], [""管理层问询"", 1]]","[[""判断修订"", 2], [""反证检验"", 2], [""可复算性"", 2], [""效率判断"", 2], [""阶段小结"", 2], [""拐点定位"", 1], [""信息缺口"", 1], [""现金质量"", 1], [""原因解释"", 1]]",0,0,[],[],15,7,"[[""2023年"", 5], [""2024年"", 5], [""2024"", 2], [""2026"", 2], [""1977"", 1]]","[[""2023年"", 3], [""2024年"", 2], [""1977"", 2]]",5,3,"[[""营业收入"", 2], [""扣非归母净利润"", 1], [""归母股东权益"", 1], [""经营活动现金流净额"", 1]]","[[""归母股东权益"", 1], [""经营活动现金流净额"", 1], [""营业收入"", 1]]",127,58,"[[""2024"", 5], [""2,156.69"", 3], [""2,331.06"", 3], [""2,446.38"", 3], [""2,727"", 3], [""2,989.45"", 3], [""3,038.35"", 3], [""+29.02%"", 3], [""+29.94%"", 3], [""+3.46%"", 3], [""+32.94%"", 3], [""+33.46%"", 3]]","[[""2024"", 2], [""1476.94"", 2], [""1688.38"", 2], [""1708.99"", 2], [""2156.69"", 2], [""2331.06"", 2], [""2446.38"", 2], [""2727"", 2], [""2989.45"", 2], [""3038.35"", 2], [""1977.08"", 2], [""2469.3"", 2]]",12,5,"[[""拐点"", 4], [""连续下降"", 3], [""先升后降"", 1], [""不同步"", 1], [""错位"", 1], [""信息缺口"", 1], [""无法确认"", 1]]","[[""连续下降"", 2], [""先升后降"", 1], [""信息缺口"", 1], [""连续上升"", 1]]",3,6,"[[""不同步"", 1], [""同比"", 1], [""错位"", 1]]","[[""修订"", 3], [""反证"", 2], [""比较"", 1]]",0,5,[],"[[""REVISION"", 4], [""EARLIER_CONTEXT"", 1]]",8,3,"[[""信息缺口"", 5], [""证据限制"", 2], [""口径限制"", 1]]","[[""口径限制"", 2], [""信息缺口"", 1]]",30,30,"[[""年报来源"", 3], [""拐点"", 3], [""连续上升"", 3], [""内控审计"", 2], [""收入利润资产权益"", 2], [""同比"", 2], [""先升后降"", 2], [""经营现金流"", 2], [""年报"", 2], [""2024年拐点"", 1], [""归母股东权益"", 1], [""总资产"", 1]]","[[""年度报告"", 3], [""年报"", 3], [""同比"", 2], [""收入"", 2], [""权益"", 2], [""资产"", 2], [""经营活动现金流"", 2], [""总资产"", 2], [""先升后降"", 1], [""分析工具"", 1], [""披露事实"", 1], [""现金流"", 1]]",5,9,"[[""支持"", 2], [""判断"", 2], [""结论"", 1]]","[[""修订"", 3], [""判断"", 3], [""确认"", 2], [""支持"", 1]]"
多检索入口保留 Add Prompt,上下文引用解析后检索,PROMOTED,6,5,5,"[[""同步比较"", 1], [""阶段小结"", 1], [""原因解释"", 1], [""效率判断"", 1], [""现金质量"", 1]]","[[""原因解释"", 1], [""盈利质量"", 1], [""同步比较"", 1], [""来源核验"", 1], [""阶段小结"", 1]]",0,0,[],[],0,3,[],"[[""1977"", 1], [""2023年"", 1], [""2026"", 1]]",0,3,[],"[[""归母净利润"", 1], [""总资产"", 1], [""归母股东权益"", 1]]",6,30,"[[""1225114731"", 2], [""+15.71%"", 1], [""+4.95%"", 1], [""+8.09%"", 1], [""17，"", 1]]","[[""-4.53%"", 1], [""2,727"", 1], [""2,989.45"", 1], [""3,038.35"", 1], [""747.34"", 1], [""823.20"", 1], [""862.28"", 1], [""+15.01%"", 1], [""+17.04%"", 1], [""+23.92%"", 1], [""+24.90%"", 1], [""+36.52%"", 1]]",5,1,"[[""拐点"", 3], [""不同步"", 1], [""错位"", 1]]","[[""同步"", 1]]",3,3,"[[""不同步"", 1], [""修订"", 1], [""错位"", 1]]","[[""比较"", 1], [""修订"", 1], [""同步"", 1]]",0,0,[],[],2,4,"[[""信息缺口"", 1], [""来源限制"", 1]]","[[""口径限制"", 2], [""来源限制"", 2]]",7,7,"[[""拐点"", 2], [""2023-2025"", 1], [""同比"", 1], [""证据分级"", 1], [""经营现金流"", 1], [""营业收入"", 1]]","[[""年度报告"", 2], [""权益研究员"", 1], [""2023-2025财年"", 1], [""同比分析"", 1], [""经营活动现金流"", 1], [""三年路径"", 1]]",6,5,"[[""确认"", 3], [""修订"", 1], [""判断"", 1], [""支持"", 1]]","[[""结论"", 2], [""支持"", 1], [""修订"", 1], [""确认"", 1]]"
任务 + 证据链保留 Add Prompt,原始问题直接检索,DEMOTED,15,12,14,"[[""原因解释"", 4], [""反证检验"", 1], [""同步比较"", 1], [""可复算性"", 1], [""盈利质量"", 1], [""验证"", 1], [""现金质量"", 1], [""拐点定位"", 1], [""信息缺口"", 1]]","[[""可复算性"", 2], [""验证"", 2], [""判断修订"", 2], [""同步比较"", 2], [""效率判断"", 2], [""现金质量"", 1], [""反证检验"", 1], [""证据分级"", 1], [""阶段小结"", 1]]",0,0,[],[],12,1,"[[""2023年"", 5], [""2024年"", 5], [""2024"", 1], [""2026"", 1]]","[[""1977"", 1]]",11,0,"[[""营业收入"", 4], [""归母股东权益"", 2], [""归母净利润"", 2], [""扣非归母净利润"", 2], [""经营活动现金流净额"", 1]]",[],46,27,"[[""2024"", 5], [""6,023.15"", 2], [""7,771.02"", 2], [""8,039.65"", 2], [""1,476.94"", 1], [""1,688.38"", 1], [""1,708.99"", 1], [""+1.64%"", 1], [""+4.95%"", 1], [""+8.09%"", 1], [""+9.62%"", 1], [""1225114731"", 1]]","[[""1.81"", 2], [""5.65"", 2], [""1476.94"", 1], [""1688.38"", 1], [""1708.99"", 1], [""1225114731"", 1], [""+34.00%"", 1], [""-18.97%"", 1], [""-21.37%"", 1], [""-55.69%"", 1], [""1,388.1"", 1], [""1,852.51"", 1]]",5,6,"[[""拐点"", 2], [""连续下降"", 1], [""错位"", 1], [""先降后升"", 1]]","[[""不同步"", 2], [""先升后降"", 1], [""错位"", 1], [""同步"", 1], [""连续上升"", 1]]",2,8,"[[""反证"", 1], [""错位"", 1]]","[[""修订"", 3], [""不同步"", 2], [""反证"", 1], [""错位"", 1], [""同步"", 1]]",4,4,"[[""CONTINUATION"", 2], [""EARLIER_CONTEXT"", 1], [""REVISION"", 1]]","[[""REVISION"", 3], [""EARLIER_CONTEXT"", 1]]",6,5,"[[""信息缺口"", 3], [""口径限制"", 2], [""证据限制"", 1]]","[[""来源限制"", 2], [""口径限制"", 2], [""信息缺口"", 1]]",20,20,"[[""归母股东权益"", 3], [""总资产"", 3], [""营业收入"", 3], [""反证"", 2], [""归母净利润"", 2], [""内控审计"", 1], [""年报数据"", 1], [""同比"", 1], [""风险议题卡"", 1], [""年报"", 1], [""投资者关系"", 1], [""经营活动现金流净额"", 1]]","[[""反证检验"", 2], [""年度报告"", 2], [""年报"", 2], [""收入"", 2], [""权益"", 2], [""资产"", 2], [""归母净利润"", 1], [""营业收入"", 1], [""先升后降"", 1], [""横向判断"", 1], [""风险监控"", 1], [""归母股东权益"", 1]]",5,10,"[[""判断"", 2], [""支持"", 1], [""确认"", 1], [""结论"", 1]]","[[""判断"", 5], [""修订"", 3], [""确认"", 1], [""支持"", 1]]"
任务 + 证据链保留 Add Prompt,原始问题直接检索,PROMOTED,10,14,8,"[[""现金质量"", 3], [""管理层问询"", 2], [""原因解释"", 2], [""可复算性"", 1], [""来源核验"", 1], [""验证"", 1], [""效率判断"", 1], [""信息缺口"", 1], [""反证检验"", 1], [""证据分级"", 1]]","[[""来源核验"", 3], [""现金质量"", 2], [""盈利质量"", 1], [""判断修订"", 1], [""同比解释"", 1]]",0,0,[],[],3,3,"[[""2023年"", 1], [""2024年"", 1], [""2024"", 1]]","[[""2026"", 3]]",4,7,"[[""营业收入"", 1], [""归母股东权益"", 1], [""扣非归母净利润"", 1], [""经营活动现金流净额"", 1]]","[[""归母股东权益"", 2], [""总资产"", 2], [""归母净利润"", 2], [""营业收入"", 1]]",17,63,"[[""2024"", 1], [""+12.81%"", 1], [""+15.28%"", 1], [""+34.00%"", 1], [""-18.97%"", 1], [""1388.1"", 1], [""1852.51"", 1], [""2462.75"", 1], [""300.41"", 1], [""326.19"", 1], [""402.54"", 1], [""6023.15"", 1]]","[[""2026"", 3], [""04"", 2], [""17"", 2], [""+29.94%"", 2], [""-20.38%"", 2], [""-21.37%"", 2], [""-55.69%"", 2], [""1,334.54"", 2], [""1,388.1"", 2], [""1,697.25"", 2], [""1,852.51"", 2], [""2,462.75"", 2]]",7,5,"[[""同步"", 2], [""拐点"", 2], [""信息缺口"", 1], [""连续下降"", 1], [""连续上升"", 1]]","[[""连续下降"", 2], [""连续上升"", 1], [""先升后降"", 1], [""无法确认"", 1]]",3,3,"[[""同步"", 2], [""反证"", 1]]","[[""修订"", 1], [""同比"", 1], [""比较"", 1]]",1,0,"[[""EARLIER_CONTEXT"", 1]]",[],2,6,"[[""信息缺口"", 2]]","[[""口径限制"", 3], [""来源限制"", 2], [""信息缺口"", 1]]",17,17,"[[""内控审计"", 2], [""连续上升"", 2], [""表述审查"", 1], [""历史纠错"", 1], [""阶段小结"", 1], [""经营活动现金流"", 1], [""规模支撑"", 1], [""资产增长"", 1], [""先升后降"", 1], [""管理层问询"", 1], [""措辞审查"", 1], [""证据分级"", 1]]","[[""财务分析"", 2], [""年度报告"", 2], [""经营活动现金流"", 2], [""措辞审查"", 1], [""年报"", 1], [""同比"", 1], [""表述修正"", 1], [""反证"", 1], [""经营现金流"", 1], [""规模增长"", 1], [""管理问询"", 1], [""审慎表述"", 1]]",7,5,"[[""判断"", 4], [""确认"", 1], [""支持"", 1], [""结论"", 1]]","[[""确认"", 2], [""结论"", 1], [""判断"", 1], [""修订"", 1]]"
