session_id,source_turn_id,page_id,Add Prompt,summary_chars,summary_tokens,summary_tokens_kept,summary_truncated,keywords_count,keywords_tokens,keywords_tokens_kept,keywords_truncation_status,raw_page_tokens_including_special,page_truncated
S001,S001-Q001,2631e802-75be-5089-9418-baece6a717cf,原 Production Add（参考）,439,357,357,False,8,43,43,FULLY_KEPT,402,False
S001,S001-Q002,dea63c61-1950-5f6a-bdd9-1323f83f3b37,原 Production Add（参考）,415,353,353,False,8,41,41,FULLY_KEPT,396,False
S001,S001-Q003,e7eefead-7365-5540-b914-0d6077a14d8c,原 Production Add（参考）,368,318,318,False,8,42,42,FULLY_KEPT,362,False
S001,S001-Q004,8322bc48-f2e3-5603-ae53-97917cf35a39,原 Production Add（参考）,292,252,252,False,8,39,39,FULLY_KEPT,293,False
S001,S001-Q005,70d0daf9-01a8-5e0f-9341-e20464515e43,原 Production Add（参考）,477,392,392,False,8,40,40,FULLY_KEPT,434,False
S001,S001-Q006,9b4b60a1-f0f9-5368-b4ce-b441752321bb,原 Production Add（参考）,546,437,437,False,8,45,45,FULLY_KEPT,484,False
S001,S001-Q007,dc12b285-c21d-5cfe-84a2-d016fce5ffe6,原 Production Add（参考）,503,414,414,False,8,47,47,FULLY_KEPT,463,False
S001,S001-Q008,f99dbe58-f286-568d-b1fe-f1ebe59c0e0a,原 Production Add（参考）,416,334,334,False,8,41,41,FULLY_KEPT,377,False
S001,S001-Q009,ed0c9ffd-4cf7-5f79-aaea-898b8f2899f0,原 Production Add（参考）,352,290,290,False,8,41,41,FULLY_KEPT,333,False
S001,S001-Q010,dfaf0dfd-1943-54e1-99a3-0690c5a9cb38,原 Production Add（参考）,279,231,231,False,8,41,41,FULLY_KEPT,274,False
S001,S001-Q011,1de06218-dc21-5ec3-9e23-c5d58a375fd9,原 Production Add（参考）,436,365,365,False,8,44,44,FULLY_KEPT,411,False
S001,S001-Q012,34fa3574-894f-575c-b9b0-0a183473746e,原 Production Add（参考）,323,280,280,False,8,41,41,FULLY_KEPT,323,False
S001,S001-Q013,7c06f308-8022-5f54-a63c-ab30458f4115,原 Production Add（参考）,455,370,370,False,8,40,40,FULLY_KEPT,412,False
S001,S001-Q014,289ba3d6-8b24-5c77-8df9-7af211ee1007,原 Production Add（参考）,248,216,216,False,8,41,41,FULLY_KEPT,259,False
S001,S001-Q015,f1228bac-12d1-520f-9787-52a8cdcd49db,原 Production Add（参考）,258,212,212,False,8,43,43,FULLY_KEPT,257,False
S001,S001-Q016,2ec87be4-468b-5498-889b-13f43f4ee222,原 Production Add（参考）,493,416,416,False,8,42,42,FULLY_KEPT,460,False
S001,S001-Q017,71a788a3-0077-5908-a7f4-d02349fd6e1c,原 Production Add（参考）,284,239,239,False,8,39,39,FULLY_KEPT,280,False
S001,S001-Q018,55e7e466-3b1c-5014-85fc-2a14618ce254,原 Production Add（参考）,443,368,368,False,8,46,46,FULLY_KEPT,416,False
S001,S001-Q019,88e975b7-0f5a-5f5c-98ce-e461dcab93b8,原 Production Add（参考）,351,305,305,False,8,45,45,FULLY_KEPT,352,False
S001,S001-Q020,77cecfad-195f-539e-b105-acf49d23a9c6,原 Production Add（参考）,343,300,300,False,8,41,41,FULLY_KEPT,343,False
S001,S001-Q021,28a3b6de-dd4b-5bf8-919e-169ce12b1349,原 Production Add（参考）,558,481,481,False,8,43,29,PARTIALLY_TRUNCATED,526,True
S001,S001-Q022,44777fdf-abd5-5570-b0aa-8e3f1cb44000,原 Production Add（参考）,295,248,248,False,8,42,42,FULLY_KEPT,292,False
S001,S001-Q023,d5c03971-3795-5256-a75f-b3921d61a92d,原 Production Add（参考）,604,519,510,True,8,44,0,FULLY_TRUNCATED,565,True
S001,S001-Q024,204ccd02-0a09-5bee-9d12-d6469c1688e8,原 Production Add（参考）,355,300,300,False,8,46,46,FULLY_KEPT,348,False
S001,S001-Q025,33eb4d66-a4c5-5429-b3bd-48948bb5d443,原 Production Add（参考）,518,414,414,False,8,44,44,FULLY_KEPT,460,False
S001,S001-Q026,812b1a36-c36b-58cb-882e-3759ed7c7c58,原 Production Add（参考）,341,277,277,False,8,38,38,FULLY_KEPT,317,False
S001,S001-Q027,31eb0f30-7b80-5d07-8ba6-bc6a6a24cb62,原 Production Add（参考）,398,350,350,False,8,45,45,FULLY_KEPT,397,False
S001,S001-Q028,fb76b32a-859d-5228-b170-550c026c1646,原 Production Add（参考）,340,297,297,False,8,41,41,FULLY_KEPT,340,False
S001,S001-Q029,b4497adc-7393-57c0-8917-ce3372fbd151,原 Production Add（参考）,367,306,306,False,8,43,43,FULLY_KEPT,351,False
S001,S001-Q030,6f47beb6-9be8-5a58-be8b-a77a9bbffd9a,原 Production Add（参考）,450,373,373,False,8,42,42,FULLY_KEPT,417,False
S001,S001-Q031,3b7f143a-e38f-5d11-9219-ef3c808f775a,原 Production Add（参考）,457,379,379,False,8,42,42,FULLY_KEPT,423,False
S001,S001-Q032,c107828c-a741-55f6-8e0c-446cfbdba215,原 Production Add（参考）,318,260,260,False,8,40,40,FULLY_KEPT,302,False
S001,S001-Q033,adb63a6d-b7bd-5396-8e59-1cb9403d2c73,原 Production Add（参考）,205,173,173,False,8,37,37,FULLY_KEPT,212,False
S001,S001-Q034,32b5d492-2df9-5ed9-ac46-caca5c87097c,原 Production Add（参考）,355,286,286,False,8,40,40,FULLY_KEPT,328,False
S001,S001-Q035,05b70e73-30bc-59f9-98c1-7b8ae315ffd0,原 Production Add（参考）,305,266,266,False,8,42,42,FULLY_KEPT,310,False
S001,S001-Q036,0ec56d0d-4e11-511a-9b98-5f6bddfc2dcc,原 Production Add（参考）,475,389,389,False,8,45,45,FULLY_KEPT,436,False
S001,S001-Q037,ec485c25-9d3b-5229-9578-6632bd7bacad,原 Production Add（参考）,266,220,220,False,8,39,39,FULLY_KEPT,261,False
S001,S001-Q038,5fcaa70b-2b7a-509b-bb78-82c6345a84eb,原 Production Add（参考）,548,462,462,False,8,44,44,FULLY_KEPT,508,False
