session_id,source_turn_id,old_keywords,new_keywords,added_keywords,lost_keywords,preserved_keywords,keyword_jaccard,exact_ordered_match
S001,S001-Q001,"[""贵州茅台"", ""2023-2025"", ""财务变化"", ""营业收入"", ""归母净利润"", ""总资产"", ""归母股东权益"", ""同比""]","[""贵州茅台"", ""2023-2025"", ""财务变化"", ""营业收入"", ""归母净利润"", ""总资产"", ""归母股东权益"", ""同比""]",[],[],"[""2023-2025"", ""同比"", ""归母净利润"", ""归母股东权益"", ""总资产"", ""营业收入"", ""财务变化"", ""贵州茅台""]",1.0,True
S001,S001-Q002,"[""贵州茅台"", ""2023-2025"", ""年报"", ""营业收入"", ""归母净利润"", ""总资产"", ""归母股东权益"", ""同比""]","[""贵州茅台"", ""2023-2025"", ""年报"", ""营业收入"", ""归母净利润"", ""总资产"", ""归母股东权益"", ""同比""]",[],[],"[""2023-2025"", ""同比"", ""年报"", ""归母净利润"", ""归母股东权益"", ""总资产"", ""营业收入"", ""贵州茅台""]",1.0,True
S001,S001-Q003,"[""贵州茅台"", ""2023-2025"", ""营业收入"", ""归母股东权益"", ""同比"", ""拐点"", ""权益研究员"", ""年报来源""]","[""贵州茅台"", ""2023-2025"", ""营业收入"", ""归母股东权益"", ""同比"", ""先升后降"", ""连续上升"", ""权益研究员""]","[""先升后降"", ""连续上升""]","[""年报来源"", ""拐点""]","[""2023-2025"", ""同比"", ""归母股东权益"", ""权益研究员"", ""营业收入"", ""贵州茅台""]",0.6,False
S001,S001-Q004,"[""贵州茅台"", ""2023-2025"", ""收入"", ""归母净利润"", ""总资产"", ""同比"", ""先升后降"", ""连续上升""]","[""贵州茅台"", ""2023-2025"", ""归母净利润"", ""总资产"", ""营业收入"", ""同比"", ""先升后降"", ""连续上升""]","[""营业收入""]","[""收入""]","[""2023-2025"", ""先升后降"", ""同比"", ""归母净利润"", ""总资产"", ""贵州茅台"", ""连续上升""]",0.7777777777777778,False
S001,S001-Q005,"[""贵州茅台"", ""2023-2025"", ""拐点"", ""归母净利润"", ""总资产"", ""同比"", ""年度报告"", ""权益研究员""]","[""贵州茅台"", ""2023-2025"", ""拐点"", ""归母净利润"", ""总资产"", ""营业收入"", ""同比"", ""年度报告""]","[""营业收入""]","[""权益研究员""]","[""2023-2025"", ""同比"", ""年度报告"", ""归母净利润"", ""总资产"", ""拐点"", ""贵州茅台""]",0.7777777777777778,False
S001,S001-Q006,"[""贵州茅台"", ""2023-2025"", ""扣非净利润"", ""盈利趋势"", ""营业收入"", ""归母净利润"", ""归母股东权益"", ""同比""]","[""贵州茅台"", ""2023-2025"", ""扣非净利润"", ""盈利趋势"", ""营业收入"", ""归母净利润"", ""归母股东权益"", ""同比""]",[],[],"[""2023-2025"", ""同比"", ""归母净利润"", ""归母股东权益"", ""扣非净利润"", ""盈利趋势"", ""营业收入"", ""贵州茅台""]",1.0,True
S001,S001-Q007,"[""贵州茅台"", ""2023-2025"", ""营业收入"", ""归母净利润"", ""归母股东权益"", ""经营现金流"", ""盈利质量"", ""年报原数""]","[""贵州茅台"", ""2023-2025"", ""营业收入"", ""归母净利润"", ""归母股东权益"", ""总资产"", ""同比"", ""经营现金流""]","[""同比"", ""总资产""]","[""年报原数"", ""盈利质量""]","[""2023-2025"", ""归母净利润"", ""归母股东权益"", ""经营现金流"", ""营业收入"", ""贵州茅台""]",0.6,False
S001,S001-Q008,"[""贵州茅台"", ""2023-2025"", ""总资产"", ""归母净利润"", ""资产扩张"", ""经营支撑"", ""同比"", ""年度报告""]","[""贵州茅台"", ""2023-2025"", ""总资产"", ""归母净利润"", ""营业收入"", ""资产扩张"", ""经营结果"", ""同比""]","[""经营结果"", ""营业收入""]","[""年度报告"", ""经营支撑""]","[""2023-2025"", ""同比"", ""归母净利润"", ""总资产"", ""贵州茅台"", ""资产扩张""]",0.6,False
S001,S001-Q009,"[""贵州茅台"", ""2023-2025"", ""股东权益"", ""归母净利润"", ""总资产"", ""同比"", ""权益积累"", ""年报分析""]","[""贵州茅台"", ""2023-2025"", ""股东权益"", ""归母净利润"", ""总资产"", ""同比"", ""权益积累"", ""年度报告""]","[""年度报告""]","[""年报分析""]","[""2023-2025"", ""同比"", ""归母净利润"", ""总资产"", ""权益积累"", ""股东权益"", ""贵州茅台""]",0.7777777777777778,False
S001,S001-Q010,"[""贵州茅台"", ""2023-2025"", ""归母股东权益"", ""营业收入"", ""同比"", ""拐点"", ""年度报告"", ""研究底稿""]","[""贵州茅台"", ""2023-2025年"", ""研究底稿"", ""阶段性结论"", ""归母股东权益"", ""营业收入"", ""归母净利润"", ""总资产""]","[""2023-2025年"", ""归母净利润"", ""总资产"", ""阶段性结论""]","[""2023-2025"", ""同比"", ""年度报告"", ""拐点""]","[""归母股东权益"", ""研究底稿"", ""营业收入"", ""贵州茅台""]",0.3333333333333333,False
