prompt,resolution_type,total,reference_required,context_supported_but_not_required,unsupported,precision
P0,INDICATOR,8,5,3,0,0.625
P0,COMPARISON_OBJECT,11,9,2,0,0.8181818181818182
P0,PRIOR_JUDGMENT,15,11,4,0,0.7333333333333333
P0,EVIDENCE_OBJECT,0,0,0,0,
P0,SUBJECT,0,0,0,0,
P0,TIME,0,0,0,0,
P0,OTHER,1,0,1,0,0.0
P0,ALL,35,25,10,0,0.7142857142857143
P2,INDICATOR,43,7,36,0,0.16279069767441862
P2,COMPARISON_OBJECT,23,12,11,0,0.5217391304347826
P2,PRIOR_JUDGMENT,53,32,21,0,0.6037735849056604
P2,EVIDENCE_OBJECT,37,13,24,0,0.35135135135135137
P2,SUBJECT,0,0,0,0,
P2,TIME,3,0,3,0,0.0
P2,OTHER,4,0,4,0,0.0
P2,ALL,163,64,99,0,0.39263803680981596
P4,INDICATOR,17,8,9,0,0.47058823529411764
P4,COMPARISON_OBJECT,20,13,7,0,0.65
P4,PRIOR_JUDGMENT,19,11,8,0,0.5789473684210527
P4,EVIDENCE_OBJECT,18,12,6,0,0.6666666666666666
P4,SUBJECT,0,0,0,0,
P4,TIME,0,0,0,0,
P4,OTHER,0,0,0,0,
P4,ALL,74,44,30,0,0.5945945945945946
