Config,token,category,Non-Gold Top5 entry matches
H0,2023,其它,17
H0,2024,其它,9
H0,2025,其它,24
H0,一年,其它,4
H0,一轮,其它,23
H0,一问,其它,5
H0,一项,其它,3
H0,三年,其它,58
H0,上,其它,24
H0,上升,其它,31
H0,下,其它,7
H0,下降,其它,10
H0,不,其它,26
H0,不能,其它,15
H0,不要,其它,9
H0,与,模板/功能词,44
H0,两个,其它,7
H0,两段,其它,10
H0,两者,其它,1
H0,中,模板/功能词,10
H0,中间,其它,4
H0,为,其它,3
H0,主,其它,1
H0,主要,其它,1
H0,也,模板/功能词,3
H0,事实,其它,27
H0,什么,其它,1
H0,从,其它,13
H0,但,其它,5
H0,依据,其它,3
H0,保留,其它,23
H0,信息,其它,14
H0,修订,高区分度任务词,22
H0,先,其它,9
H0,先升后,其它,32
H0,先降,其它,1
H0,公开,其它,11
H0,关于,其它,1
H0,关心,其它,12
H0,关注,其它,1
H0,关系,其它,7
H0,具体,模板/功能词,24
H0,再,其它,9
H0,再说,其它,2
H0,冲突,其它,9
H0,决策,其它,1
H0,净利润,金融词,69
H0,净额,其它,14
H0,出现,其它,1
H0,分别,其它,6
H0,分开,其它,3
H0,分析,其它,8
H0,判断,其它,41
H0,利润,金融词,2
H0,前面,模板/功能词,15
H0,加入,其它,7
H0,区分,其它,22
H0,单位,其它,5
H0,原因,其它,27
H0,原数,其它,12
H0,反证,高区分度任务词,13
H0,反转,其它,2
H0,发生,其它,3
H0,变化,其它,19
H0,口径,其它,23
H0,只,其它,8
H0,只能,其它,1
H0,可,其它,10
H0,可能,其它,5
H0,可靠性,其它,1
H0,同时,其它,3
H0,同步,其它,4
H0,同比,金融词,17
H0,后,其它,5
H0,后升,其它,1
H0,后续,其它,5
H0,向,其它,4
H0,呈,其它,24
H0,周转,高区分度任务词,1
H0,和,模板/功能词,68
H0,哪些,其它,7
H0,回,其它,2
H0,回到,其它,8
H0,回答,模板/功能词,16
H0,在,模板/功能词,26
H0,基于,其它,7
H0,基期,高区分度任务词,2
H0,复算,其它,14
H0,存在,其它,1
H0,季度,其它,6
H0,完整,其它,15
H0,审查,其它,4
H0,岗位,其它,13
H0,差异,其它,2
H0,已,其它,3
H0,幅度,其它,1
H0,年,其它,25
H0,年份,其它,1
H0,年度,其它,8
H0,年报,其它,14
H0,开始,其它,11
H0,引用,其它,1
H0,强度,其它,2
H0,归母,金融词,95
H0,当前,模板/功能词,6
H0,得到,其它,1
H0,总资产,金融词,35
H0,或,其它,31
H0,扣,其它,1
H0,扣非,其它,11
H0,把,模板/功能词,6
H0,披露,其它,33
H0,指出,其它,23
H0,指标,其它,21
H0,按,其它,1
H0,支持,其它,5
H0,支撑,其它,1
H0,收入,金融词,38
H0,数字,其它,10
H0,数据,其它,9
H0,方向,其它,8
H0,时,其它,4
H0,明显,其它,4
H0,明确,其它,14
H0,是,模板/功能词,13
H0,是否,其它,12
H0,最,其它,28
H0,最新,其它,4
H0,最早,其它,1
H0,期末,其它,1
H0,未,其它,2
H0,权益,金融词,3
H0,来源,其它,39
H0,检查,其它,12
H0,检验,其它,2
H0,正式,其它,1
H0,比亚迪,其它,9
H0,比率,其它,2
H0,比较,其它,11
H0,沿着,其它,1
H0,活动,其它,14
H0,点,其它,4
H0,现金,其它,7
H0,现金流,金融词,22
H0,用,其它,4
H0,的,模板/功能词,185
H0,盈利,其它,1
H0,直接,其它,16
H0,相关,其它,2
H0,看,其它,1
H0,确认,其它,31
H0,端点,其它,7
H0,经营,金融词,30
H0,结合,模板/功能词,11
H0,结论,其它,86
H0,给出,其它,1
H0,缺口,其它,2
H0,而,其它,8
H0,股东权益,金融词,32
H0,能,其它,16
H0,茅台,其它,24
H0,营业,金融词,35
H0,表现,其它,3
H0,表述,其它,3
H0,解释,其它,1
H0,计算,其它,16
H0,计算结果,其它,7
H0,证据,高区分度任务词,31
H0,证据不足,其它,1
H0,证明,其它,3
H0,说明,模板/功能词,29
H0,请,模板/功能词,3
H0,财年,其它,8
H0,质量,其它,1
H0,贵州,其它,24
H0,资产,金融词,7
H0,超过,其它,1
H0,趋势,其它,3
H0,路径,其它,11
H0,边际,其它,4
H0,近似,其它,5
H0,还,其它,1
H0,还是,其它,12
H0,连续,其它,48
H0,追问,其它,10
H0,逐年,其它,4
H0,问题,其它,6
H0,降,其它,33
H0,限制,其它,6
H0,需要,其它,8
H0,非归母,其它,1
H0,项,其它,2
H0,风险,其它,8
H4,2023,其它,17
H4,2024,其它,9
H4,2025,其它,24
H4,一年,其它,4
H4,一轮,其它,23
H4,一问,其它,5
H4,一项,其它,3
H4,三年,其它,57
H4,上,其它,24
H4,上升,其它,32
H4,下,其它,7
H4,下降,其它,10
H4,不,其它,26
H4,不能,其它,15
H4,不要,其它,9
H4,与,模板/功能词,44
H4,两个,其它,7
H4,两段,其它,10
H4,两者,其它,1
H4,中,模板/功能词,10
H4,中间,其它,4
H4,为,其它,3
H4,主,其它,1
H4,主要,其它,1
H4,也,模板/功能词,3
H4,事实,其它,27
H4,什么,其它,1
H4,从,其它,13
H4,但,其它,5
H4,依据,其它,3
H4,保留,其它,23
H4,信息,其它,14
H4,修订,高区分度任务词,22
H4,先,其它,9
H4,先升后,其它,33
H4,先降,其它,1
H4,公开,其它,11
H4,关于,其它,1
H4,关心,其它,12
H4,关注,其它,1
H4,关系,其它,7
H4,具体,模板/功能词,25
H4,再,其它,8
H4,再说,其它,2
H4,冲突,其它,9
H4,决策,其它,1
H4,净利润,金融词,70
H4,净额,其它,14
H4,出现,其它,1
H4,分别,其它,6
H4,分开,其它,3
H4,分析,其它,8
H4,判断,其它,42
H4,利润,金融词,2
H4,前面,模板/功能词,16
H4,加入,其它,7
H4,区分,其它,22
H4,单位,其它,5
H4,原因,其它,28
H4,原数,其它,12
H4,反证,高区分度任务词,13
H4,反转,其它,2
H4,发生,其它,3
H4,变化,其它,19
H4,口径,其它,23
H4,只,其它,8
H4,只能,其它,1
H4,可,其它,10
H4,可能,其它,5
H4,可靠性,其它,1
H4,同时,其它,3
H4,同步,其它,4
H4,同比,金融词,17
H4,后,其它,5
H4,后升,其它,1
H4,后续,其它,5
H4,向,其它,4
H4,呈,其它,24
H4,周转,高区分度任务词,1
H4,和,模板/功能词,69
H4,哪些,其它,7
H4,回,其它,2
H4,回到,其它,8
H4,回答,模板/功能词,16
H4,在,模板/功能词,26
H4,基于,其它,7
H4,基期,高区分度任务词,2
H4,复算,其它,14
H4,存在,其它,1
H4,季度,其它,6
H4,完整,其它,15
H4,审查,其它,4
H4,岗位,其它,13
H4,差异,其它,2
H4,已,其它,3
H4,幅度,其它,1
H4,年,其它,25
H4,年份,其它,1
H4,年度,其它,8
H4,年报,其它,14
H4,开始,其它,11
H4,引用,其它,1
H4,强度,其它,2
H4,归母,金融词,96
H4,当前,模板/功能词,6
H4,得到,其它,1
H4,总资产,金融词,35
H4,或,其它,31
H4,扣,其它,1
H4,扣非,其它,12
H4,把,模板/功能词,6
H4,披露,其它,33
H4,指出,其它,23
H4,指标,其它,21
H4,按,其它,1
H4,支持,其它,5
H4,支撑,其它,1
H4,收入,金融词,39
H4,数字,其它,11
H4,数据,其它,9
H4,方向,其它,8
H4,时,其它,5
H4,明显,其它,4
H4,明确,其它,14
H4,是,模板/功能词,13
H4,是否,其它,13
H4,最,其它,28
H4,最新,其它,4
H4,最早,其它,1
H4,期末,其它,1
H4,未,其它,3
H4,权益,金融词,3
H4,来源,其它,40
H4,检查,其它,12
H4,检验,其它,2
H4,正式,其它,1
H4,比亚迪,其它,9
H4,比率,其它,2
H4,比较,其它,11
H4,沿着,其它,1
H4,活动,其它,14
H4,点,其它,4
H4,现金,其它,7
H4,现金流,金融词,22
H4,用,其它,4
H4,的,模板/功能词,187
H4,盈利,其它,1
H4,直接,其它,17
H4,相关,其它,2
H4,看,其它,1
H4,矛盾,其它,1
H4,确认,其它,30
H4,端点,其它,7
H4,经营,金融词,30
H4,结合,模板/功能词,11
H4,结论,其它,87
H4,给出,其它,1
H4,缺口,其它,2
H4,而,其它,8
H4,股东权益,金融词,32
H4,能,其它,16
H4,茅台,其它,24
H4,营业,金融词,36
H4,表现,其它,3
H4,表述,其它,3
H4,解释,其它,1
H4,计算,其它,16
H4,计算结果,其它,7
H4,证据,高区分度任务词,31
H4,证据不足,其它,1
H4,证明,其它,3
H4,说明,模板/功能词,28
H4,请,模板/功能词,3
H4,财年,其它,8
H4,质量,其它,1
H4,贵州,其它,24
H4,资产,金融词,7
H4,超过,其它,1
H4,趋势,其它,3
H4,路径,其它,11
H4,边际,其它,4
H4,近似,其它,5
H4,还,其它,1
H4,还是,其它,12
H4,连续,其它,49
H4,追问,其它,10
H4,逐年,其它,4
H4,问题,其它,6
H4,降,其它,34
H4,限制,其它,6
H4,需要,其它,8
H4,非归母,其它,1
H4,项,其它,2
H4,风险,其它,8
H5,2023,其它,3
H5,2024,其它,3
H5,2025,其它,5
H5,三年,其它,17
H5,两段,其它,4
H5,中间,其它,3
H5,事实,其它,1
H5,保留,其它,5
H5,信息,其它,5
H5,修订,高区分度任务词,2
H5,冲突,其它,10
H5,净利润,金融词,4
H5,分析,其它,3
H5,判断,其它,7
H5,利润,金融词,2
H5,原数,其它,3
H5,反证,高区分度任务词,1
H5,变化,其它,11
H5,口径,其它,11
H5,可,其它,1
H5,可靠性,其它,1
H5,同比,金融词,5
H5,基期,高区分度任务词,1
H5,完整,其它,1
H5,审查,其它,1
H5,差异,其它,1
H5,年,其它,3
H5,年报,其它,11
H5,强度,其它,1
H5,归母,金融词,3
H5,总资产,金融词,1
H5,指标,其它,12
H5,支撑,其它,2
H5,收入,金融词,10
H5,效率,其它,1
H5,权益,金融词,1
H5,来源,其它,13
H5,检查,其它,4
H5,检验,其它,1
H5,比亚迪,其它,4
H5,比率,其它,2
H5,比较,其它,1
H5,点,其它,2
H5,现金,其它,3
H5,现金流,金融词,2
H5,盈利,其它,3
H5,确认,其它,3
H5,结论,其它,6
H5,缺口,其它,1
H5,股东权益,金融词,3
H5,茅台,其它,13
H5,营业,金融词,7
H5,计算,其它,1
H5,计算结果,其它,3
H5,证据,高区分度任务词,4
H5,财年,其它,1
H5,质量,其它,1
H5,贵州,其它,13
H5,资产,金融词,4
H5,趋势,其它,2
H5,路径,其它,6
H5,边际,其它,2
H5,降,其它,4
H5,限制,其它,3
H5,风险,其它,5
