requirement_id,session_id,query_id,turn_index,group_index,gold_members,is_or,shortterm_rank,shortterm_hit,midterm_ranking_available,midterm_rank,midterm_hit_at_5,longterm_rank,longterm_hit,final_hit
S001-Q002::G1,S001,S001-Q002,1,1,['S001-Q001'],False,1,True,False,,False,,False,True
S001-Q003::G1,S001,S001-Q003,2,1,['S001-Q002'],False,2,True,False,,False,,False,True
S001-Q004::G1,S001,S001-Q004,3,1,['S001-Q003'],False,3,True,False,,False,,False,True
S001-Q005::G1,S001,S001-Q005,4,1,['S001-Q004'],False,3,True,False,,False,,False,True
S001-Q006::G1,S001,S001-Q006,5,1,['S001-Q001'],False,,False,True,1,True,1,True,True
S001-Q007::G1,S001,S001-Q007,6,1,['S001-Q006'],False,3,True,False,,False,,False,True
S001-Q008::G1,S001,S001-Q008,7,1,['S001-Q003'],False,,False,True,1,True,1,True,True
S001-Q009::G1,S001,S001-Q009,8,1,['S001-Q008'],False,3,True,False,,False,,False,True
S001-Q010::G1,S001,S001-Q010,9,1,['S001-Q005'],False,,False,True,1,True,1,True,True
S001-Q011::G1,S001,S001-Q011,10,1,['S001-Q010'],False,3,True,False,,False,,False,True
S001-Q012::G1,S001,S001-Q012,11,1,['S001-Q007'],False,,False,True,1,True,2,True,True
S001-Q013::G1,S001,S001-Q013,12,1,['S001-Q012'],False,3,True,False,,False,,False,True
S001-Q014::G1,S001,S001-Q014,13,1,['S001-Q009'],False,,False,True,4,True,3,True,True
S001-Q015::G1,S001,S001-Q015,14,1,['S001-Q012'],False,1,True,False,,False,,False,True
S001-Q015::G2,S001,S001-Q015,14,2,['S001-Q014'],False,3,True,False,,False,,False,True
S001-Q016::G1,S001,S001-Q016,15,1,['S001-Q011'],False,,False,True,6,False,5,True,True
S001-Q017::G1,S001,S001-Q017,16,1,['S001-Q016'],False,3,True,False,,False,,False,True
S001-Q018::G1,S001,S001-Q018,17,1,['S001-Q013'],False,,False,True,1,True,1,True,True
