query_id,gold_page_id,gold_source_turn_id,候选 Add Prompt,Query 检索方式,Gold movement,Production rank,Candidate rank,TASK_added,TASK_lost,TASK_preserved,SUBJECT_added,SUBJECT_lost,SUBJECT_preserved,TIME_added,TIME_lost,TIME_preserved,INDICATOR_added,INDICATOR_lost,INDICATOR_preserved,NUMBER_added,NUMBER_lost,NUMBER_preserved,STATE_added,STATE_lost,STATE_preserved,RELATION_added,RELATION_lost,RELATION_preserved,DEPENDENCY_added,DEPENDENCY_lost,DEPENDENCY_preserved,EVIDENCE_LIMIT_added,EVIDENCE_LIMIT_lost,EVIDENCE_LIMIT_preserved,KEYWORD_added,KEYWORD_lost,KEYWORD_preserved,JUDGMENT_added,JUDGMENT_lost,JUDGMENT_preserved
S001-Q011,2631e802-75be-5089-9418-baece6a717cf,S001-Q001,最小改动 Add Prompt,原始问题直接检索,PROMOTED,6,5,[],[],"[""原因解释"", ""口径核验"", ""同比解释"", ""拐点定位"", ""来源核验"", ""盈利质量""]",[],[],"[""贵州茅台""]",[],[],"[""2023"", ""2023年"", ""2024年"", ""2025"", ""2025年"", ""2026""]",[],[],"[""归母净利润"", ""归母股东权益"", ""总资产"", ""营业收入""]",[],[],"[""+1.64%"", ""+15.38%"", ""+15.71%"", ""+4.95%"", ""+8.09%"", ""+9.62%"", ""-1.21%"", ""-4.53%"", ""04"", ""1,476.94"", ""1,688.38"", ""1,708.99"", ""17"", ""2,156.69"", ""2,331.06"", ""2,446.38"", ""2,727"", ""2,989.45"", ""2023"", ""2024"", ""2025"", ""2026"", ""3,038.35"", ""747.34"", ""823.20"", ""862.28""]",[],[],"[""先升后降"", ""连续上升""]",[],[],"[""同比""]","[""CONTINUATION""]",[],[],[],"[""口径限制"", ""来源限制""]","[""信息缺口""]",[],[],"[""2023-2025"", ""同比"", ""归母净利润"", ""归母股东权益"", ""总资产"", ""营业收入"", ""财务变化"", ""贵州茅台""]","[""确认""]",[],"[""判断"", ""结论""]"
S001-Q011,2631e802-75be-5089-9418-baece6a717cf,S001-Q001,最小改动 Add Prompt,上下文引用解析后检索,PROMOTED,6,5,[],[],"[""原因解释"", ""口径核验"", ""同比解释"", ""拐点定位"", ""来源核验"", ""盈利质量""]",[],[],"[""贵州茅台""]",[],[],"[""2023"", ""2023年"", ""2024年"", ""2025"", ""2025年"", ""2026""]",[],[],"[""归母净利润"", ""归母股东权益"", ""总资产"", ""营业收入""]",[],[],"[""+1.64%"", ""+15.38%"", ""+15.71%"", ""+4.95%"", ""+8.09%"", ""+9.62%"", ""-1.21%"", ""-4.53%"", ""04"", ""1,476.94"", ""1,688.38"", ""1,708.99"", ""17"", ""2,156.69"", ""2,331.06"", ""2,446.38"", ""2,727"", ""2,989.45"", ""2023"", ""2024"", ""2025"", ""2026"", ""3,038.35"", ""747.34"", ""823.20"", ""862.28""]",[],[],"[""先升后降"", ""连续上升""]",[],[],"[""同比""]","[""CONTINUATION""]",[],[],[],"[""口径限制"", ""来源限制""]","[""信息缺口""]",[],[],"[""2023-2025"", ""同比"", ""归母净利润"", ""归母股东权益"", ""总资产"", ""营业收入"", ""财务变化"", ""贵州茅台""]","[""确认""]",[],"[""判断"", ""结论""]"
S001-Q011,2631e802-75be-5089-9418-baece6a717cf,S001-Q001,多检索入口保留 Add Prompt,原始问题直接检索,PROMOTED,6,4,[],[],"[""原因解释"", ""口径核验"", ""同比解释"", ""拐点定位"", ""来源核验"", ""盈利质量""]",[],[],"[""贵州茅台""]",[],[],"[""2023"", ""2023年"", ""2024年"", ""2025"", ""2025年"", ""2026""]",[],[],"[""归母净利润"", ""归母股东权益"", ""总资产"", ""营业收入""]",[],[],"[""+1.64%"", ""+15.38%"", ""+15.71%"", ""+4.95%"", ""+8.09%"", ""+9.62%"", ""-1.21%"", ""-4.53%"", ""04"", ""1,476.94"", ""1,688.38"", ""1,708.99"", ""17"", ""2,156.69"", ""2,331.06"", ""2,446.38"", ""2,727"", ""2,989.45"", ""2023"", ""2024"", ""2025"", ""2026"", ""3,038.35"", ""747.34"", ""823.20"", ""862.28""]",[],[],"[""先升后降"", ""连续上升""]",[],[],"[""同比""]",[],[],[],[],"[""口径限制"", ""来源限制""]","[""信息缺口""]",[],[],"[""2023-2025"", ""同比"", ""归母净利润"", ""归母股东权益"", ""总资产"", ""营业收入"", ""财务变化"", ""贵州茅台""]","[""确认""]",[],"[""判断"", ""结论""]"
S001-Q011,2631e802-75be-5089-9418-baece6a717cf,S001-Q001,多检索入口保留 Add Prompt,上下文引用解析后检索,PROMOTED,6,4,[],[],"[""原因解释"", ""口径核验"", ""同比解释"", ""拐点定位"", ""来源核验"", ""盈利质量""]",[],[],"[""贵州茅台""]",[],[],"[""2023"", ""2023年"", ""2024年"", ""2025"", ""2025年"", ""2026""]",[],[],"[""归母净利润"", ""归母股东权益"", ""总资产"", ""营业收入""]",[],[],"[""+1.64%"", ""+15.38%"", ""+15.71%"", ""+4.95%"", ""+8.09%"", ""+9.62%"", ""-1.21%"", ""-4.53%"", ""04"", ""1,476.94"", ""1,688.38"", ""1,708.99"", ""17"", ""2,156.69"", ""2,331.06"", ""2,446.38"", ""2,727"", ""2,989.45"", ""2023"", ""2024"", ""2025"", ""2026"", ""3,038.35"", ""747.34"", ""823.20"", ""862.28""]",[],[],"[""先升后降"", ""连续上升""]",[],[],"[""同比""]",[],[],[],[],"[""口径限制"", ""来源限制""]","[""信息缺口""]",[],[],"[""2023-2025"", ""同比"", ""归母净利润"", ""归母股东权益"", ""总资产"", ""营业收入"", ""财务变化"", ""贵州茅台""]","[""确认""]",[],"[""判断"", ""结论""]"
S001-Q013,9b4b60a1-f0f9-5368-b4ce-b441752321bb,S001-Q006,最小改动 Add Prompt,上下文引用解析后检索,DEMOTED,3,7,"[""判断修订""]","[""同步比较""]","[""原因解释"", ""口径核验"", ""可复算性"", ""同比解释"", ""拐点定位"", ""来源核验"", ""盈利质量""]",[],[],"[""贵州茅台""]",[],[],"[""2023"", ""2023年"", ""2024年"", ""2025"", ""2025年"", ""2026""]",[],"[""归母净利润"", ""总资产""]","[""归母股东权益"", ""扣非归母净利润"", ""营业收入""]","[""1476.94"", ""1688.38"", ""1708.99"", ""2156.69"", ""2331.06"", ""2446.38""]","[""+1.64%"", ""+15.38%"", ""+9.62%"", ""-4.53%"", ""1,476.94"", ""1,688.38"", ""1,708.99"", ""2,156.69"", ""2,331.06"", ""2,446.38"", ""2,727"", ""2,989.45"", ""3,038.35"", ""747.34"", ""823.20"", ""862.28""]","[""+15.71%"", ""+4.95%"", ""+8.09%"", ""-1.21%"", ""04"", ""1225114731"", ""17"", ""2023"", ""2024"", ""2025"", ""2026""]",[],"[""不同步""]","[""先升后降"", ""连续上升""]",[],"[""不同步""]","[""同比""]","[""REVISION""]",[],"[""CONTINUATION""]",[],"[""信息缺口""]","[""口径限制"", ""来源限制""]","[""年度报告""]","[""归母净利润""]","[""2023-2025"", ""同比"", ""归母股东权益"", ""扣非净利润"", ""盈利趋势"", ""营业收入"", ""贵州茅台""]",[],[],"[""判断"", ""确认"", ""结论""]"
S001-Q013,9b4b60a1-f0f9-5368-b4ce-b441752321bb,S001-Q006,任务 + 证据链保留 Add Prompt,上下文引用解析后检索,DEMOTED,3,8,"[""判断修订"", ""管理层问询""]","[""同步比较""]","[""原因解释"", ""口径核验"", ""可复算性"", ""同比解释"", ""拐点定位"", ""来源核验"", ""盈利质量""]",[],[],"[""贵州茅台""]",[],[],"[""2023"", ""2023年"", ""2024年"", ""2025"", ""2025年"", ""2026""]",[],[],"[""归母净利润"", ""归母股东权益"", ""总资产"", ""扣非归母净利润"", ""营业收入""]","[""1476.94"", ""1688.38"", ""1708.99"", ""17，"", ""2156.69"", ""2331.06"", ""2446.38"", ""2727"", ""2989.45"", ""3038.35""]","[""1,476.94"", ""1,688.38"", ""1,708.99"", ""2,156.69"", ""2,331.06"", ""2,446.38"", ""2,727"", ""2,989.45"", ""3,038.35""]","[""+1.64%"", ""+15.38%"", ""+15.71%"", ""+4.95%"", ""+8.09%"", ""+9.62%"", ""-1.21%"", ""-4.53%"", ""04"", ""1225114731"", ""17"", ""2023"", ""2024"", ""2025"", ""2026"", ""747.34"", ""823.20"", ""862.28""]","[""拐点""]",[],"[""不同步"", ""先升后降"", ""连续上升""]","[""比较""]",[],"[""不同步"", ""同比""]","[""EARLIER_CONTEXT"", ""REVISION""]",[],"[""CONTINUATION""]",[],"[""口径限制""]","[""信息缺口"", ""来源限制""]","[""拐点""]","[""归母净利润""]","[""2023-2025"", ""同比"", ""归母股东权益"", ""扣非净利润"", ""盈利趋势"", ""营业收入"", ""贵州茅台""]",[],[],"[""判断"", ""确认"", ""结论""]"
S001-Q021,f1228bac-12d1-520f-9787-52a8cdcd49db,S001-Q015,最小改动 Add Prompt,上下文引用解析后检索,PROMOTED,6,5,"[""原因解释"", ""可复算性""]",[],"[""口径核验"", ""同比解释"", ""拐点定位"", ""来源核验""]",[],[],"[""贵州茅台""]","[""2026""]",[],"[""2023"", ""2023年"", ""2024年"", ""2025"", ""2025年""]",[],[],"[""归母股东权益"", ""营业收入""]","[""04"", ""17"", ""2026""]",[],"[""+15.71%"", ""+4.95%"", ""+8.09%"", ""-1.21%"", ""1,476.94"", ""1,688.38"", ""1,708.99"", ""2,156.69"", ""2,331.06"", ""2,446.38"", ""2023"", ""2024"", ""2025""]",[],[],"[""先升后降"", ""连续上升""]",[],[],"[""同比""]",[],[],[],[],[],"[""来源限制""]",[],[],"[""2023-2025"", ""先升后降"", ""同比"", ""年度报告"", ""归母股东权益"", ""营业收入"", ""贵州茅台"", ""连续上升""]","[""确认""]",[],"[""结论""]"
S001-Q022,55e7e466-3b1c-5014-85fc-2a14618ce254,S001-Q018,多检索入口保留 Add Prompt,原始问题直接检索,PROMOTED,13,4,"[""同步比较"", ""阶段小结""]","[""原因解释"", ""盈利质量""]","[""反证检验"", ""口径核验"", ""同比解释"", ""拐点定位"", ""来源核验"", ""验证""]",[],[],"[""贵州茅台""]",[],[],"[""2023"", ""2023年"", ""2024年"", ""2025"", ""2025年"", ""2026""]",[],"[""归母净利润"", ""总资产""]","[""归母股东权益"", ""营业收入""]","[""+15.71%"", ""+4.95%"", ""+8.09%"", ""1225114731"", ""17，""]","[""-4.53%"", ""2,727"", ""2,989.45"", ""3,038.35"", ""747.34"", ""823.20"", ""862.28""]","[""-1.21%"", ""04"", ""1,476.94"", ""1,688.38"", ""1,708.99"", ""17"", ""2,156.69"", ""2,331.06"", ""2,446.38"", ""2023"", ""2024"", ""2025"", ""2026""]","[""不同步"", ""拐点""]",[],"[""先升后降"", ""连续上升""]","[""不同步"", ""修订""]","[""比较""]","[""反证"", ""同比""]",[],[],"[""PREVIOUS_TURN"", ""REVISION""]",[],[],"[""口径限制"", ""来源限制""]","[""拐点""]","[""权益研究员""]","[""2023-2025财年"", ""反证检验"", ""同比"", ""年度报告"", ""归母股东权益"", ""营业收入"", ""贵州茅台""]","[""修订"", ""确认""]",[],"[""结论""]"
S001-Q022,55e7e466-3b1c-5014-85fc-2a14618ce254,S001-Q018,多检索入口保留 Add Prompt,上下文引用解析后检索,PROMOTED,11,4,"[""同步比较"", ""阶段小结""]","[""原因解释"", ""盈利质量""]","[""反证检验"", ""口径核验"", ""同比解释"", ""拐点定位"", ""来源核验"", ""验证""]",[],[],"[""贵州茅台""]",[],[],"[""2023"", ""2023年"", ""2024年"", ""2025"", ""2025年"", ""2026""]",[],"[""归母净利润"", ""总资产""]","[""归母股东权益"", ""营业收入""]","[""+15.71%"", ""+4.95%"", ""+8.09%"", ""1225114731"", ""17，""]","[""-4.53%"", ""2,727"", ""2,989.45"", ""3,038.35"", ""747.34"", ""823.20"", ""862.28""]","[""-1.21%"", ""04"", ""1,476.94"", ""1,688.38"", ""1,708.99"", ""17"", ""2,156.69"", ""2,331.06"", ""2,446.38"", ""2023"", ""2024"", ""2025"", ""2026""]","[""不同步"", ""拐点""]",[],"[""先升后降"", ""连续上升""]","[""不同步"", ""修订""]","[""比较""]","[""反证"", ""同比""]",[],[],"[""PREVIOUS_TURN"", ""REVISION""]",[],[],"[""口径限制"", ""来源限制""]","[""拐点""]","[""权益研究员""]","[""2023-2025财年"", ""反证检验"", ""同比"", ""年度报告"", ""归母股东权益"", ""营业收入"", ""贵州茅台""]","[""修订"", ""确认""]",[],"[""结论""]"
S001-Q026,88e975b7-0f5a-5f5c-98ce-e461dcab93b8,S001-Q019,最小改动 Add Prompt,原始问题直接检索,DEMOTED,4,13,"[""证据分级""]","[""验证""]","[""判断修订"", ""原因解释"", ""反证检验"", ""口径核验"", ""可复算性"", ""同比解释"", ""拐点定位"", ""来源核验""]",[],[],"[""贵州茅台""]",[],[],"[""2023"", ""2023年"", ""2024年"", ""2025"", ""2025年"", ""2026""]",[],[],"[""归母股东权益"", ""营业收入""]","[""17，""]","[""17""]","[""+15.71%"", ""+4.95%"", ""+8.09%"", ""-1.21%"", ""04"", ""1,476.94"", ""1,688.38"", ""1,708.99"", ""2,156.69"", ""2,331.06"", ""2,446.38"", ""2023"", ""2024"", ""2025"", ""2026""]",[],[],"[""先升后降"", ""连续上升""]",[],[],"[""修订"", ""反证"", ""同比""]",[],[],"[""REVISION""]",[],[],"[""信息缺口"", ""口径限制"", ""来源限制""]","[""2023-2025财年"", ""反证"", ""同比""]","[""2023-2025"", ""反证检验"", ""表述修正""]","[""先升后降"", ""归母股东权益"", ""营业收入"", ""贵州茅台"", ""连续上升""]",[],"[""结论""]","[""修订"", ""判断"", ""确认""]"
