prompt,resolution_type,total_added_canonical_content,reference_required,context_supported_but_not_required,unsupported
P0,SUBJECT,0,0,0,0
P0,INDICATOR,8,5,3,0
P0,COMPARISON_OBJECT,11,9,2,0
P0,PRIOR_JUDGMENT,15,11,4,0
P0,EVIDENCE_OBJECT,0,0,0,0
P0,TIME,0,0,0,0
P0,OTHER,1,0,1,0
P0,ALL,35,25,10,0
P1,SUBJECT,0,0,0,0
P1,INDICATOR,85,10,75,0
P1,COMPARISON_OBJECT,41,16,25,0
P1,PRIOR_JUDGMENT,65,47,18,0
P1,EVIDENCE_OBJECT,87,35,50,2
P1,TIME,26,1,25,0
P1,OTHER,11,0,11,0
P1,ALL,315,109,204,2
P2,SUBJECT,0,0,0,0
P2,INDICATOR,43,7,36,0
P2,COMPARISON_OBJECT,23,12,11,0
P2,PRIOR_JUDGMENT,53,32,21,0
P2,EVIDENCE_OBJECT,37,13,24,0
P2,TIME,3,0,3,0
P2,OTHER,4,0,4,0
P2,ALL,163,64,99,0
P3,SUBJECT,0,0,0,0
P3,INDICATOR,62,8,54,0
P3,COMPARISON_OBJECT,42,15,27,0
P3,PRIOR_JUDGMENT,58,39,19,0
P3,EVIDENCE_OBJECT,84,24,59,1
P3,TIME,1,0,1,0
P3,OTHER,2,0,2,0
P3,ALL,249,86,162,1
