Checkpoint,comparison,session_id,query_id,transition,before_gold_ranks,after_gold_ranks,promoted_gold,demoted_gold,top5_page_ids_identical
C0,C0 Hybrid vs Dense,S001,S001-Q007,UNCHANGED_HIT,"{""2631e802-75be-5089-9418-baece6a717cf"": 3}","{""2631e802-75be-5089-9418-baece6a717cf"": 3}",0,0,True
C0,C0 Hybrid vs Dense,S001,S001-Q011,UNCHANGED_HIT,"{""2631e802-75be-5089-9418-baece6a717cf"": 6, ""dc12b285-c21d-5cfe-84a2-d016fce5ffe6"": 1}","{""2631e802-75be-5089-9418-baece6a717cf"": 7, ""dc12b285-c21d-5cfe-84a2-d016fce5ffe6"": 1}",0,0,False
C0,C0 Hybrid vs Dense,S001,S001-Q013,UNCHANGED_MISS,"{""2631e802-75be-5089-9418-baece6a717cf"": 9, ""9b4b60a1-f0f9-5368-b4ce-b441752321bb"": 7}","{""2631e802-75be-5089-9418-baece6a717cf"": 9, ""9b4b60a1-f0f9-5368-b4ce-b441752321bb"": 7}",0,0,False
C0,C0 Hybrid vs Dense,S001,S001-Q014,UNCHANGED_HIT,"{""f99dbe58-f286-568d-b1fe-f1ebe59c0e0a"": 1}","{""f99dbe58-f286-568d-b1fe-f1ebe59c0e0a"": 3}",0,0,False
C0,C0 Hybrid vs Dense,S001,S001-Q021,UNCHANGED_MISS,"{""f1228bac-12d1-520f-9787-52a8cdcd49db"": 6}","{""f1228bac-12d1-520f-9787-52a8cdcd49db"": 12}",0,0,False
C0,C0 Hybrid vs Dense,S001,S001-Q022,UNCHANGED_MISS,"{""34fa3574-894f-575c-b9b0-0a183473746e"": 16, ""55e7e466-3b1c-5014-85fc-2a14618ce254"": 13}","{""34fa3574-894f-575c-b9b0-0a183473746e"": 17, ""55e7e466-3b1c-5014-85fc-2a14618ce254"": 16}",0,0,False
C0,C0 Hybrid vs Dense,S001,S001-Q026,UNCHANGED_HIT,"{""289ba3d6-8b24-5c77-8df9-7af211ee1007"": 21, ""88e975b7-0f5a-5f5c-98ce-e461dcab93b8"": 4}","{""289ba3d6-8b24-5c77-8df9-7af211ee1007"": 21, ""88e975b7-0f5a-5f5c-98ce-e461dcab93b8"": 3}",0,0,False
C0,C0 Hybrid vs Dense,S001,S001-Q028,HURT,"{""44777fdf-abd5-5570-b0aa-8e3f1cb44000"": 2}","{""44777fdf-abd5-5570-b0aa-8e3f1cb44000"": 6}",0,1,False
C0,C0 Hybrid vs Dense,S001,S001-Q033,HURT,"{""d5c03971-3795-5256-a75f-b3921d61a92d"": 2, ""b4497adc-7393-57c0-8917-ce3372fbd151"": 20}","{""d5c03971-3795-5256-a75f-b3921d61a92d"": 6, ""b4497adc-7393-57c0-8917-ce3372fbd151"": 22}",0,1,False
C0,C0 Hybrid vs Dense,S001,S001-Q035,UNCHANGED_MISS,"{""b4497adc-7393-57c0-8917-ce3372fbd151"": 27}","{""b4497adc-7393-57c0-8917-ce3372fbd151"": 7}",0,0,False
C0,C0 Hybrid vs Dense,S001,S001-Q039,HURT,"{""31eb0f30-7b80-5d07-8ba6-bc6a6a24cb62"": 3, ""c107828c-a741-55f6-8e0c-446cfbdba215"": 11}","{""31eb0f30-7b80-5d07-8ba6-bc6a6a24cb62"": 7, ""c107828c-a741-55f6-8e0c-446cfbdba215"": 19}",0,1,False
C0,C0 Hybrid vs Dense,S001,S001-Q042,UNCHANGED_MISS,"{""0ec56d0d-4e11-511a-9b98-5f6bddfc2dcc"": 6}","{""0ec56d0d-4e11-511a-9b98-5f6bddfc2dcc"": 21}",0,0,False
C0,C0 Hybrid vs Dense,S001,S001-Q044,UNCHANGED_MISS,"{""32b5d492-2df9-5ed9-ac46-caca5c87097c"": 15, ""4054aab2-0aa7-5019-b341-077265511add"": 29}","{""32b5d492-2df9-5ed9-ac46-caca5c87097c"": 19, ""4054aab2-0aa7-5019-b341-077265511add"": 28}",0,0,False
C0,C0 Hybrid vs Dense,S001,S001-Q049,UNCHANGED_MISS,"{""de592e81-e050-536b-8909-32866c85f6c2"": 13}","{""de592e81-e050-536b-8909-32866c85f6c2"": 16}",0,0,False
C0,C0 Hybrid vs Dense,S002,S002-Q007,UNCHANGED_HIT,"{""f70d87dd-c4b9-59de-a761-869308b1818b"": 3}","{""f70d87dd-c4b9-59de-a761-869308b1818b"": 3}",0,0,True
C0,C0 Hybrid vs Dense,S002,S002-Q011,UNCHANGED_HIT,"{""f70d87dd-c4b9-59de-a761-869308b1818b"": 6, ""03c3981b-3b09-56ca-a545-043c8ff0d240"": 3}","{""f70d87dd-c4b9-59de-a761-869308b1818b"": 6, ""03c3981b-3b09-56ca-a545-043c8ff0d240"": 4}",0,0,False
C0,C0 Hybrid vs Dense,S002,S002-Q013,HURT,"{""f70d87dd-c4b9-59de-a761-869308b1818b"": 9, ""a6c0000c-f234-59a1-b6e5-1283680d9b77"": 5}","{""f70d87dd-c4b9-59de-a761-869308b1818b"": 9, ""a6c0000c-f234-59a1-b6e5-1283680d9b77"": 6}",0,1,False
C0,C0 Hybrid vs Dense,S002,S002-Q014,UNCHANGED_HIT,"{""37d568b0-90c6-5481-b7d9-e0101fd95e52"": 3}","{""37d568b0-90c6-5481-b7d9-e0101fd95e52"": 4}",0,0,False
C0,C0 Hybrid vs Dense,S002,S002-Q021,UNCHANGED_MISS,"{""691ce2a8-c4c3-51f3-8cb7-32f42cdee99e"": 13}","{""691ce2a8-c4c3-51f3-8cb7-32f42cdee99e"": 11}",0,0,False
C0,C0 Hybrid vs Dense,S002,S002-Q022,UNCHANGED_HIT,"{""4d8b4bb3-4a1f-538c-af07-cc0ce19ea796"": 4, ""b304ab57-b911-5070-88ba-fca4f39a37e8"": 11}","{""4d8b4bb3-4a1f-538c-af07-cc0ce19ea796"": 3, ""b304ab57-b911-5070-88ba-fca4f39a37e8"": 14}",0,0,False
C0,C0 Hybrid vs Dense,S002,S002-Q026,RESCUED,"{""00ce1b35-d357-53e0-a42e-a8f97d4a07f0"": 6, ""e64218f2-62ce-555a-ba53-f3fd1214e0f7"": 9}","{""00ce1b35-d357-53e0-a42e-a8f97d4a07f0"": 10, ""e64218f2-62ce-555a-ba53-f3fd1214e0f7"": 4}",1,0,False
C0,C0 Hybrid vs Dense,S002,S002-Q028,RESCUED,"{""42756865-0f8f-5dcc-a050-6ecec5b828ce"": 8}","{""42756865-0f8f-5dcc-a050-6ecec5b828ce"": 1}",1,0,False
C0,C0 Hybrid vs Dense,S002,S002-Q033,UNCHANGED_HIT,"{""79860bb6-6010-5ca0-ac81-f4327e2bff44"": 4, ""893b3ae9-1f94-5436-8c6d-54e200693867"": 11}","{""79860bb6-6010-5ca0-ac81-f4327e2bff44"": 5, ""893b3ae9-1f94-5436-8c6d-54e200693867"": 14}",0,0,False
C0,C0 Hybrid vs Dense,S002,S002-Q035,UNCHANGED_MISS,"{""893b3ae9-1f94-5436-8c6d-54e200693867"": 8}","{""893b3ae9-1f94-5436-8c6d-54e200693867"": 6}",0,0,False
C0,C0 Hybrid vs Dense,S002,S002-Q039,UNCHANGED_HIT,"{""0dd982c7-f7b2-5ac0-8c16-56d44bbe4330"": 12, ""78a623b8-bff9-5b45-b990-24d74e714f9b"": 1}","{""0dd982c7-f7b2-5ac0-8c16-56d44bbe4330"": 9, ""78a623b8-bff9-5b45-b990-24d74e714f9b"": 3}",0,0,False
C0,C0 Hybrid vs Dense,S002,S002-Q042,HURT,"{""5c22c135-b86e-56a3-83eb-7484d1183dca"": 5}","{""5c22c135-b86e-56a3-83eb-7484d1183dca"": 12}",0,1,False
C0,C0 Hybrid vs Dense,S002,S002-Q044,UNCHANGED_MISS,"{""57b8caa3-b46e-50f2-a65a-bb244543b1c3"": 40, ""647fce0c-6320-5a98-819d-50dff3300582"": 11}","{""57b8caa3-b46e-50f2-a65a-bb244543b1c3"": 26, ""647fce0c-6320-5a98-819d-50dff3300582"": 16}",0,0,False
C0,C0 Hybrid vs Dense,S002,S002-Q049,HURT,"{""57600f18-283a-5f61-bf9e-7a48d4f8d3c5"": 5}","{""57600f18-283a-5f61-bf9e-7a48d4f8d3c5"": 15}",0,1,False
C0,C0 Hybrid vs Dense,S002,S002-Q052,UNCHANGED_HIT,"{""647fce0c-6320-5a98-819d-50dff3300582"": 2, ""d728a292-3080-5624-89ff-d8e05d09e8ca"": 5}","{""647fce0c-6320-5a98-819d-50dff3300582"": 2, ""d728a292-3080-5624-89ff-d8e05d09e8ca"": 19}",0,1,False
C0,C0 Hybrid vs Dense,S002,S002-Q055,HURT,"{""d728a292-3080-5624-89ff-d8e05d09e8ca"": 5, ""2e583969-bc65-5074-a7fe-0424438cd092"": 13}","{""d728a292-3080-5624-89ff-d8e05d09e8ca"": 12, ""2e583969-bc65-5074-a7fe-0424438cd092"": 9}",0,1,False
C0,C0 Hybrid vs Dense,S002,S002-Q056,UNCHANGED_MISS,"{""e40ec65e-2907-515a-b1dd-3bec39109106"": 34}","{""e40ec65e-2907-515a-b1dd-3bec39109106"": 40}",0,0,False
C0,C0 Hybrid vs Dense,S002,S002-Q063,UNCHANGED_MISS,"{""3549589e-05fe-5631-9385-5379f8dd4396"": 19}","{""3549589e-05fe-5631-9385-5379f8dd4396"": 27}",0,0,False
