Checkpoint,session_id,query_id,gold_page_id,Transition,Categories,Shared BM25 tokens,Dense rank,Hybrid rank
C0,S001,S001-Q028,44777fdf-abd5-5570-b0aa-8e3f1cb44000,DEMOTED,"[""反证/反例""]","[""只"", ""的""]",2,6
C0,S001,S001-Q033,d5c03971-3795-5256-a75f-b3921d61a92d,DEMOTED,"[""指标名"", ""近似杠杆""]","[""一轮"", ""上"", ""同比"", ""把"", ""权益"", ""的"", ""请"", ""资产"", ""近似""]",2,6
C0,S001,S001-Q039,31eb0f30-7b80-5d07-8ba6-bc6a6a24cb62,DEMOTED,"[""指标名""]","[""从"", ""最"", ""的"", ""证据"", ""资产""]",3,7
C0,S002,S002-Q013,a6c0000c-f234-59a1-b6e5-1283680d9b77,DEMOTED,"[""其它""]","[""和"", ""把"", ""披露"", ""的"", ""计算"", ""请""]",5,6
C0,S002,S002-Q026,e64218f2-62ce-555a-ba53-f3fd1214e0f7,PROMOTED,"[""实体"", ""信息缺口""]","[""不是"", ""具体"", ""刚才"", ""如果"", ""怎样"", ""指标"", ""而"", ""茅台"", ""贵州""]",9,4
C0,S002,S002-Q028,42756865-0f8f-5dcc-a050-6ecec5b828ce,PROMOTED,"[""实体""]","[""一项"", ""三年"", ""中"", ""体现"", ""具体"", ""可能"", ""回答"", ""在"", ""怎么"", ""披露"", ""数字"", ""数据"", ""结论"", ""茅台"", ""贵州"", ""这组""]",8,1
C0,S002,S002-Q042,5c22c135-b86e-56a3-83eb-7484d1183dca,DEMOTED,"[""指标名"", ""实体""]","[""三年"", ""中"", ""体现"", ""具体"", ""再"", ""变化"", ""在"", ""怎么"", ""或"", ""数字"", ""的"", ""结论"", ""股东权益"", ""茅台"", ""贵州"", ""这组""]",5,12
C0,S002,S002-Q049,57600f18-283a-5f61-bf9e-7a48d4f8d3c5,DEMOTED,"[""指标名"", ""实体""]","[""三年"", ""中"", ""体现"", ""具体"", ""变化"", ""和"", ""在"", ""怎么"", ""数字"", ""权益"", ""的"", ""茅台"", ""请"", ""贵州"", ""资产"", ""这组""]",5,15
C0,S002,S002-Q052,d728a292-3080-5624-89ff-d8e05d09e8ca,DEMOTED,"[""证据层级/证据强度""]","[""不"", ""和"", ""来源"", ""的"", ""结论""]",5,19
C0,S002,S002-Q055,d728a292-3080-5624-89ff-d8e05d09e8ca,DEMOTED,"[""年份/数字"", ""证据层级/证据强度"", ""判断修订""]","[""与"", ""修订"", ""判断"", ""前面"", ""在"", ""年"", ""的""]",5,12
C0,S002,S002-Q066,166328f1-a89c-5b18-8a53-02ac909e0849,DEMOTED,"[""证据层级/证据强度""]","[""一轮"", ""不能"", ""分析"", ""原因"", ""披露"", ""的"", ""确认"", ""能""]",1,6
C0,S003,S003-Q013,d84b52e5-9dec-53d0-8a9d-ddef9f5bd919,PROMOTED,"[""指标名"", ""近似杠杆""]","[""不能"", ""先"", ""变化"", ""基于"", ""的"", ""结论"", ""能"", ""说明"", ""近似""]",7,1
C0,S003,S003-Q022,bd6d22da-10ea-5784-b308-d3f5d1f57469,DEMOTED,"[""指标名""]","[""刚才"", ""指标"", ""是"", ""现金流"", ""的"", ""连续""]",3,8
C0,S003,S003-Q026,bd0dc9f1-4c0c-5c9f-b9c0-5a7b5051b7f2,PROMOTED,"[""指标名"", ""年份/数字""]","[""2024"", ""再"", ""前面"", ""变化"", ""年"", ""总资产"", ""的"", ""确认"", ""问题""]",6,3
C0,S003,S003-Q028,9ca9c523-e56d-58df-aa6b-c54a80e3dbb5,DEMOTED,"[""反证/反例""]","[""三年"", ""区分"", ""变化"", ""的"", ""请"", ""路径""]",2,6
C0,S003,S003-Q039,4ed05884-3478-5a91-a63f-3067fd41956d,DEMOTED,"[""年份/数字"", ""反证/反例"", ""判断修订""]","[""2023"", ""2025"", ""刚才"", ""反证"", ""和"", ""年"", ""的""]",4,11
C0,S003,S003-Q044,bd2dd48b-5c6b-516a-9bdc-e2e5cdb84c9c,PROMOTED,"[""年份/数字""]","[""2024"", ""保留"", ""年"", ""把"", ""的"", ""证据"", ""超过""]",22,3
C0,S003,S003-Q065,92bbf5d0-665d-52fa-92dd-d73231b6a2f4,PROMOTED,"[""证据层级/证据强度"", ""反证/反例"", ""判断修订""]","[""与"", ""事实"", ""信息"", ""修订"", ""判断"", ""前面"", ""区分"", ""回答"", ""的"", ""计算""]",31,4
