session_id,sheet_name,turn_id,turn_index,needs_history,evaluated,long_range,dependency_type,max_lookback,dependency_distances,gold_turn_ids,required_context,error,build_total_ms,retrieve_context_ms,cross_session_leak_turn_ids,future_turn_leak_turn_ids,cross_session_leak_count,future_turn_leak_count,short_retrieved_turn_ids,mid_page_retrieved_turn_ids,mid_session_retrieved_turn_ids,mid_retrieved_turn_ids,long_retrieved_turn_ids,mid_long_retrieved_turn_ids,all_retrieved_turn_ids,add_submit_ms,migration_job_id,profile_job_id,evicted_turn_ids,short_recall,short_precision,short_hit,short_full_recall,short_mrr,short_gold_count,short_retrieved_count,short_matched_count,mid_page_recall,mid_page_precision,mid_page_hit,mid_page_full_recall,mid_page_mrr,mid_page_gold_count,mid_page_retrieved_count,mid_page_matched_count,mid_session_recall,mid_session_precision,mid_session_hit,mid_session_full_recall,mid_session_mrr,mid_session_gold_count,mid_session_retrieved_count,mid_session_matched_count,mid_recall,mid_precision,mid_hit,mid_full_recall,mid_mrr,mid_gold_count,mid_retrieved_count,mid_matched_count,long_recall,long_precision,long_hit,long_full_recall,long_mrr,long_gold_count,long_retrieved_count,long_matched_count,mid_long_recall,mid_long_precision,mid_long_hit,mid_long_full_recall,mid_long_mrr,mid_long_gold_count,mid_long_retrieved_count,mid_long_matched_count,all_recall,all_precision,all_hit,all_full_recall,all_mrr,all_gold_count,all_retrieved_count,all_matched_count,traceback
S001_贵州茅台_投研,S001_贵州茅台_投研,S001-Q001,0,False,False,False,独立问题,0,,,无需前文；当前问题可独立回答,,9014.755158990738,9014.5706589974,,,0,0,,,,,,,,302.4934029963333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S001_贵州茅台_投研,S001_贵州茅台_投研,S001-Q002,1,True,False,False,相邻承接,1,1,S001-Q001,S001-Q001提供当前问题所指向的前序结论或事实依据,,1731.3459169963608,1731.1337170103798,,,0,0,S001-Q001,,,,,,S001-Q001,34.68090100795962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S001_贵州茅台_投研,S001_贵州茅台_投研,S001-Q003,2,True,False,False,相邻承接,1,1,S001-Q002,S001-Q002提供当前问题所指向的前序结论或事实依据,,5145.585563994246,5145.391163998283,,,0,0,S001-Q001|S001-Q002,,,,,,S001-Q001|S001-Q002,31.745200001751073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S001_贵州茅台_投研,S001_贵州茅台_投研,S001-Q004,3,True,False,False,相邻承接,1,1,S001-Q003,S001-Q003提供当前问题所指向的前序结论或事实依据,,4234.887065991643,4234.532565998961,,,0,0,S001-Q001|S001-Q002|S001-Q003,,,,,,S001-Q001|S001-Q002|S001-Q003,68.09430599969346,863f6de4-e602-4fca-8986-339d39664563,,S001-Q001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S001_贵州茅台_投研,S001_贵州茅台_投研,S001-Q005,4,True,False,False,相邻承接,1,1,S001-Q004,S001-Q004提供当前问题所指向的前序结论或事实依据,,6640.82692899683,6640.337928998633,,,0,0,S001-Q001|S001-Q002|S001-Q003|S001-Q004,S001-Q001,S001-Q001,S001-Q001,,S001-Q001,S001-Q001|S001-Q002|S001-Q003|S001-Q004,106.38220400142018,4d0d0906-9add-4bab-b23f-c534366c3d1a,,S001-Q002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S001_贵州茅台_投研,S001_贵州茅台_投研,S001-Q006,5,True,True,True,历史回溯,5,5,S001-Q001,S001-Q001提供五轮前关于【先帮我梳理一下贵州茅台2023—2025年的主要财务变化】的已确认结论、三年原数及口径限制；缺少该信息无法完成本轮要求的跨轮对照与结论承接。,,487.68972100515384,487.1107210055925,,,0,0,S001-Q003|S001-Q004|S001-Q005,S001-Q001|S001-Q002,S001-Q001|S001-Q002,S001-Q001|S001-Q002,S001-Q001|S001-Q002,S001-Q001|S001-Q002,S001-Q003|S001-Q004|S001-Q005|S001-Q001|S001-Q002,65.57990198780317,396d077b-7752-445e-9604-f1f77c124567,,S001-Q003,0.0,0.0,0,0,0.0,1,3,0,1.0,0.5,1,1,1.0,1,2,1,1.0,0.5,1,1,1.0,1,2,1,1.0,0.5,1,1,1.0,1,2,1,1.0,0.5,1,1,1.0,1,2,1,1.0,0.5,1,1,1.0,1,2,1,1.0,0.2,1,1,0.25,1,5,1,
S001_贵州茅台_投研,S001_贵州茅台_投研,S001-Q007,6,True,False,False,相邻承接,1,1,S001-Q006,S001-Q006提供当前问题所指向的前序结论或事实依据,,599.6672260080231,598.9872259960975,,,0,0,S001-Q003|S001-Q004|S001-Q005|S001-Q006,S001-Q002|S001-Q001,S001-Q001|S001-Q002,S001-Q002|S001-Q001,S001-Q001|S001-Q002,S001-Q002|S001-Q001,S001-Q003|S001-Q004|S001-Q005|S001-Q006|S001-Q002|S001-Q001,156.18510700005572,b5fd5c56-6557-488c-b9f6-29d4655a5a7e,,S001-Q004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S001_贵州茅台_投研,S001_贵州茅台_投研,S001-Q008,7,True,True,True,历史回溯,5,5,S001-Q003,S001-Q003提供五轮前关于【口径确认后，把刚才提到的关键指标逐年列出来，哪一年变化最明显】的已确认结论、三年原数及口径限制；缺少该信息无法完成本轮要求的跨轮对照与结论承接。,,917.17130599136,916.3434060028521,,,0,0,S001-Q005|S001-Q006|S001-Q007,S001-Q003|S001-Q002|S001-Q004|S001-Q001,S001-Q001|S001-Q002|S001-Q003|S001-Q004,S001-Q003|S001-Q002|S001-Q004|S001-Q001,S001-Q003|S001-Q001|S001-Q004|S001-Q002,S001-Q003|S001-Q002|S001-Q004|S001-Q001,S001-Q005|S001-Q006|S001-Q007|S001-Q003|S001-Q002|S001-Q004|S001-Q001,108.14290099369828,9192f8d5-d453-4475-9676-203558e3943d,,S001-Q005,0.0,0.0,0,0,0.0,1,3,0,1.0,0.25,1,1,1.0,1,4,1,1.0,0.25,1,1,0.3333333333333333,1,4,1,1.0,0.25,1,1,1.0,1,4,1,1.0,0.25,1,1,1.0,1,4,1,1.0,0.25,1,1,1.0,1,4,1,1.0,0.14285714285714285,1,1,0.25,1,7,1,
S001_贵州茅台_投研,S001_贵州茅台_投研,S001-Q009,8,True,False,False,相邻承接,1,1,S001-Q008,S001-Q008提供当前问题所指向的前序结论或事实依据,,408.6384019901743,407.8176019975217,,,0,0,S001-Q005|S001-Q006|S001-Q007|S001-Q008,S001-Q003|S001-Q001|S001-Q002|S001-Q004,S001-Q001|S001-Q002|S001-Q003|S001-Q004,S001-Q003|S001-Q001|S001-Q002|S001-Q004,S001-Q003|S001-Q001|S001-Q002|S001-Q004,S001-Q003|S001-Q001|S001-Q002|S001-Q004,S001-Q005|S001-Q006|S001-Q007|S001-Q008|S001-Q003|S001-Q001|S001-Q002|S001-Q004,67.6262009947095,56fab83a-14cd-4285-b55f-3f4bb6439e1e,,S001-Q006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S001_贵州茅台_投研,S001_贵州茅台_投研,S001-Q010,9,True,True,True,历史回溯,5,5,S001-Q005,S001-Q005提供五轮前关于【如果识别出了拐点，它主要发生在2024年还是2025年】的已确认结论、三年原数及口径限制；缺少该信息无法完成本轮要求的跨轮对照与结论承接。,,336.44910200382583,335.7841019897023,,,0,0,S001-Q007|S001-Q008|S001-Q009,S001-Q005|S001-Q006|S001-Q003|S001-Q004|S001-Q001,S001-Q001|S001-Q002|S001-Q003|S001-Q004|S001-Q005|S001-Q006,S001-Q005|S001-Q006|S001-Q003|S001-Q004|S001-Q001|S001-Q002,S001-Q005|S001-Q003|S001-Q002|S001-Q006,S001-Q005|S001-Q006|S001-Q003|S001-Q004|S001-Q001|S001-Q002,S001-Q007|S001-Q008|S001-Q009|S001-Q005|S001-Q006|S001-Q003|S001-Q004|S001-Q001|S001-Q002,17.480399998021312,ecdc1ea3-c68c-43e3-a09a-b65a226543ac,,S001-Q007,0.0,0.0,0,0,0.0,1,3,0,1.0,0.2,1,1,1.0,1,5,1,1.0,0.16666666666666666,1,1,0.2,1,6,1,1.0,0.16666666666666666,1,1,1.0,1,6,1,1.0,0.25,1,1,1.0,1,4,1,1.0,0.16666666666666666,1,1,1.0,1,6,1,1.0,0.1111111111111111,1,1,0.25,1,9,1,
