session_id,query_id,P0_changed,P1_changed,P2_changed,P3_changed
S001,S001-Q007,False,True,True,True
S001,S001-Q011,False,False,False,False
S001,S001-Q013,False,True,True,True
S001,S001-Q014,False,True,True,True
S001,S001-Q021,False,True,True,True
S001,S001-Q022,False,True,True,True
S001,S001-Q026,False,True,True,True
S001,S001-Q028,False,False,False,False
S001,S001-Q033,True,True,True,True
S001,S001-Q035,False,True,True,True
S001,S001-Q039,False,True,False,True
S001,S001-Q042,False,True,False,False
S001,S001-Q044,False,True,False,True
S001,S001-Q049,False,True,True,True
S002,S002-Q007,False,True,False,True
S002,S002-Q011,False,True,False,True
S002,S002-Q013,False,True,False,True
S002,S002-Q014,False,False,False,True
S002,S002-Q021,False,False,False,False
S002,S002-Q022,False,True,True,True
S002,S002-Q026,False,True,False,True
S002,S002-Q028,False,True,True,True
S002,S002-Q033,False,True,False,True
S002,S002-Q035,False,True,True,True
S002,S002-Q039,False,True,False,True
S002,S002-Q042,True,True,True,True
S002,S002-Q044,False,True,False,True
S002,S002-Q049,False,True,False,True
S002,S002-Q052,False,False,False,False
S002,S002-Q055,False,True,False,True
S002,S002-Q056,False,False,False,True
S002,S002-Q063,True,True,True,True
S002,S002-Q065,False,True,True,True
S002,S002-Q066,False,True,True,True
S002,S002-Q070,False,True,False,True
S003,S003-Q007,False,True,False,True
S003,S003-Q011,False,True,False,False
S003,S003-Q013,True,True,True,True
S003,S003-Q014,False,True,False,False
S003,S003-Q021,True,True,True,True
S003,S003-Q022,True,True,True,True
S003,S003-Q026,True,True,True,True
S003,S003-Q028,False,True,True,True
S003,S003-Q033,False,True,True,True
S003,S003-Q035,False,True,True,True
S003,S003-Q039,False,True,True,True
S003,S003-Q042,False,True,False,False
S003,S003-Q044,False,True,False,True
S003,S003-Q049,False,True,True,True
S003,S003-Q052,False,True,True,True
S003,S003-Q055,False,True,False,True
S003,S003-Q056,False,True,True,True
S003,S003-Q063,False,False,False,True
S003,S003-Q065,False,True,False,True
S003,S003-Q066,False,True,True,True
S003,S003-Q070,False,True,False,True
S003,S003-Q077,False,True,True,True
S003,S003-Q078,False,False,False,False
S003,S003-Q084,False,True,True,True
S003,S003-Q088,False,True,True,True
S003,S003-Q091,False,True,False,False
S004,S004-Q007,False,True,False,True
S004,S004-Q011,True,True,True,True
S004,S004-Q013,True,True,True,True
S004,S004-Q014,True,True,True,True
S004,S004-Q021,False,True,False,False
S004,S004-Q022,True,True,True,True
S004,S004-Q026,False,True,True,True
S004,S004-Q028,False,True,True,True
S004,S004-Q033,False,True,True,True
S004,S004-Q035,True,True,True,True
S004,S004-Q039,False,True,True,True
S004,S004-Q042,False,False,False,False
S004,S004-Q044,False,True,False,True
S004,S004-Q049,False,True,True,True
S004,S004-Q052,False,True,True,True
S004,S004-Q055,False,True,True,True
S004,S004-Q056,False,True,True,True
S004,S004-Q063,False,False,False,True
S004,S004-Q065,False,True,False,True
S004,S004-Q066,False,False,False,True
S004,S004-Q070,False,True,False,True
S005,S005-Q007,False,True,False,True
S005,S005-Q011,False,True,False,True
S005,S005-Q013,False,True,False,True
S005,S005-Q014,False,True,False,True
S005,S005-Q021,False,False,False,False
S005,S005-Q022,False,True,False,False
S005,S005-Q026,False,True,True,True
S005,S005-Q028,False,True,True,True
S005,S005-Q033,True,True,True,True
S005,S005-Q035,False,True,True,True
S005,S005-Q039,False,True,False,True
S005,S005-Q042,False,True,True,True
S005,S005-Q044,False,False,True,True
S005,S005-Q049,False,True,False,True
S005,S005-Q052,False,True,False,True
S005,S005-Q055,False,False,False,True
S005,S005-Q056,False,False,False,False
