Query 检索方式,Gold 被该候选丢失,被该候选保留或救回,Gold count,query_gold_keys
原始问题直接检索,最小改动 Add Prompt,多检索入口保留 Add Prompt,5,"[""S002-Q013|a6c0000c-f234-59a1-b6e5-1283680d9b77"", ""S002-Q042|5c22c135-b86e-56a3-83eb-7484d1183dca"", ""S003-Q028|9ca9c523-e56d-58df-aa6b-c54a80e3dbb5"", ""S003-Q091|dc75d4a6-dbec-512b-bed7-4048466382c6"", ""S005-Q022|bcb24496-086a-528b-a09e-86bae79fa560""]"
原始问题直接检索,最小改动 Add Prompt,任务 + 证据链保留 Add Prompt,3,"[""S001-Q039|31eb0f30-7b80-5d07-8ba6-bc6a6a24cb62"", ""S002-Q022|4d8b4bb3-4a1f-538c-af07-cc0ce19ea796"", ""S003-Q028|9ca9c523-e56d-58df-aa6b-c54a80e3dbb5""]"
原始问题直接检索,多检索入口保留 Add Prompt,最小改动 Add Prompt,5,"[""S004-Q022|1e8809d9-9426-51b9-9e17-039093174440"", ""S005-Q026|87d6b0ff-8b24-5176-ba24-dbc110c6e1d5"", ""S005-Q033|52954b6d-4823-5e0a-955d-8a3b24df0a30"", ""S005-Q042|19b9c9f1-754d-5322-831d-a2b5bbc632f9"", ""S005-Q055|cc845b3c-bd6e-511e-8bf1-44f5e08cf54a""]"
原始问题直接检索,多检索入口保留 Add Prompt,任务 + 证据链保留 Add Prompt,5,"[""S001-Q039|31eb0f30-7b80-5d07-8ba6-bc6a6a24cb62"", ""S002-Q022|4d8b4bb3-4a1f-538c-af07-cc0ce19ea796"", ""S005-Q033|52954b6d-4823-5e0a-955d-8a3b24df0a30"", ""S005-Q042|19b9c9f1-754d-5322-831d-a2b5bbc632f9"", ""S005-Q055|cc845b3c-bd6e-511e-8bf1-44f5e08cf54a""]"
原始问题直接检索,任务 + 证据链保留 Add Prompt,最小改动 Add Prompt,3,"[""S003-Q022|bd6d22da-10ea-5784-b308-d3f5d1f57469"", ""S004-Q022|1e8809d9-9426-51b9-9e17-039093174440"", ""S005-Q026|87d6b0ff-8b24-5176-ba24-dbc110c6e1d5""]"
原始问题直接检索,任务 + 证据链保留 Add Prompt,多检索入口保留 Add Prompt,5,"[""S002-Q013|a6c0000c-f234-59a1-b6e5-1283680d9b77"", ""S002-Q042|5c22c135-b86e-56a3-83eb-7484d1183dca"", ""S003-Q022|bd6d22da-10ea-5784-b308-d3f5d1f57469"", ""S003-Q091|dc75d4a6-dbec-512b-bed7-4048466382c6"", ""S005-Q022|bcb24496-086a-528b-a09e-86bae79fa560""]"
上下文引用解析后检索,最小改动 Add Prompt,多检索入口保留 Add Prompt,6,"[""S001-Q013|9b4b60a1-f0f9-5368-b4ce-b441752321bb"", ""S002-Q013|a6c0000c-f234-59a1-b6e5-1283680d9b77"", ""S002-Q042|5c22c135-b86e-56a3-83eb-7484d1183dca"", ""S003-Q091|dc75d4a6-dbec-512b-bed7-4048466382c6"", ""S004-Q035|dad4c589-bd44-5d61-917f-9435b971db4d"", ""S005-Q022|bcb24496-086a-528b-a09e-86bae79fa560""]"
上下文引用解析后检索,最小改动 Add Prompt,任务 + 证据链保留 Add Prompt,3,"[""S001-Q039|31eb0f30-7b80-5d07-8ba6-bc6a6a24cb62"", ""S002-Q022|4d8b4bb3-4a1f-538c-af07-cc0ce19ea796"", ""S004-Q035|dad4c589-bd44-5d61-917f-9435b971db4d""]"
上下文引用解析后检索,多检索入口保留 Add Prompt,最小改动 Add Prompt,7,"[""S003-Q066|3e1cec0a-77e2-5463-865e-1f49b78e966c"", ""S003-Q077|21f9ae05-f6a0-5cc5-af10-142d014dcf11"", ""S004-Q022|1404aa4a-3c7a-565e-8e67-9f834683b3b2"", ""S005-Q026|87d6b0ff-8b24-5176-ba24-dbc110c6e1d5"", ""S005-Q033|52954b6d-4823-5e0a-955d-8a3b24df0a30"", ""S005-Q042|19b9c9f1-754d-5322-831d-a2b5bbc632f9"", ""S005-Q055|cc845b3c-bd6e-511e-8bf1-44f5e08cf54a""]"
上下文引用解析后检索,多检索入口保留 Add Prompt,任务 + 证据链保留 Add Prompt,5,"[""S001-Q039|31eb0f30-7b80-5d07-8ba6-bc6a6a24cb62"", ""S002-Q022|4d8b4bb3-4a1f-538c-af07-cc0ce19ea796"", ""S005-Q026|87d6b0ff-8b24-5176-ba24-dbc110c6e1d5"", ""S005-Q033|52954b6d-4823-5e0a-955d-8a3b24df0a30"", ""S005-Q055|cc845b3c-bd6e-511e-8bf1-44f5e08cf54a""]"
上下文引用解析后检索,任务 + 证据链保留 Add Prompt,最小改动 Add Prompt,5,"[""S003-Q066|3e1cec0a-77e2-5463-865e-1f49b78e966c"", ""S003-Q077|21f9ae05-f6a0-5cc5-af10-142d014dcf11"", ""S004-Q022|1404aa4a-3c7a-565e-8e67-9f834683b3b2"", ""S004-Q022|1e8809d9-9426-51b9-9e17-039093174440"", ""S005-Q042|19b9c9f1-754d-5322-831d-a2b5bbc632f9""]"
上下文引用解析后检索,任务 + 证据链保留 Add Prompt,多检索入口保留 Add Prompt,6,"[""S001-Q013|9b4b60a1-f0f9-5368-b4ce-b441752321bb"", ""S002-Q013|a6c0000c-f234-59a1-b6e5-1283680d9b77"", ""S002-Q042|5c22c135-b86e-56a3-83eb-7484d1183dca"", ""S003-Q091|dc75d4a6-dbec-512b-bed7-4048466382c6"", ""S004-Q022|1e8809d9-9426-51b9-9e17-039093174440"", ""S005-Q022|bcb24496-086a-528b-a09e-86bae79fa560""]"
