Session,Query ID,Add 方式,Transition,Production Gold ranks,Context Gold ranks,Promoted Gold,Demoted Gold,Max promotion,Max demotion
S001,S001-Q007,Production Add + 最近上文,UNCHANGED_HIT,"{""2631e802-75be-5089-9418-baece6a717cf"": 3}","{""2631e802-75be-5089-9418-baece6a717cf"": 3}",0,0,0,0
S001,S001-Q011,Production Add + 最近上文,UNCHANGED_HIT,"{""2631e802-75be-5089-9418-baece6a717cf"": 6, ""dc12b285-c21d-5cfe-84a2-d016fce5ffe6"": 1}","{""2631e802-75be-5089-9418-baece6a717cf"": 3, ""dc12b285-c21d-5cfe-84a2-d016fce5ffe6"": 1}",1,0,3,0
S001,S001-Q013,Production Add + 最近上文,UNCHANGED_HIT,"{""2631e802-75be-5089-9418-baece6a717cf"": 9, ""9b4b60a1-f0f9-5368-b4ce-b441752321bb"": 3}","{""2631e802-75be-5089-9418-baece6a717cf"": 7, ""9b4b60a1-f0f9-5368-b4ce-b441752321bb"": 4}",0,0,2,1
S001,S001-Q014,Production Add + 最近上文,UNCHANGED_HIT,"{""f99dbe58-f286-568d-b1fe-f1ebe59c0e0a"": 3}","{""f99dbe58-f286-568d-b1fe-f1ebe59c0e0a"": 1}",0,0,2,-2
S001,S001-Q021,Production Add + 最近上文,UNCHANGED_MISS,"{""f1228bac-12d1-520f-9787-52a8cdcd49db"": 6}","{""f1228bac-12d1-520f-9787-52a8cdcd49db"": 7}",0,0,-1,1
S001,S001-Q022,Production Add + 最近上文,UNCHANGED_MISS,"{""34fa3574-894f-575c-b9b0-0a183473746e"": 17, ""55e7e466-3b1c-5014-85fc-2a14618ce254"": 11}","{""34fa3574-894f-575c-b9b0-0a183473746e"": 17, ""55e7e466-3b1c-5014-85fc-2a14618ce254"": 9}",0,0,2,0
S001,S001-Q026,Production Add + 最近上文,UNCHANGED_MISS,"{""289ba3d6-8b24-5c77-8df9-7af211ee1007"": 17, ""88e975b7-0f5a-5f5c-98ce-e461dcab93b8"": 11}","{""289ba3d6-8b24-5c77-8df9-7af211ee1007"": 13, ""88e975b7-0f5a-5f5c-98ce-e461dcab93b8"": 15}",0,0,4,4
S001,S001-Q028,Production Add + 最近上文,UNCHANGED_HIT,"{""44777fdf-abd5-5570-b0aa-8e3f1cb44000"": 2}","{""44777fdf-abd5-5570-b0aa-8e3f1cb44000"": 4}",0,0,-2,2
S001,S001-Q033,Production Add + 最近上文,HURT,"{""d5c03971-3795-5256-a75f-b3921d61a92d"": 1, ""b4497adc-7393-57c0-8917-ce3372fbd151"": 24}","{""d5c03971-3795-5256-a75f-b3921d61a92d"": 7, ""b4497adc-7393-57c0-8917-ce3372fbd151"": 24}",0,1,0,6
S001,S001-Q035,Production Add + 最近上文,UNCHANGED_MISS,"{""b4497adc-7393-57c0-8917-ce3372fbd151"": 28}","{""b4497adc-7393-57c0-8917-ce3372fbd151"": 24}",0,0,4,-4
