comparison,session_id,query_id,gold_page_id,gold_source_turn_id,before_rank,after_rank,rank_improvement,before_score,after_score,score_difference,before_config,after_config,small_token_count,small_over_512,m3_token_count,m3_over_512,top5_promoted,top5_demoted
BGE-M3 512 vs BGE-small 512（模型影响）,S001,S001-Q007,2631e802-75be-5089-9418-baece6a717cf,S001-Q001,3,3,0,0.428148090839386,0.5867940187454224,0.15864592790603638,BAAI/bge-small-zh-v1.5，max_length=512（当前基线）,BAAI/bge-m3，max_length=512,425,False,316,False,False,False
BGE-M3 512 vs BGE-small 512（模型影响）,S001,S001-Q011,2631e802-75be-5089-9418-baece6a717cf,S001-Q001,4,6,-2,0.466714084148407,0.5853128433227539,0.11859875917434692,BAAI/bge-small-zh-v1.5，max_length=512（当前基线）,BAAI/bge-m3，max_length=512,425,False,316,False,False,True
BGE-M3 512 vs BGE-small 512（模型影响）,S001,S001-Q011,dc12b285-c21d-5cfe-84a2-d016fce5ffe6,S001-Q007,1,4,-3,0.5079617500305176,0.6065503358840942,0.09858858585357666,BAAI/bge-small-zh-v1.5，max_length=512（当前基线）,BAAI/bge-m3，max_length=512,547,True,401,False,False,False
BGE-M3 512 vs BGE-small 512（模型影响）,S001,S001-Q013,2631e802-75be-5089-9418-baece6a717cf,S001-Q001,6,9,-3,0.5258427858352661,0.6467055678367615,0.12086278200149536,BAAI/bge-small-zh-v1.5，max_length=512（当前基线）,BAAI/bge-m3，max_length=512,425,False,316,False,False,False
BGE-M3 512 vs BGE-small 512（模型影响）,S001,S001-Q013,9b4b60a1-f0f9-5368-b4ce-b441752321bb,S001-Q006,5,4,1,0.5786083340644836,0.6664960980415344,0.08788776397705078,BAAI/bge-small-zh-v1.5，max_length=512（当前基线）,BAAI/bge-m3，max_length=512,558,True,406,False,False,False
BGE-M3 512 vs BGE-small 512（模型影响）,S001,S001-Q014,f99dbe58-f286-568d-b1fe-f1ebe59c0e0a,S001-Q008,3,2,1,0.6154555082321167,0.6770979166030884,0.06164240837097168,BAAI/bge-small-zh-v1.5，max_length=512（当前基线）,BAAI/bge-m3，max_length=512,587,True,428,False,False,False
BGE-M3 512 vs BGE-small 512（模型影响）,S001,S001-Q021,f1228bac-12d1-520f-9787-52a8cdcd49db,S001-Q015,7,12,-5,0.6190251111984253,0.6458772420883179,0.026852130889892578,BAAI/bge-small-zh-v1.5，max_length=512（当前基线）,BAAI/bge-m3，max_length=512,575,True,425,False,False,False
BGE-M3 512 vs BGE-small 512（模型影响）,S001,S001-Q022,34fa3574-894f-575c-b9b0-0a183473746e,S001-Q012,13,10,3,0.5578075647354126,0.6709951758384705,0.11318761110305786,BAAI/bge-small-zh-v1.5，max_length=512（当前基线）,BAAI/bge-m3，max_length=512,557,True,411,False,False,False
BGE-M3 512 vs BGE-small 512（模型影响）,S001,S001-Q022,55e7e466-3b1c-5014-85fc-2a14618ce254,S001-Q018,11,13,-2,0.5649251937866211,0.6568208932876587,0.0918956995010376,BAAI/bge-small-zh-v1.5，max_length=512（当前基线）,BAAI/bge-m3，max_length=512,550,True,404,False,False,False
BGE-M3 512 vs BGE-small 512（模型影响）,S001,S001-Q026,289ba3d6-8b24-5c77-8df9-7af211ee1007,S001-Q014,3,5,-2,0.6154380440711975,0.6846210360527039,0.06918299198150635,BAAI/bge-small-zh-v1.5，max_length=512（当前基线）,BAAI/bge-m3，max_length=512,598,True,439,False,False,False
