Session,Query ID,Search 方案,对照,Transition,原 Production Gold ranks,保守调优 Gold ranks,promoted_gold,demoted_gold,max_promotion,max_demotion
S001,S001-Q007,原始问题直接检索,保守调优 Add Prompt 相对 原 Production Add Prompt,UNCHANGED_HIT,"{""2631e802-75be-5089-9418-baece6a717cf"": 3}","{""2631e802-75be-5089-9418-baece6a717cf"": 3}",0,0,0,0
S001,S001-Q011,原始问题直接检索,保守调优 Add Prompt 相对 原 Production Add Prompt,UNCHANGED_HIT,"{""2631e802-75be-5089-9418-baece6a717cf"": 6, ""dc12b285-c21d-5cfe-84a2-d016fce5ffe6"": 1}","{""2631e802-75be-5089-9418-baece6a717cf"": 5, ""dc12b285-c21d-5cfe-84a2-d016fce5ffe6"": 2}",1,0,1,1
S001,S001-Q013,原始问题直接检索,保守调优 Add Prompt 相对 原 Production Add Prompt,RESCUED,"{""2631e802-75be-5089-9418-baece6a717cf"": 9, ""9b4b60a1-f0f9-5368-b4ce-b441752321bb"": 7}","{""2631e802-75be-5089-9418-baece6a717cf"": 9, ""9b4b60a1-f0f9-5368-b4ce-b441752321bb"": 1}",1,0,6,0
S001,S001-Q014,原始问题直接检索,保守调优 Add Prompt 相对 原 Production Add Prompt,UNCHANGED_HIT,"{""f99dbe58-f286-568d-b1fe-f1ebe59c0e0a"": 1}","{""f99dbe58-f286-568d-b1fe-f1ebe59c0e0a"": 1}",0,0,0,0
S001,S001-Q021,原始问题直接检索,保守调优 Add Prompt 相对 原 Production Add Prompt,UNCHANGED_MISS,"{""f1228bac-12d1-520f-9787-52a8cdcd49db"": 6}","{""f1228bac-12d1-520f-9787-52a8cdcd49db"": 11}",0,0,-5,5
S001,S001-Q022,原始问题直接检索,保守调优 Add Prompt 相对 原 Production Add Prompt,UNCHANGED_MISS,"{""34fa3574-894f-575c-b9b0-0a183473746e"": 16, ""55e7e466-3b1c-5014-85fc-2a14618ce254"": 13}","{""34fa3574-894f-575c-b9b0-0a183473746e"": 17, ""55e7e466-3b1c-5014-85fc-2a14618ce254"": 8}",0,0,5,1
S001,S001-Q026,原始问题直接检索,保守调优 Add Prompt 相对 原 Production Add Prompt,HURT,"{""289ba3d6-8b24-5c77-8df9-7af211ee1007"": 21, ""88e975b7-0f5a-5f5c-98ce-e461dcab93b8"": 4}","{""289ba3d6-8b24-5c77-8df9-7af211ee1007"": 16, ""88e975b7-0f5a-5f5c-98ce-e461dcab93b8"": 8}",0,1,5,4
S001,S001-Q028,原始问题直接检索,保守调优 Add Prompt 相对 原 Production Add Prompt,UNCHANGED_HIT,"{""44777fdf-abd5-5570-b0aa-8e3f1cb44000"": 2}","{""44777fdf-abd5-5570-b0aa-8e3f1cb44000"": 2}",0,0,0,0
S001,S001-Q033,原始问题直接检索,保守调优 Add Prompt 相对 原 Production Add Prompt,UNCHANGED_HIT,"{""d5c03971-3795-5256-a75f-b3921d61a92d"": 2, ""b4497adc-7393-57c0-8917-ce3372fbd151"": 20}","{""d5c03971-3795-5256-a75f-b3921d61a92d"": 5, ""b4497adc-7393-57c0-8917-ce3372fbd151"": 25}",0,0,-3,5
S001,S001-Q035,原始问题直接检索,保守调优 Add Prompt 相对 原 Production Add Prompt,UNCHANGED_MISS,"{""b4497adc-7393-57c0-8917-ce3372fbd151"": 27}","{""b4497adc-7393-57c0-8917-ce3372fbd151"": 25}",0,0,2,-2
S001,S001-Q039,原始问题直接检索,保守调优 Add Prompt 相对 原 Production Add Prompt,UNCHANGED_HIT,"{""31eb0f30-7b80-5d07-8ba6-bc6a6a24cb62"": 3, ""c107828c-a741-55f6-8e0c-446cfbdba215"": 11}","{""31eb0f30-7b80-5d07-8ba6-bc6a6a24cb62"": 4, ""c107828c-a741-55f6-8e0c-446cfbdba215"": 27}",0,0,-1,16
S001,S001-Q042,原始问题直接检索,保守调优 Add Prompt 相对 原 Production Add Prompt,UNCHANGED_MISS,"{""0ec56d0d-4e11-511a-9b98-5f6bddfc2dcc"": 6}","{""0ec56d0d-4e11-511a-9b98-5f6bddfc2dcc"": 15}",0,0,-9,9
S001,S001-Q044,原始问题直接检索,保守调优 Add Prompt 相对 原 Production Add Prompt,UNCHANGED_MISS,"{""32b5d492-2df9-5ed9-ac46-caca5c87097c"": 15, ""4054aab2-0aa7-5019-b341-077265511add"": 29}","{""32b5d492-2df9-5ed9-ac46-caca5c87097c"": 9, ""4054aab2-0aa7-5019-b341-077265511add"": 27}",0,0,6,-2
S001,S001-Q049,原始问题直接检索,保守调优 Add Prompt 相对 原 Production Add Prompt,UNCHANGED_MISS,"{""de592e81-e050-536b-8909-32866c85f6c2"": 13}","{""de592e81-e050-536b-8909-32866c85f6c2"": 10}",0,0,3,-3
S002,S002-Q007,原始问题直接检索,保守调优 Add Prompt 相对 原 Production Add Prompt,UNCHANGED_HIT,"{""f70d87dd-c4b9-59de-a761-869308b1818b"": 3}","{""f70d87dd-c4b9-59de-a761-869308b1818b"": 3}",0,0,0,0
S002,S002-Q011,原始问题直接检索,保守调优 Add Prompt 相对 原 Production Add Prompt,UNCHANGED_HIT,"{""f70d87dd-c4b9-59de-a761-869308b1818b"": 6, ""03c3981b-3b09-56ca-a545-043c8ff0d240"": 3}","{""f70d87dd-c4b9-59de-a761-869308b1818b"": 4, ""03c3981b-3b09-56ca-a545-043c8ff0d240"": 1}",1,0,2,-2
S002,S002-Q013,原始问题直接检索,保守调优 Add Prompt 相对 原 Production Add Prompt,UNCHANGED_HIT,"{""f70d87dd-c4b9-59de-a761-869308b1818b"": 9, ""a6c0000c-f234-59a1-b6e5-1283680d9b77"": 5}","{""f70d87dd-c4b9-59de-a761-869308b1818b"": 8, ""a6c0000c-f234-59a1-b6e5-1283680d9b77"": 4}",0,0,1,-1
