session_id,source_turn_id,add_variant,user_task_labels,summary_task_labels,task_alignment,task_keyword_covered,audit_method
S001,S001-Q001,Old,[],"[""来源核验"", ""口径核验"", ""同比解释"", ""拐点定位"", ""盈利质量"", ""原因解释""]",TASK_PARTIAL,True,deterministic task lexicon + semantic action-slot heuristic; no Gold/rank/retrieval inputs
S001,S001-Q001,A1,[],"[""阶段小结"", ""来源核验"", ""口径核验"", ""拐点定位"", ""盈利质量"", ""可复算性"", ""原因解释""]",TASK_PARTIAL,True,deterministic task lexicon + semantic action-slot heuristic; no Gold/rank/retrieval inputs
S001,S001-Q001,A2,[],"[""口径核验"", ""同比解释"", ""拐点定位"", ""盈利质量"", ""同步比较"", ""原因解释""]",TASK_PARTIAL,True,deterministic task lexicon + semantic action-slot heuristic; no Gold/rank/retrieval inputs
S001,S001-Q001,A3,[],"[""信息缺口"", ""口径核验"", ""拐点定位"", ""现金质量"", ""盈利质量"", ""原因解释""]",TASK_PARTIAL,True,deterministic task lexicon + semantic action-slot heuristic; no Gold/rank/retrieval inputs
S001,S001-Q002,Old,"[""来源核验"", ""口径核验"", ""同步比较"", ""原因解释""]","[""管理层问询"", ""来源核验"", ""口径核验"", ""同比解释"", ""拐点定位"", ""盈利质量"", ""效率判断"", ""同步比较"", ""原因解释""]",TASK_EXPLICIT,True,deterministic task lexicon + semantic action-slot heuristic; no Gold/rank/retrieval inputs
S001,S001-Q002,A1,"[""来源核验"", ""口径核验"", ""同步比较"", ""原因解释""]","[""来源核验"", ""口径核验"", ""同比解释"", ""拐点定位"", ""可复算性"", ""同步比较"", ""原因解释""]",TASK_EXPLICIT,True,deterministic task lexicon + semantic action-slot heuristic; no Gold/rank/retrieval inputs
S001,S001-Q002,A2,"[""来源核验"", ""口径核验"", ""同步比较"", ""原因解释""]","[""来源核验"", ""口径核验"", ""拐点定位"", ""同步比较"", ""原因解释""]",TASK_EXPLICIT,True,deterministic task lexicon + semantic action-slot heuristic; no Gold/rank/retrieval inputs
S001,S001-Q002,A3,"[""来源核验"", ""口径核验"", ""同步比较"", ""原因解释""]","[""来源核验"", ""口径核验"", ""拐点定位"", ""同步比较"", ""原因解释""]",TASK_EXPLICIT,True,deterministic task lexicon + semantic action-slot heuristic; no Gold/rank/retrieval inputs
S001,S001-Q003,Old,"[""口径核验"", ""拐点定位""]","[""来源核验"", ""口径核验"", ""同比解释"", ""拐点定位"", ""盈利质量""]",TASK_EXPLICIT,True,deterministic task lexicon + semantic action-slot heuristic; no Gold/rank/retrieval inputs
S001,S001-Q003,A1,"[""口径核验"", ""拐点定位""]","[""口径核验"", ""拐点定位"", ""可复算性"", ""原因解释""]",TASK_EXPLICIT,True,deterministic task lexicon + semantic action-slot heuristic; no Gold/rank/retrieval inputs
