Session,Query ID,候选 Add Prompt,Query 检索方式,Transition,Production Gold ranks,Candidate Gold ranks,Promoted Gold,Demoted Gold,Max promotion,Max demotion
S001,S001-Q007,最小改动 Add Prompt,原始问题直接检索,UNCHANGED_HIT,"{""2631e802-75be-5089-9418-baece6a717cf"": 3}","{""2631e802-75be-5089-9418-baece6a717cf"": 3}",0,0,0,0
S001,S001-Q007,最小改动 Add Prompt,上下文引用解析后检索,UNCHANGED_HIT,"{""2631e802-75be-5089-9418-baece6a717cf"": 3}","{""2631e802-75be-5089-9418-baece6a717cf"": 3}",0,0,0,0
S001,S001-Q007,多检索入口保留 Add Prompt,原始问题直接检索,UNCHANGED_HIT,"{""2631e802-75be-5089-9418-baece6a717cf"": 3}","{""2631e802-75be-5089-9418-baece6a717cf"": 3}",0,0,0,0
S001,S001-Q007,多检索入口保留 Add Prompt,上下文引用解析后检索,UNCHANGED_HIT,"{""2631e802-75be-5089-9418-baece6a717cf"": 3}","{""2631e802-75be-5089-9418-baece6a717cf"": 3}",0,0,0,0
S001,S001-Q007,任务 + 证据链保留 Add Prompt,原始问题直接检索,UNCHANGED_HIT,"{""2631e802-75be-5089-9418-baece6a717cf"": 3}","{""2631e802-75be-5089-9418-baece6a717cf"": 3}",0,0,0,0
S001,S001-Q007,任务 + 证据链保留 Add Prompt,上下文引用解析后检索,UNCHANGED_HIT,"{""2631e802-75be-5089-9418-baece6a717cf"": 3}","{""2631e802-75be-5089-9418-baece6a717cf"": 3}",0,0,0,0
S001,S001-Q011,最小改动 Add Prompt,原始问题直接检索,UNCHANGED_HIT,"{""2631e802-75be-5089-9418-baece6a717cf"": 6, ""dc12b285-c21d-5cfe-84a2-d016fce5ffe6"": 1}","{""2631e802-75be-5089-9418-baece6a717cf"": 5, ""dc12b285-c21d-5cfe-84a2-d016fce5ffe6"": 1}",1,0,1,0
S001,S001-Q011,最小改动 Add Prompt,上下文引用解析后检索,UNCHANGED_HIT,"{""2631e802-75be-5089-9418-baece6a717cf"": 6, ""dc12b285-c21d-5cfe-84a2-d016fce5ffe6"": 1}","{""2631e802-75be-5089-9418-baece6a717cf"": 5, ""dc12b285-c21d-5cfe-84a2-d016fce5ffe6"": 1}",1,0,1,0
S001,S001-Q011,多检索入口保留 Add Prompt,原始问题直接检索,UNCHANGED_HIT,"{""2631e802-75be-5089-9418-baece6a717cf"": 6, ""dc12b285-c21d-5cfe-84a2-d016fce5ffe6"": 1}","{""2631e802-75be-5089-9418-baece6a717cf"": 4, ""dc12b285-c21d-5cfe-84a2-d016fce5ffe6"": 1}",1,0,2,0
S001,S001-Q011,多检索入口保留 Add Prompt,上下文引用解析后检索,UNCHANGED_HIT,"{""2631e802-75be-5089-9418-baece6a717cf"": 6, ""dc12b285-c21d-5cfe-84a2-d016fce5ffe6"": 1}","{""2631e802-75be-5089-9418-baece6a717cf"": 4, ""dc12b285-c21d-5cfe-84a2-d016fce5ffe6"": 1}",1,0,2,0
S001,S001-Q011,任务 + 证据链保留 Add Prompt,原始问题直接检索,UNCHANGED_HIT,"{""2631e802-75be-5089-9418-baece6a717cf"": 6, ""dc12b285-c21d-5cfe-84a2-d016fce5ffe6"": 1}","{""2631e802-75be-5089-9418-baece6a717cf"": 6, ""dc12b285-c21d-5cfe-84a2-d016fce5ffe6"": 3}",0,0,0,2
S001,S001-Q011,任务 + 证据链保留 Add Prompt,上下文引用解析后检索,UNCHANGED_HIT,"{""2631e802-75be-5089-9418-baece6a717cf"": 6, ""dc12b285-c21d-5cfe-84a2-d016fce5ffe6"": 1}","{""2631e802-75be-5089-9418-baece6a717cf"": 6, ""dc12b285-c21d-5cfe-84a2-d016fce5ffe6"": 3}",0,0,0,2
S001,S001-Q013,最小改动 Add Prompt,原始问题直接检索,UNCHANGED_MISS,"{""2631e802-75be-5089-9418-baece6a717cf"": 9, ""9b4b60a1-f0f9-5368-b4ce-b441752321bb"": 7}","{""2631e802-75be-5089-9418-baece6a717cf"": 9, ""9b4b60a1-f0f9-5368-b4ce-b441752321bb"": 8}",0,0,0,1
S001,S001-Q013,最小改动 Add Prompt,上下文引用解析后检索,HURT,"{""2631e802-75be-5089-9418-baece6a717cf"": 9, ""9b4b60a1-f0f9-5368-b4ce-b441752321bb"": 3}","{""2631e802-75be-5089-9418-baece6a717cf"": 9, ""9b4b60a1-f0f9-5368-b4ce-b441752321bb"": 7}",0,1,0,4
