Checkpoint,comparison,session_id,query_id,gold_page_id,gold_source_turn_id,before_rank,after_rank,rank_improvement,before_score,after_score,score_difference,transition,query_text,query_categories,dense_rank,hybrid_rank,hybrid_full_rank,dense_score,raw_bm25_score,normalized_bm25_score,hybrid_final_score,shared_bm25_tokens
C0,C0 Hybrid vs Dense,S001,S001-Q007,2631e802-75be-5089-9418-baece6a717cf,S001-Q001,3,3,0,0.35526493191719055,0.18003984584062638,-0.17522508607656417,UNCHANGED,既然利润口径已经拆开，经营现金流是否支持刚才的盈利质量判断；请明确哪些是年报原数、哪些是计算结果。,"[""指标名""]",3,3,3,0.35526493191719055,1.3375145196914673,0.00481475976406218,0.18003984584062638,"[""判断"", ""的""]"
C0,C0 Hybrid vs Dense,S001,S001-Q011,2631e802-75be-5089-9418-baece6a717cf,S001-Q001,6,7,-1,0.4535906910896301,0.23126521692048846,-0.22232547416914167,UNCHANGED,前面的整体画像已经有了，接下来沿着营业收入把三年盈利路径拆开；请区分最新一年的边际变化和完整三年路径。,"[""指标名""]",6,7,7,0.4535906910896301,2.583462953567505,0.008939742751346796,0.23126521692048846,"[""区分"", ""变化"", ""完整"", ""收入"", ""的"", ""营业""]"
C0,C0 Hybrid vs Dense,S001,S001-Q011,dc12b285-c21d-5cfe-84a2-d016fce5ffe6,S001-Q007,1,1,0,0.5185934901237488,0.34645112150630264,-0.17214236861744614,UNCHANGED,前面的整体画像已经有了，接下来沿着营业收入把三年盈利路径拆开；请区分最新一年的边际变化和完整三年路径。,"[""指标名""]",1,1,1,0.5185934901237488,8.889214515686035,0.17430875288885644,0.34645112150630264,"[""三年"", ""和"", ""已经"", ""拆开"", ""收入"", ""的"", ""盈利"", ""营业"", ""请""]"
C0,C0 Hybrid vs Dense,S001,S001-Q013,2631e802-75be-5089-9418-baece6a717cf,S001-Q001,9,9,0,0.3880617618560791,0.19611564262951778,-0.19194611922656132,UNCHANGED,上一轮的差异具体集中在哪个年度，能否把两段同比分别解释清楚；别只复述数字，要说明它和上一问的关系。,"[""其它""]",9,9,9,0.3880617618560791,1.0484493970870972,0.004169523402956439,0.19611564262951778,"[""分别"", ""同比"", ""的""]"
C0,C0 Hybrid vs Dense,S001,S001-Q013,9b4b60a1-f0f9-5368-b4ce-b441752321bb,S001-Q006,7,7,0,0.4383961260318756,0.22393273225805557,-0.21446339377382004,UNCHANGED,上一轮的差异具体集中在哪个年度，能否把两段同比分别解释清楚；别只复述数字，要说明它和上一问的关系。,"[""其它""]",7,7,7,0.4383961260318756,2.699636459350586,0.009469338484235545,0.22393273225805557,"[""分别"", ""同比"", ""和"", ""把"", ""的""]"
C0,C0 Hybrid vs Dense,S001,S001-Q014,f99dbe58-f286-568d-b1fe-f1ebe59c0e0a,S001-Q008,1,3,-2,0.6648146510124207,0.3491437287104933,-0.31567092230192734,UNCHANGED,接着加入扣非净利润，刚才看到的利润变化有多少属于持续经营口径；请先给结论，再说明三年依据。,"[""指标名""]",1,3,3,0.6648146510124207,5.2740478515625,0.033472806408565946,0.3491437287104933,"[""净利润"", ""利润"", ""变化"", ""口径"", ""的"", ""经营"", ""结论""]"
C0,C0 Hybrid vs Dense,S001,S001-Q021,f1228bac-12d1-520f-9787-52a8cdcd49db,S001-Q015,6,12,-6,0.5378081798553467,0.2713081151919665,-0.26650006466338017,UNCHANGED,沿着上一轮的盈利结论，接下来重点看经营现金流是否跟得上；请从当前岗位最关心的证据开始回答。,"[""指标名""]",6,12,12,0.5378081798553467,1.3347121477127075,0.004808050528586329,0.2713081151919665,"[""的"", ""结论"", ""请""]"
C0,C0 Hybrid vs Dense,S001,S001-Q022,34fa3574-894f-575c-b9b0-0a183473746e,S001-Q012,16,17,-1,0.5138569474220276,0.26391790916627483,-0.24993903825575275,UNCHANGED,刚才看到的现金流三年路径是连续变化还是中途反转；不要只比较2023年和2025年两个端点。,"[""指标名"", ""年份/数字""]",16,17,17,0.5138569474220276,3.4877383708953857,0.013978870910522034,0.26391790916627483,"[""2023"", ""2025"", ""刚才"", ""和"", ""年"", ""是"", ""的"", ""连续""]"
C0,C0 Hybrid vs Dense,S001,S001-Q022,55e7e466-3b1c-5014-85fc-2a14618ce254,S001-Q018,13,16,-3,0.5241682529449463,0.2645850374980793,-0.25958321544686697,UNCHANGED,刚才看到的现金流三年路径是连续变化还是中途反转；不要只比较2023年和2025年两个端点。,"[""指标名"", ""年份/数字""]",13,16,16,0.5241682529449463,1.4141227006912231,0.005001822051212325,0.2645850374980793,"[""2023"", ""2025"", ""三年"", ""年"", ""的"", ""连续""]"
C0,C0 Hybrid vs Dense,S001,S001-Q026,289ba3d6-8b24-5c77-8df9-7af211ee1007,S001-Q014,21,21,0,0.3901694118976593,0.21177567511514825,-0.17839373678251105,UNCHANGED,再结合总资产变化，前面的现金表现更像效率问题还是只能确认存在错位；把口径限制放在结论里，不要另作假设。,"[""指标名""]",21,21,21,0.3901694118976593,5.268423080444336,0.033381938332637175,0.21177567511514825,"[""再"", ""变化"", ""口径"", ""总资产"", ""的"", ""结论""]"
