query_id,gold_page_id,baseline_rank,baseline_hit5,best_fusion_candidate_k,best_fusion_strategy,candidate_rank_k15,candidate_hit5_k15,reranker_rank_k15,reranker_hit5_k15,k15__RF0_reranker_only__rank,k15__RF0_reranker_only__hit5,k15__RF1_equal_rrf_c20__rank,k15__RF1_equal_rrf_c20__hit5,k15__RF1_equal_rrf_c60__rank,k15__RF1_equal_rrf_c60__hit5,k15__RF1_equal_rrf_c100__rank,k15__RF1_equal_rrf_c100__hit5,k15__RF2_reranker_weight_1.5__rank,k15__RF2_reranker_weight_1.5__hit5,k15__RF2_reranker_weight_2__rank,k15__RF2_reranker_weight_2__hit5,k15__RF2_reranker_weight_3__rank,k15__RF2_reranker_weight_3__hit5,k15__RF2_reranker_weight_4__rank,k15__RF2_reranker_weight_4__hit5,k15__RF3_candidate_weight_1.5__rank,k15__RF3_candidate_weight_1.5__hit5,k15__RF3_candidate_weight_2__rank,k15__RF3_candidate_weight_2__hit5,k15__SF0_candidate_0.2_reranker_0.8__rank,k15__SF0_candidate_0.2_reranker_0.8__hit5,k15__SF1_candidate_0.3_reranker_0.7__rank,k15__SF1_candidate_0.3_reranker_0.7__hit5,k15__SF2_candidate_0.4_reranker_0.6__rank,k15__SF2_candidate_0.4_reranker_0.6__hit5,k15__SF3_candidate_0.5_reranker_0.5__rank,k15__SF3_candidate_0.5_reranker_0.5__hit5,k15__PR1_candidate_top2_protection__rank,k15__PR1_candidate_top2_protection__hit5,k15__PR1_candidate_top3_protection__rank,k15__PR1_candidate_top3_protection__hit5,candidate_rank_k20,candidate_hit5_k20,reranker_rank_k20,reranker_hit5_k20,k20__RF0_reranker_only__rank,k20__RF0_reranker_only__hit5,k20__RF1_equal_rrf_c20__rank,k20__RF1_equal_rrf_c20__hit5,k20__RF1_equal_rrf_c60__rank,k20__RF1_equal_rrf_c60__hit5,k20__RF1_equal_rrf_c100__rank,k20__RF1_equal_rrf_c100__hit5,k20__RF2_reranker_weight_1.5__rank,k20__RF2_reranker_weight_1.5__hit5,k20__RF2_reranker_weight_2__rank,k20__RF2_reranker_weight_2__hit5,k20__RF2_reranker_weight_3__rank,k20__RF2_reranker_weight_3__hit5,k20__RF2_reranker_weight_4__rank,k20__RF2_reranker_weight_4__hit5,k20__RF3_candidate_weight_1.5__rank,k20__RF3_candidate_weight_1.5__hit5,k20__RF3_candidate_weight_2__rank,k20__RF3_candidate_weight_2__hit5,k20__SF0_candidate_0.2_reranker_0.8__rank,k20__SF0_candidate_0.2_reranker_0.8__hit5,k20__SF1_candidate_0.3_reranker_0.7__rank,k20__SF1_candidate_0.3_reranker_0.7__hit5,k20__SF2_candidate_0.4_reranker_0.6__rank,k20__SF2_candidate_0.4_reranker_0.6__hit5,k20__SF3_candidate_0.5_reranker_0.5__rank,k20__SF3_candidate_0.5_reranker_0.5__hit5,k20__PR1_candidate_top2_protection__rank,k20__PR1_candidate_top2_protection__hit5,k20__PR1_candidate_top3_protection__rank,k20__PR1_candidate_top3_protection__hit5,best_fusion_rank,best_fusion_hit5,movement_category
S001-Q007,2631e802-75be-5089-9418-baece6a717cf,3,True,20,PR1_candidate_top2_protection,3,True,3,True,3,True,3,True,3,True,3,True,3,True,3,True,3,True,3,True,3,True,3,True,3,True,3,True,3,True,3,True,3,True,3,True,3,True,3,True,3,True,3,True,3,True,3,True,3,True,3,True,3,True,3,True,3,True,3,True,3,True,3,True,3,True,3,True,3,True,3,True,3,True,PRESERVED_HIT
S001-Q011,2631e802-75be-5089-9418-baece6a717cf,6,False,20,PR1_candidate_top2_protection,7,False,5,True,5,True,6,False,6,False,6,False,6,False,6,False,6,False,6,False,6,False,6,False,6,False,6,False,6,False,6,False,5,True,6,False,7,False,5,True,5,True,6,False,6,False,6,False,6,False,6,False,6,False,6,False,6,False,6,False,6,False,6,False,6,False,6,False,5,True,6,False,5,True,PRESERVED_HIT
S001-Q011,dc12b285-c21d-5cfe-84a2-d016fce5ffe6,1,True,20,PR1_candidate_top2_protection,1,True,2,True,2,True,2,True,2,True,2,True,2,True,2,True,2,True,2,True,1,True,1,True,2,True,1,True,1,True,1,True,1,True,1,True,1,True,2,True,2,True,2,True,2,True,2,True,2,True,2,True,2,True,2,True,1,True,1,True,2,True,1,True,1,True,1,True,1,True,1,True,1,True,PRESERVED_HIT
S001-Q013,2631e802-75be-5089-9418-baece6a717cf,9,False,20,PR1_candidate_top2_protection,9,False,5,True,5,True,8,False,8,False,8,False,8,False,7,False,6,False,6,False,9,False,9,False,7,False,8,False,8,False,9,False,6,False,7,False,9,False,5,True,5,True,8,False,8,False,8,False,8,False,7,False,6,False,6,False,9,False,9,False,7,False,8,False,8,False,9,False,6,False,7,False,6,False,NEWLY_DEMOTED
S001-Q013,9b4b60a1-f0f9-5368-b4ce-b441752321bb,7,False,20,PR1_candidate_top2_protection,8,False,1,True,1,True,3,True,3,True,3,True,3,True,2,True,2,True,2,True,5,True,5,True,2,True,2,True,2,True,2,True,3,True,4,True,8,False,1,True,1,True,3,True,3,True,3,True,3,True,2,True,2,True,2,True,5,True,5,True,2,True,2,True,2,True,2,True,3,True,4,True,3,True,PRESERVED_HIT
S001-Q014,f99dbe58-f286-568d-b1fe-f1ebe59c0e0a,1,True,20,PR1_candidate_top2_protection,2,True,2,True,2,True,2,True,2,True,2,True,1,True,2,True,2,True,2,True,2,True,2,True,2,True,1,True,1,True,1,True,2,True,2,True,2,True,2,True,2,True,2,True,2,True,2,True,1,True,2,True,2,True,2,True,2,True,2,True,2,True,1,True,1,True,1,True,2,True,2,True,2,True,PRESERVED_HIT
S001-Q021,f1228bac-12d1-520f-9787-52a8cdcd49db,6,False,20,PR1_candidate_top2_protection,11,False,8,False,8,False,10,False,10,False,10,False,9,False,8,False,8,False,8,False,11,False,11,False,10,False,11,False,11,False,11,False,8,False,8,False,11,False,8,False,8,False,10,False,10,False,10,False,9,False,8,False,8,False,8,False,11,False,11,False,9,False,11,False,11,False,11,False,8,False,8,False,8,False,STILL_MISS
S001-Q022,34fa3574-894f-575c-b9b0-0a183473746e,16,False,20,PR1_candidate_top2_protection,15,False,12,False,12,False,14,False,14,False,14,False,13,False,13,False,13,False,13,False,15,False,15,False,13,False,14,False,15,False,15,False,12,False,12,False,15,False,13,False,13,False,15,False,15,False,15,False,14,False,14,False,14,False,14,False,15,False,15,False,14,False,15,False,16,False,16,False,13,False,13,False,13,False,STILL_MISS
S001-Q022,55e7e466-3b1c-5014-85fc-2a14618ce254,13,False,20,PR1_candidate_top2_protection,17,False,17,False,17,False,17,False,17,False,17,False,17,False,17,False,17,False,17,False,17,False,17,False,17,False,17,False,17,False,17,False,17,False,17,False,17,False,11,False,11,False,14,False,14,False,14,False,13,False,13,False,13,False,12,False,16,False,16,False,13,False,13,False,14,False,15,False,11,False,11,False,11,False,STILL_MISS
S001-Q026,289ba3d6-8b24-5c77-8df9-7af211ee1007,21,False,20,PR1_candidate_top2_protection,19,False,19,False,19,False,19,False,19,False,19,False,19,False,19,False,19,False,19,False,19,False,19,False,19,False,19,False,19,False,19,False,19,False,19,False,19,False,2,True,2,True,9,False,12,False,12,False,6,False,4,True,3,True,3,True,14,False,14,False,3,True,3,True,10,False,13,False,3,True,4,True,3,True,PRESERVED_HIT
