query_id,candidate_count,batch_count,unique_score_count,all_candidates_tied,old_20way_all_candidates_tied,old_tied_batch5_discriminated
S001-Q007,3,1,1,True,True,False
S001-Q011,7,2,3,False,True,True
S001-Q013,9,2,6,False,False,False
S001-Q014,10,2,7,False,False,False
S001-Q021,17,4,7,False,False,False
S001-Q022,18,4,5,False,True,True
S001-Q026,20,4,7,False,True,True
S001-Q028,20,4,6,False,False,False
S001-Q033,20,4,2,False,True,True
S001-Q035,20,4,9,False,False,False
S001-Q039,20,4,7,False,False,False
S001-Q042,20,4,7,False,True,True
S001-Q044,20,4,2,False,True,True
S001-Q049,20,4,10,False,False,False
S002-Q007,3,1,1,True,True,False
S002-Q011,7,2,2,False,True,True
S002-Q013,9,2,5,False,False,False
S002-Q014,10,2,6,False,False,False
S002-Q021,17,4,8,False,False,False
S002-Q022,18,4,6,False,True,True
S002-Q026,20,4,6,False,False,False
S002-Q028,20,4,7,False,True,True
S002-Q033,20,4,2,False,True,True
S002-Q035,20,4,7,False,True,True
S002-Q039,20,4,7,False,False,False
S002-Q044,20,4,7,False,True,True
S002-Q049,20,4,7,False,False,False
S002-Q052,20,4,8,False,True,True
S002-Q055,20,4,8,False,False,False
S002-Q056,20,4,6,False,True,True
S002-Q063,20,4,8,False,False,False
S002-Q065,20,4,8,False,True,True
S002-Q066,20,4,8,False,True,True
S002-Q070,20,4,6,False,True,True
S003-Q007,3,1,1,True,True,False
S003-Q011,7,2,2,False,False,False
S003-Q013,9,2,6,False,False,False
S003-Q014,10,2,6,False,False,False
S003-Q021,17,4,10,False,False,False
S003-Q022,18,4,8,False,False,False
S003-Q026,20,4,10,False,False,False
S003-Q028,20,4,10,False,False,False
S003-Q033,20,4,12,False,True,True
S003-Q035,20,4,7,False,False,False
S003-Q039,20,4,6,False,False,False
S003-Q042,20,4,8,False,False,False
S003-Q044,20,4,7,False,False,False
S003-Q049,20,4,8,False,False,False
S003-Q052,20,4,9,False,True,True
S003-Q055,20,4,8,False,True,True
S003-Q056,20,4,2,False,True,True
S003-Q063,20,4,11,False,False,False
S003-Q065,20,4,7,False,True,True
S003-Q066,20,4,11,False,False,False
S003-Q070,20,4,6,False,True,True
S003-Q077,20,4,9,False,True,True
S003-Q078,20,4,7,False,False,False
S003-Q084,20,4,9,False,False,False
S003-Q088,20,4,8,False,False,False
S003-Q091,20,4,7,False,False,False
S004-Q007,3,1,3,False,False,False
S004-Q011,7,2,5,False,False,False
S004-Q013,9,2,6,False,False,False
S004-Q014,10,2,9,False,False,False
S004-Q021,17,4,9,False,False,False
S004-Q022,18,4,8,False,False,False
S004-Q026,20,4,6,False,False,False
S004-Q028,20,4,6,False,False,False
S004-Q033,20,4,7,False,False,False
S004-Q035,20,4,6,False,True,True
S004-Q039,20,4,7,False,True,True
S004-Q042,20,4,4,False,False,False
S004-Q044,20,4,6,False,True,True
S004-Q049,20,4,10,False,False,False
S004-Q052,20,4,9,False,False,False
S004-Q055,20,4,8,False,True,True
S004-Q056,20,4,8,False,True,True
S004-Q063,20,4,6,False,False,False
S004-Q065,20,4,7,False,False,False
S004-Q066,20,4,10,False,False,False
S004-Q070,20,4,7,False,False,False
S005-Q007,3,1,3,False,True,True
S005-Q011,7,2,3,False,True,True
S005-Q013,9,2,5,False,False,False
S005-Q014,10,2,2,False,False,False
S005-Q021,17,4,6,False,False,False
S005-Q022,18,4,5,False,False,False
S005-Q026,20,4,10,False,False,False
S005-Q028,20,4,8,False,False,False
S005-Q033,20,4,2,False,True,True
S005-Q035,20,4,7,False,False,False
S005-Q039,20,4,7,False,False,False
S005-Q044,20,4,8,False,False,False
S005-Q049,20,4,6,False,False,False
S005-Q052,20,4,8,False,False,False
S005-Q055,20,4,7,False,False,False
S005-Q056,20,4,7,False,True,True
