session_id,query_id,original_query,gold_page_ids,baseline_hit5,baseline_gold_ranks,baseline_gold_scores,P0_resolved_query,P0_actual_embedding_text,P0_changed,P0_hit5,P0_transition,P0_gold_ranks,P0_gold_scores,P0_added_canonical_content,P0_reference_required,P0_context_supported_but_not_required,P0_unsupported,P1_resolved_query,P1_actual_embedding_text,P1_changed,P1_hit5,P1_transition,P1_gold_ranks,P1_gold_scores,P1_added_canonical_content,P1_reference_required,P1_context_supported_but_not_required,P1_unsupported,P2_resolved_query,P2_actual_embedding_text,P2_changed,P2_hit5,P2_transition,P2_gold_ranks,P2_gold_scores,P2_added_canonical_content,P2_reference_required,P2_context_supported_but_not_required,P2_unsupported,P3_resolved_query,P3_actual_embedding_text,P3_changed,P3_hit5,P3_transition,P3_gold_ranks,P3_gold_scores,P3_added_canonical_content,P3_reference_required,P3_context_supported_but_not_required,P3_unsupported
S001,S001-Q007,既然利润口径已经拆开，经营现金流是否支持刚才的盈利质量判断；请明确哪些是年报原数、哪些是计算结果。,"[""2631e802-75be-5089-9418-baece6a717cf""]",True,[3],[0.35526493191719055],既然利润口径已经拆开，经营现金流是否支持刚才的盈利质量判断；请明确哪些是年报原数、哪些是计算结果。,既然利润口径已经拆开，经营现金流是否支持刚才的盈利质量判断；请明确哪些是年报原数、哪些是计算结果。,False,True,UNCHANGED_HIT,[3],[0.35526493191719055],0,0,0,0,既然归母净利润与扣非归母净利润的利润口径已经拆开，经营现金流是否支持刚才关于归母净利润呈先升后降的盈利质量判断；请明确哪些是年报原数、哪些是计算结果。,既然归母净利润与扣非归母净利润的利润口径已经拆开，经营现金流是否支持刚才关于归母净利润呈先升后降的盈利质量判断；请明确哪些是年报原数、哪些是计算结果。,True,True,UNCHANGED_HIT,[3],[0.39515793323516846],4,1,3,0,既然利润口径已经拆开，经营现金流是否支持刚才的盈利质量判断（归母净利润呈先升后降）；请明确哪些是年报原数、哪些是计算结果。,既然利润口径已经拆开，经营现金流是否支持刚才的盈利质量判断（归母净利润呈先升后降）；请明确哪些是年报原数、哪些是计算结果。,True,True,UNCHANGED_HIT,[3],[0.39499086141586304],2,1,1,0,既然利润口径已经拆开，经营现金流是否支持刚才关于归母净利润与扣非归母净利润差异的盈利质量判断；请明确哪些是年报原数、哪些是计算结果。,既然利润口径已经拆开，经营现金流是否支持刚才关于归母净利润与扣非归母净利润差异的盈利质量判断；请明确哪些是年报原数、哪些是计算结果。,True,True,UNCHANGED_HIT,[3],[0.37382879853248596],3,0,3,0
S001,S001-Q011,前面的整体画像已经有了，接下来沿着营业收入把三年盈利路径拆开；请区分最新一年的边际变化和完整三年路径。,"[""2631e802-75be-5089-9418-baece6a717cf"", ""dc12b285-c21d-5cfe-84a2-d016fce5ffe6""]",True,"[6, 1]","[0.4535906910896301, 0.5185934901237488]",前面的整体画像已经有了，接下来沿着营业收入把三年盈利路径拆开；请区分最新一年的边际变化和完整三年路径。,前面的整体画像已经有了，接下来沿着营业收入把三年盈利路径拆开；请区分最新一年的边际变化和完整三年路径。,False,True,UNCHANGED_HIT,"[6, 1]","[0.4535906910896301, 0.5185934901237488]",0,0,0,0,前面的整体画像已经有了，接下来沿着营业收入把三年盈利路径拆开；请区分最新一年的边际变化和完整三年路径。,前面的整体画像已经有了，接下来沿着营业收入把三年盈利路径拆开；请区分最新一年的边际变化和完整三年路径。,False,True,UNCHANGED_HIT,"[6, 1]","[0.4535906910896301, 0.5185934901237488]",0,0,0,0,前面的整体画像已经有了，接下来沿着营业收入把三年盈利路径拆开；请区分最新一年的边际变化和完整三年路径。,前面的整体画像已经有了，接下来沿着营业收入把三年盈利路径拆开；请区分最新一年的边际变化和完整三年路径。,False,True,UNCHANGED_HIT,"[6, 1]","[0.4535906910896301, 0.5185934901237488]",0,0,0,0,前面的整体画像已经有了，接下来沿着营业收入把三年盈利路径拆开；请区分最新一年的边际变化和完整三年路径。,前面的整体画像已经有了，接下来沿着营业收入把三年盈利路径拆开；请区分最新一年的边际变化和完整三年路径。,False,True,UNCHANGED_HIT,"[6, 1]","[0.4535906910896301, 0.5185934901237488]",0,0,0,0
S001,S001-Q013,上一轮的差异具体集中在哪个年度，能否把两段同比分别解释清楚；别只复述数字，要说明它和上一问的关系。,"[""2631e802-75be-5089-9418-baece6a717cf"", ""9b4b60a1-f0f9-5368-b4ce-b441752321bb""]",False,"[9, 7]","[0.3880617618560791, 0.4383961260318756]",上一轮的差异具体集中在哪个年度，能否把两段同比分别解释清楚；别只复述数字，要说明它和上一问的关系。,上一轮的差异具体集中在哪个年度，能否把两段同比分别解释清楚；别只复述数字，要说明它和上一问的关系。,False,False,UNCHANGED_MISS,"[9, 7]","[0.3880617618560791, 0.4383961260318756]",0,0,0,0,上一轮关于营业收入与归母净利润增减方向和幅度匹配的差异具体集中在哪个年度，能否把营业收入和归母净利润的2024/2023与2025/2024两段同比分别解释清楚；别只复述数字，要说明它和上一问关于营业收入与归母净利润增减方向和幅度是否匹配的关系。,上一轮关于营业收入与归母净利润增减方向和幅度匹配的差异具体集中在哪个年度，能否把营业收入和归母净利润的2024/2023与2025/2024两段同比分别解释清楚；别只复述数字，要说明它和上一问关于营业收入与归母净利润增减方向和幅度是否匹配的关系。,True,True,RESCUED,"[9, 3]","[0.5393827557563782, 0.5936692953109741]",8,0,8,0,上一轮的差异（归母净利润呈先升后降，总资产呈连续上升）具体集中在哪个年度，能否把两段同比分别解释清楚；别只复述数字，要说明它和上一问（归母净利润与营业收入增减方向和幅度是否匹配）的关系。,上一轮的差异（归母净利润呈先升后降，总资产呈连续上升）具体集中在哪个年度，能否把两段同比分别解释清楚；别只复述数字，要说明它和上一问（归母净利润与营业收入增减方向和幅度是否匹配）的关系。,True,True,RESCUED,"[9, 3]","[0.5047256946563721, 0.5994397401809692]",8,2,6,0,上一轮归母净利润与总资产方向差异具体集中在哪个年度，能否把两段同比分别解释清楚；别只复述数字，要说明它和上一问的关系。,上一轮归母净利润与总资产方向差异具体集中在哪个年度，能否把两段同比分别解释清楚；别只复述数字，要说明它和上一问的关系。,True,True,RESCUED,"[9, 2]","[0.47674110531806946, 0.5779778361320496]",3,0,3,0
S001,S001-Q014,接着加入扣非净利润，刚才看到的利润变化有多少属于持续经营口径；请先给结论，再说明三年依据。,"[""f99dbe58-f286-568d-b1fe-f1ebe59c0e0a""]",True,[1],[0.6648146510124207],接着加入扣非净利润，刚才看到的利润变化有多少属于持续经营口径；请先给结论，再说明三年依据。,接着加入扣非净利润，刚才看到的利润变化有多少属于持续经营口径；请先给结论，再说明三年依据。,False,True,UNCHANGED_HIT,[1],[0.6648146510124207],0,0,0,0,接着加入扣非归母净利润，刚才看到的归母净利润变化有多少属于持续经营口径；请先给结论，再说明三年依据。,接着加入扣非归母净利润，刚才看到的归母净利润变化有多少属于持续经营口径；请先给结论，再说明三年依据。,True,True,UNCHANGED_HIT,[1],[0.6696910858154297],1,0,1,0,接着加入扣非净利润，刚才看到的归母净利润变化有多少属于持续经营口径；请先给结论，再说明三年依据。,接着加入扣非净利润，刚才看到的归母净利润变化有多少属于持续经营口径；请先给结论，再说明三年依据。,True,True,UNCHANGED_HIT,[3],[0.6697158813476562],1,0,1,0,接着加入扣非净利润，刚才看到的归母净利润先升后降的利润变化有多少属于持续经营口径；请先给结论，再说明三年依据。,接着加入扣非净利润，刚才看到的归母净利润先升后降的利润变化有多少属于持续经营口径；请先给结论，再说明三年依据。,True,True,UNCHANGED_HIT,[1],[0.6857003569602966],2,1,1,0
S001,S001-Q021,沿着上一轮的盈利结论，接下来重点看经营现金流是否跟得上；请从当前岗位最关心的证据开始回答。,"[""f1228bac-12d1-520f-9787-52a8cdcd49db""]",False,[6],[0.5378081798553467],沿着上一轮的盈利结论，接下来重点看经营现金流是否跟得上；请从当前岗位最关心的证据开始回答。,沿着上一轮的盈利结论，接下来重点看经营现金流是否跟得上；请从当前岗位最关心的证据开始回答。,False,False,UNCHANGED_MISS,[6],[0.5378081798553467],0,0,0,0,沿着上一轮的盈利结论（归母净利润呈先升后降，总资产呈连续上升），接下来重点看经营现金流是否跟得上；请从当前岗位最关心的证据开始回答。,沿着上一轮的盈利结论（归母净利润呈先升后降，总资产呈连续上升），接下来重点看经营现金流是否跟得上；请从当前岗位最关心的证据开始回答。,True,False,UNCHANGED_MISS,[6],[0.6287976503372192],4,2,2,0,沿着上一轮的盈利结论（归母净利润呈先升后降，总资产呈连续上升），接下来重点看经营现金流是否跟得上；请从当前岗位最关心的证据开始回答。,沿着上一轮的盈利结论（归母净利润呈先升后降，总资产呈连续上升），接下来重点看经营现金流是否跟得上；请从当前岗位最关心的证据开始回答。,True,False,UNCHANGED_MISS,[6],[0.6287976503372192],4,2,2,0,沿着上一轮归母净利润与总资产的盈利结论，接下来重点看经营现金流是否跟得上；请从当前岗位最关心的证据开始回答。,沿着上一轮归母净利润与总资产的盈利结论，接下来重点看经营现金流是否跟得上；请从当前岗位最关心的证据开始回答。,True,False,UNCHANGED_MISS,[9],[0.5823639035224915],3,0,3,0
S001,S001-Q022,刚才看到的现金流三年路径是连续变化还是中途反转；不要只比较2023年和2025年两个端点。,"[""34fa3574-894f-575c-b9b0-0a183473746e"", ""55e7e466-3b1c-5014-85fc-2a14618ce254""]",False,"[16, 13]","[0.5138569474220276, 0.5241682529449463]",刚才看到的现金流三年路径是连续变化还是中途反转；不要只比较2023年和2025年两个端点。,刚才看到的现金流三年路径是连续变化还是中途反转；不要只比较2023年和2025年两个端点。,False,False,UNCHANGED_MISS,"[16, 13]","[0.5138569474220276, 0.5241682529449463]",0,0,0,0,刚才看到的经营现金流三年路径是连续变化还是中途反转；不要只比较2023年和2025年两个端点。,刚才看到的经营现金流三年路径是连续变化还是中途反转；不要只比较2023年和2025年两个端点。,True,False,UNCHANGED_MISS,"[17, 11]","[0.5299906134605408, 0.549980640411377]",1,1,0,0,刚才看到的经营现金流三年路径是连续变化还是中途反转；不要只比较2023年和2025年两个端点。,刚才看到的经营现金流三年路径是连续变化还是中途反转；不要只比较2023年和2025年两个端点。,True,False,UNCHANGED_MISS,"[17, 11]","[0.5299906134605408, 0.549980640411377]",1,1,0,0,刚才看到的经营现金流三年路径是连续变化还是中途反转；不要只比较2023年和2025年两个端点。,刚才看到的经营现金流三年路径是连续变化还是中途反转；不要只比较2023年和2025年两个端点。,True,False,UNCHANGED_MISS,"[17, 11]","[0.5299906134605408, 0.549980640411377]",1,1,0,0
S001,S001-Q026,再结合总资产变化，前面的现金表现更像效率问题还是只能确认存在错位；把口径限制放在结论里，不要另作假设。,"[""289ba3d6-8b24-5c77-8df9-7af211ee1007"", ""88e975b7-0f5a-5f5c-98ce-e461dcab93b8""]",True,"[21, 4]","[0.3901694118976593, 0.4946797788143158]",再结合总资产变化，前面的现金表现更像效率问题还是只能确认存在错位；把口径限制放在结论里，不要另作假设。,再结合总资产变化，前面的现金表现更像效率问题还是只能确认存在错位；把口径限制放在结论里，不要另作假设。,False,True,UNCHANGED_HIT,"[21, 4]","[0.3901694118976593, 0.4946797788143158]",0,0,0,0,再结合总资产变化，前面的经营现金流与归母净利润错位表现更像效率问题还是只能确认存在错位；把口径限制放在结论里，不要另作假设。,再结合总资产变化，前面的经营现金流与归母净利润错位表现更像效率问题还是只能确认存在错位；把口径限制放在结论里，不要另作假设。,True,False,HURT,"[13, 11]","[0.5129606127738953, 0.5284738540649414]",3,1,2,0,再结合总资产变化，前面的现金表现（经营现金流与归母净利润逐年配对中错位最明显的年份）更像效率问题还是只能确认存在错位；把口径限制放在结论里，不要另作假设。,再结合总资产变化，前面的现金表现（经营现金流与归母净利润逐年配对中错位最明显的年份）更像效率问题还是只能确认存在错位；把口径限制放在结论里，不要另作假设。,True,False,HURT,"[17, 11]","[0.5301981568336487, 0.5581398606300354]",3,1,2,0,再结合总资产变化，前面的现金流与归母净利润错位表现更像效率问题还是只能确认存在错位；把口径限制放在结论里，不要另作假设。,再结合总资产变化，前面的现金流与归母净利润错位表现更像效率问题还是只能确认存在错位；把口径限制放在结论里，不要另作假设。,True,False,HURT,"[14, 11]","[0.49835726618766785, 0.512531578540802]",2,0,2,0
S001,S001-Q028,我不想只听支持项，哪项前面已经出现的数字可能推翻现金质量结论；结论要能直接接到下一轮继续追问。,"[""44777fdf-abd5-5570-b0aa-8e3f1cb44000""]",True,[2],[0.48575401306152344],我不想只听支持项，哪项前面已经出现的数字可能推翻现金质量结论；结论要能直接接到下一轮继续追问。,我不想只听支持项，哪项前面已经出现的数字可能推翻现金质量结论；结论要能直接接到下一轮继续追问。,False,True,UNCHANGED_HIT,[2],[0.48575401306152344],0,0,0,0,我不想只听支持项，哪项前面已经出现的数字可能推翻现金质量结论；结论要能直接接到下一轮继续追问。,我不想只听支持项，哪项前面已经出现的数字可能推翻现金质量结论；结论要能直接接到下一轮继续追问。,False,True,UNCHANGED_HIT,[2],[0.48575401306152344],0,0,0,0,我不想只听支持项，哪项前面已经出现的数字可能推翻现金质量结论；结论要能直接接到下一轮继续追问。,我不想只听支持项，哪项前面已经出现的数字可能推翻现金质量结论；结论要能直接接到下一轮继续追问。,False,True,UNCHANGED_HIT,[2],[0.48575401306152344],0,0,0,0,我不想只听支持项，哪项前面已经出现的数字可能推翻现金质量结论；结论要能直接接到下一轮继续追问。,我不想只听支持项，哪项前面已经出现的数字可能推翻现金质量结论；结论要能直接接到下一轮继续追问。,False,True,UNCHANGED_HIT,[2],[0.48575401306152344],0,0,0,0
S001,S001-Q033,基于上一轮的资产和权益原数，近似杠杆变化能说明什么、又不能说明什么；请把两段同比分开，不要合成一个趋势词。,"[""d5c03971-3795-5256-a75f-b3921d61a92d"", ""b4497adc-7393-57c0-8917-ce3372fbd151""]",True,"[2, 20]","[0.5201343297958374, 0.4486255347728729]",基于上一轮的总资产和归母股东权益原数，近似杠杆变化能说明什么、又不能说明什么；请把两段同比分开，不要合成一个趋势词。,基于上一轮的总资产和归母股东权益原数，近似杠杆变化能说明什么、又不能说明什么；请把两段同比分开，不要合成一个趋势词。,True,True,UNCHANGED_HIT,"[1, 24]","[0.5790305137634277, 0.481160044670105]",3,3,0,0,基于上一轮的总资产和归母股东权益原数，近似杠杆变化能说明什么、又不能说明什么；请把两段同比分开，不要合成一个趋势词。,基于上一轮的总资产和归母股东权益原数，近似杠杆变化能说明什么、又不能说明什么；请把两段同比分开，不要合成一个趋势词。,True,True,UNCHANGED_HIT,"[1, 24]","[0.5790305137634277, 0.481160044670105]",3,3,0,0,基于上一轮的总资产和归母股东权益原数，近似杠杆变化能说明什么、又不能说明什么；请把两段同比分开，不要合成一个趋势词。,基于上一轮的总资产和归母股东权益原数，近似杠杆变化能说明什么、又不能说明什么；请把两段同比分开，不要合成一个趋势词。,True,True,UNCHANGED_HIT,"[1, 24]","[0.5790305137634277, 0.481160044670105]",3,3,0,0,基于上一轮总资产与归母股东权益的原数，近似杠杆变化能说明什么、又不能说明什么；请把两段同比分开，不要合成一个趋势词。,基于上一轮总资产与归母股东权益的原数，近似杠杆变化能说明什么、又不能说明什么；请把两段同比分开，不要合成一个趋势词。,True,True,UNCHANGED_HIT,"[1, 24]","[0.5816624760627747, 0.4783168137073517]",3,3,0,0
S001,S001-Q035,如果收入、资产和权益方向不一致，刚才的效率判断应当怎样表述；如果前面的判断需要修订，请直接指出。,"[""b4497adc-7393-57c0-8917-ce3372fbd151""]",False,[27],[0.38482916355133057],如果收入、资产和权益方向不一致，刚才的效率判断应当怎样表述；如果前面的判断需要修订，请直接指出。,如果收入、资产和权益方向不一致，刚才的效率判断应当怎样表述；如果前面的判断需要修订，请直接指出。,False,False,UNCHANGED_MISS,[27],[0.38482916355133057],0,0,0,0,如果营业收入、总资产和归母股东权益方向不一致，刚才的近似周转效率判断（营业收入/期末总资产）应当怎样表述；如果前面的判断需要修订，请直接指出。,如果营业收入、总资产和归母股东权益方向不一致，刚才的近似周转效率判断（营业收入/期末总资产）应当怎样表述；如果前面的判断需要修订，请直接指出。,True,False,UNCHANGED_MISS,[28],[0.444532573223114],4,4,0,0,如果收入、资产和权益方向不一致，刚才的资产承载效率判断应当怎样表述；如果前面的资产承载效率判断需要修订，请直接指出。,如果收入、资产和权益方向不一致，刚才的资产承载效率判断应当怎样表述；如果前面的资产承载效率判断需要修订，请直接指出。,True,False,UNCHANGED_MISS,[28],[0.3815840482711792],0,0,0,0,如果收入、资产和权益方向不一致，刚才关于资产承载效率的判断应当怎样表述；如果前面的判断需要修订，请直接指出。,如果收入、资产和权益方向不一致，刚才关于资产承载效率的判断应当怎样表述；如果前面的判断需要修订，请直接指出。,True,False,UNCHANGED_MISS,[28],[0.40036606788635254],0,0,0,0
