comparison,session_id,query_id,gold_page_id,gold_source_turn_id,before_rank,after_rank,rank_improvement,before_score,after_score,score_difference,候选 Add Prompt,Gold movement,TASK_added,TASK_lost,TASK_preserved,SUBJECT_added,SUBJECT_lost,SUBJECT_preserved,TIME_added,TIME_lost,TIME_preserved,INDICATOR_added,INDICATOR_lost,INDICATOR_preserved,NUMBER_added,NUMBER_lost,NUMBER_preserved,STATE_added,STATE_lost,STATE_preserved,RELATION_added,RELATION_lost,RELATION_preserved,DEPENDENCY_added,DEPENDENCY_lost,DEPENDENCY_preserved,EVIDENCE_LIMIT_added,EVIDENCE_LIMIT_lost,EVIDENCE_LIMIT_preserved,KEYWORD_added,KEYWORD_lost,KEYWORD_preserved,JUDGMENT_added,JUDGMENT_lost,JUDGMENT_preserved
候选一：关系解析优先，禁止上下文事实扩写 vs 当前前后文 Prompt（主要基线）,S001,S001-Q013,2631e802-75be-5089-9418-baece6a717cf,S001-Q001,6,3,3,0.5258427858352661,0.6028057336807251,0.07696294784545898,候选一：关系解析优先，禁止上下文事实扩写,PROMOTED,"[""同步比较""]",[],"[""原因解释"", ""口径核验"", ""同比解释"", ""拐点定位"", ""来源核验"", ""盈利质量""]",[],[],"[""贵州茅台""]","[""2024""]",[],"[""2023"", ""2023年"", ""2024年"", ""2025"", ""2025年"", ""2026""]",[],[],"[""归母净利润"", ""归母股东权益"", ""总资产"", ""营业收入""]",[],[],"[""+1.64%"", ""+15.38%"", ""+15.71%"", ""+4.95%"", ""+8.09%"", ""+9.62%"", ""-1.21%"", ""-4.53%"", ""04"", ""1,476.94"", ""1,688.38"", ""1,708.99"", ""1225114731"", ""17"", ""17，"", ""2,156.69"", ""2,331.06"", ""2,446.38"", ""2,727"", ""2,989.45"", ""2023"", ""2024"", ""2025"", ""2026"", ""3,038.35"", ""747.34"", ""823.20"", ""862.28""]","[""不同步"", ""同步""]",[],"[""先升后降"", ""连续上升""]","[""不同步"", ""同步"", ""比较""]",[],"[""同比""]","[""PREVIOUS_TURN""]",[],[],[],"[""口径限制""]","[""来源限制""]","[""利润表现"", ""同步性"", ""收入规模""]","[""归母股东权益"", ""营业收入"", ""财务变化""]","[""2023-2025"", ""同比"", ""归母净利润"", ""总资产"", ""贵州茅台""]","[""判断""]","[""确认""]","[""结论""]"
候选一：关系解析优先，禁止上下文事实扩写 vs 当前前后文 Prompt（主要基线）,S001,S001-Q022,55e7e466-3b1c-5014-85fc-2a14618ce254,S001-Q018,11,1,10,0.5649251937866211,0.658808708190918,0.09388351440429688,候选一：关系解析优先，禁止上下文事实扩写,PROMOTED,"[""信息缺口"", ""现金质量""]","[""反证检验"", ""验证""]","[""原因解释"", ""口径核验"", ""同步比较"", ""同比解释"", ""拐点定位"", ""来源核验"", ""盈利质量""]",[],[],"[""贵州茅台""]",[],[],"[""2023"", ""2023年"", ""2024年"", ""2025"", ""2025年"", ""2026""]","[""经营活动现金流净额""]","[""归母股东权益"", ""营业收入""]","[""归母净利润"", ""总资产""]",[],"[""+15.71%"", ""+4.95%"", ""+8.09%"", ""-1.21%"", ""1,476.94"", ""1,688.38"", ""1,708.99"", ""2,156.69"", ""2,331.06"", ""2,446.38""]","[""+1.64%"", ""+15.38%"", ""+9.62%"", ""-4.53%"", ""04"", ""1225114731"", ""17"", ""17，"", ""2,727"", ""2,989.45"", ""2023"", ""2024"", ""2025"", ""2026"", ""3,038.35"", ""747.34"", ""823.20"", ""862.28""]","[""同步""]",[],"[""不同步"", ""先升后降"", ""连续上升""]","[""同步""]","[""反证""]","[""不同步"", ""同比""]",[],"[""EARLIER_CONTEXT"", ""REVISION""]","[""PREVIOUS_TURN""]","[""证据限制""]","[""口径限制""]","[""来源限制""]","[""年报"", ""归母净利润"", ""总资产"", ""现金利润比"", ""经营现金流""]","[""反证验证"", ""年报来源"", ""归母股东权益"", ""营业收入""]","[""2023-2025"", ""同比"", ""贵州茅台""]",[],"[""确认""]","[""结论""]"
候选一：关系解析优先，禁止上下文事实扩写 vs 当前前后文 Prompt（主要基线）,S001,S001-Q026,289ba3d6-8b24-5c77-8df9-7af211ee1007,S001-Q014,3,13,-10,0.6154380440711975,0.5326991081237793,-0.08273893594741821,候选一：关系解析优先，禁止上下文事实扩写,DEMOTED,"[""现金质量""]","[""效率判断""]","[""原因解释"", ""口径核验"", ""同步比较"", ""同比解释"", ""拐点定位"", ""来源核验"", ""盈利质量""]",[],[],"[""贵州茅台""]",[],[],"[""2023"", ""2023年"", ""2024年"", ""2025"", ""2025年"", ""2026""]","[""经营活动现金流净额""]","[""归母股东权益"", ""扣非归母净利润"", ""营业收入""]","[""归母净利润"", ""总资产""]",[],"[""+15.71%"", ""+4.95%"", ""+8.09%"", ""-1.21%"", ""0.542"", ""0.556"", ""0.572"", ""1,476.94"", ""1,688.38"", ""1,708.99"", ""2,156.69"", ""2,331.06"", ""2,446.38""]","[""+1.64%"", ""+15.38%"", ""+9.62%"", ""-4.53%"", ""04"", ""1225114731"", ""17"", ""17，"", ""2,727"", ""2,989.45"", ""2023"", ""2024"", ""2025"", ""2026"", ""3,038.35"", ""747.34"", ""823.20"", ""862.28""]","[""同步""]",[],"[""不同步"", ""先升后降"", ""连续上升""]","[""同步""]",[],"[""不同步"", ""同比""]",[],"[""EARLIER_CONTEXT""]",[],[],"[""证据限制""]","[""口径限制"", ""来源限制""]","[""信号调和"", ""年报"", ""归母净利润"", ""总资产"", ""盈利指标""]","[""年报来源"", ""归母股东权益"", ""扣非净利润"", ""营业收入""]","[""2023-2025"", ""同比"", ""贵州茅台""]",[],"[""确认""]","[""结论""]"
候选一：关系解析优先，禁止上下文事实扩写 vs 当前前后文 Prompt（主要基线）,S001,S001-Q028,44777fdf-abd5-5570-b0aa-8e3f1cb44000,S001-Q022,3,11,-8,0.4967461824417114,0.39186879992485046,-0.10487738251686096,候选一：关系解析优先，禁止上下文事实扩写,DEMOTED,"[""可复算性""]","[""效率判断"", ""现金质量""]","[""原因解释"", ""口径核验"", ""同步比较"", ""同比解释"", ""拐点定位"", ""来源核验"", ""盈利质量""]",[],[],"[""贵州茅台""]",[],[],"[""2023"", ""2023年"", ""2024年"", ""2025"", ""2025年"", ""2026""]",[],"[""归母股东权益"", ""经营活动现金流净额"", ""营业收入""]","[""归母净利润"", ""总资产""]",[],"[""+15.71%"", ""+4.95%"", ""+8.09%"", ""-1.21%"", ""0.542"", ""0.556"", ""0.572"", ""1,476.94"", ""1,688.38"", ""1,708.99"", ""2,156.69"", ""2,331.06"", ""2,446.38""]","[""+1.64%"", ""+15.38%"", ""+9.62%"", ""-4.53%"", ""04"", ""1225114731"", ""17"", ""17，"", ""2,727"", ""2,989.45"", ""2023"", ""2024"", ""2025"", ""2026"", ""3,038.35"", ""747.34"", ""823.20"", ""862.28""]","[""同步""]",[],"[""不同步"", ""先升后降"", ""拐点"", ""连续上升""]","[""同步""]",[],"[""不同步"", ""同比""]",[],[],[],[],"[""口径限制""]","[""来源限制""]","[""年度拐点"", ""年报原数"", ""归母净利润"", ""总资产"", ""计算结果""]","[""年报来源"", ""归母股东权益"", ""现金流路径"", ""营业收入""]","[""2023-2025"", ""同比"", ""贵州茅台""]",[],"[""确认""]","[""结论""]"
候选一：关系解析优先，禁止上下文事实扩写 vs 当前前后文 Prompt（主要基线）,S001,S001-Q033,d5c03971-3795-5256-a75f-b3921d61a92d,S001-Q023,2,8,-6,0.5816625952720642,0.5536909699440002,-0.027971625328063965,候选一：关系解析优先，禁止上下文事实扩写,DEMOTED,[],"[""效率判断"", ""现金质量""]","[""原因解释"", ""口径核验"", ""同步比较"", ""同比解释"", ""拐点定位"", ""来源核验"", ""盈利质量""]",[],[],"[""贵州茅台""]",[],[],"[""2023"", ""2023年"", ""2024年"", ""2025"", ""2025年"", ""2026""]",[],"[""总资产"", ""经营活动现金流净额""]","[""归母净利润"", ""归母股东权益"", ""营业收入""]",[],"[""+1.64%"", ""+15.38%"", ""+9.62%"", ""-4.53%"", ""0.542"", ""0.556"", ""0.572"", ""2,727"", ""2,989.45"", ""3,038.35"", ""747.34"", ""823.20"", ""862.28""]","[""+15.71%"", ""+4.95%"", ""+8.09%"", ""-1.21%"", ""04"", ""1,476.94"", ""1,688.38"", ""1,708.99"", ""1225114731"", ""17"", ""17，"", ""2,156.69"", ""2,331.06"", ""2,446.38"", ""2023"", ""2024"", ""2025"", ""2026""]","[""同步""]",[],"[""不同步"", ""先升后降"", ""连续上升"", ""错位""]","[""同步""]",[],"[""不同步"", ""同比"", ""错位""]",[],[],"[""PREVIOUS_TURN""]",[],"[""口径限制""]","[""来源限制""]","[""冲突保留"", ""年报"", ""错位""]","[""同比"", ""年报来源"", ""现金流错位""]","[""2023-2025"", ""归母股东权益"", ""营业收入"", ""贵州茅台""]",[],"[""确认""]","[""结论""]"
候选一：关系解析优先，禁止上下文事实扩写 vs 当前前后文 Prompt（主要基线）,S001,S001-Q039,31eb0f30-7b80-5d07-8ba6-bc6a6a24cb62,S001-Q027,1,11,-10,0.520713210105896,0.47667965292930603,-0.044033557176589966,候选一：关系解析优先，禁止上下文事实扩写,DEMOTED,"[""信息缺口"", ""反证检验"", ""阶段小结""]","[""效率判断""]","[""原因解释"", ""口径核验"", ""同步比较"", ""同比解释"", ""拐点定位"", ""来源核验"", ""现金质量"", ""盈利质量""]",[],[],"[""贵州茅台""]",[],[],"[""2023"", ""2023年"", ""2024年"", ""2025"", ""2025年"", ""2026""]",[],"[""总资产""]","[""归母净利润"", ""归母股东权益"", ""经营活动现金流净额"", ""营业收入""]",[],"[""+1.64%"", ""+15.38%"", ""+9.62%"", ""-4.53%"", ""0.542"", ""0.556"", ""0.572"", ""2,727"", ""2,989.45"", ""3,038.35"", ""747.34"", ""823.20"", ""862.28""]","[""+15.71%"", ""+4.95%"", ""+8.09%"", ""-1.21%"", ""04"", ""1,476.94"", ""1,688.38"", ""1,708.99"", ""1225114731"", ""17"", ""17，"", ""2,156.69"", ""2,331.06"", ""2,446.38"", ""2023"", ""2024"", ""2025"", ""2026""]","[""同步""]",[],"[""不同步"", ""先升后降"", ""连续上升""]","[""反证"", ""同步""]",[],"[""不同步"", ""同比""]","[""REVISION""]",[],"[""EARLIER_CONTEXT""]","[""证据限制""]","[""口径限制""]","[""来源限制""]","[""反证"", ""现金分析"", ""盈利结论"", ""阶段小结""]","[""同比"", ""增长质量"", ""盈利可持续性"", ""资本回报""]","[""2023-2025"", ""归母股东权益"", ""营业收入"", ""贵州茅台""]",[],"[""判断"", ""确认""]","[""结论""]"
候选一：关系解析优先，禁止上下文事实扩写 vs 当前前后文 Prompt（主要基线）,S002,S002-Q022,b304ab57-b911-5070-88ba-fca4f39a37e8,S002-Q018,7,5,2,0.7325950860977173,0.7258425951004028,-0.006752490997314453,候选一：关系解析优先，禁止上下文事实扩写,PROMOTED,[],"[""反证检验"", ""可复算性"", ""同步比较"", ""证据分级""]","[""原因解释"", ""口径核验"", ""同比解释"", ""拐点定位"", ""来源核验"", ""盈利质量""]",[],[],"[""贵州茅台""]",[],[],"[""2023"", ""2023年"", ""2024年"", ""2025"", ""2025年"", ""2026""]",[],"[""归母股东权益"", ""总资产""]","[""归母净利润"", ""营业收入""]",[],"[""+1.64%"", ""+4.95%"", ""+8.09%"", ""+9.62%"", ""1225114731"", ""17，"", ""2,156.69"", ""2,331.06"", ""2,446.38"", ""2,727"", ""2,989.45"", ""3,038.35""]","[""+15.38%"", ""+15.71%"", ""-1.21%"", ""-4.53%"", ""04"", ""1,476.94"", ""1,688.38"", ""1,708.99"", ""17"", ""2023"", ""2024"", ""2025"", ""2026"", ""747.34"", ""823.20"", ""862.28""]",[],"[""同步"", ""连续上升""]","[""先升后降"", ""拐点""]",[],"[""反证"", ""同步""]","[""同比""]",[],"[""REVISION""]",[],[],"[""口径限制""]","[""信息缺口"", ""来源限制""]","[""2024年拐点"", ""三年路径"", ""年报来源"", ""边际变化""]","[""归母股东权益"", ""总资产"", ""证据可靠性排序"", ""风险提示""]","[""2023-2025"", ""归母净利润"", ""营业收入"", ""贵州茅台""]",[],"[""判断""]","[""确认"", ""结论""]"
候选一：关系解析优先，禁止上下文事实扩写 vs 当前前后文 Prompt（主要基线）,S002,S002-Q028,42756865-0f8f-5dcc-a050-6ecec5b828ce,S002-Q022,2,21,-19,0.7513960599899292,0.6893251538276672,-0.06207090616226196,候选一：关系解析优先，禁止上下文事实扩写,DEMOTED,"[""可复算性""]","[""反证检验"", ""同步比较"", ""拐点定位"", ""证据分级""]","[""原因解释"", ""口径核验"", ""同比解释"", ""来源核验"", ""盈利质量""]",[],[],"[""贵州茅台""]",[],[],"[""2023"", ""2023年"", ""2024年"", ""2025"", ""2025年"", ""2026""]",[],"[""归母股东权益"", ""总资产""]","[""归母净利润"", ""营业收入""]","[""-0.14"", ""-1.70"", ""48.76%"", ""50.46%"", ""50.60%""]","[""1225114731"", ""17，""]","[""+15.38%"", ""+15.71%"", ""-1.21%"", ""-4.53%"", ""04"", ""1,476.94"", ""1,688.38"", ""1,708.99"", ""17"", ""2023"", ""2024"", ""2025"", ""2026"", ""747.34"", ""823.20"", ""862.28""]",[],"[""先升后降"", ""同步"", ""拐点"", ""连续上升""]",[],[],"[""反证"", ""同步"", ""比较""]","[""同比""]",[],"[""REVISION""]",[],[],[],"[""信息缺口"", ""来源限制""]","[""两段同比"", ""年报来源"", ""近似利润率""]","[""2024年拐点"", ""反证"", ""方向匹配"", ""证据分级""]","[""2023-2025"", ""归母净利润"", ""营业收入"", ""贵州茅台""]",[],"[""判断""]","[""确认"", ""结论""]"
候选一：关系解析优先，禁止上下文事实扩写 vs 当前前后文 Prompt（主要基线）,S002,S002-Q044,647fce0c-6320-5a98-819d-50dff3300582,S002-Q040,4,36,-32,0.7309869527816772,0.6460682153701782,-0.08491873741149902,候选一：关系解析优先，禁止上下文事实扩写,DEMOTED,"[""可复算性"", ""同步比较"", ""杠杆分析""]","[""信息缺口"", ""反证检验"", ""效率判断"", ""现金质量"", ""盈利质量"", ""阶段小结""]","[""原因解释"", ""口径核验"", ""同比解释"", ""拐点定位"", ""来源核验""]",[],[],"[""贵州茅台""]","[""2024""]",[],"[""2023"", ""2023年"", ""2024年"", ""2025"", ""2025年"", ""2026""]",[],"[""归母净利润"", ""经营活动现金流净额"", ""营业收入""]","[""归母股东权益"", ""总资产""]",[],"[""+15.38%"", ""+15.71%"", ""-1.21%"", ""-4.53%"", ""1,476.94"", ""1,688.38"", ""1,708.99"", ""1225114731"", ""17，"", ""747.34"", ""823.20"", ""862.28""]","[""+1.64%"", ""+4.95%"", ""+8.09%"", ""+9.62%"", ""04"", ""17"", ""2,156.69"", ""2,331.06"", ""2,446.38"", ""2,727"", ""2,989.45"", ""2023"", ""2024"", ""2025"", ""2026"", ""3,038.35""]","[""同步""]","[""信息缺口"", ""先升后降"", ""错位""]","[""拐点"", ""连续上升""]","[""同步""]","[""反证"", ""比较"", ""错位""]","[""同比""]","[""PREVIOUS_TURN""]","[""CONTINUATION"", ""EARLIER_CONTEXT"", ""REVISION""]",[],[],"[""信息缺口""]","[""来源限制""]","[""两段同比"", ""年报原数"", ""近似杠杆"", ""连续上升""]","[""反证"", ""现金分析"", ""盈利结论"", ""阶段小结""]","[""2023-2025"", ""归母股东权益"", ""总资产"", ""贵州茅台""]",[],[],"[""确认"", ""结论""]"
候选一：关系解析优先，禁止上下文事实扩写 vs 当前前后文 Prompt（主要基线）,S002,S002-Q049,57600f18-283a-5f61-bf9e-7a48d4f8d3c5,S002-Q043,4,6,-2,0.67808997631073,0.6598512530326843,-0.018238723278045654,候选一：关系解析优先，禁止上下文事实扩写,DEMOTED,"[""同步比较""]","[""信息缺口"", ""拐点定位"", ""效率判断"", ""现金质量"", ""盈利质量""]","[""原因解释"", ""口径核验"", ""可复算性"", ""同比解释"", ""杠杆分析"", ""来源核验""]",[],[],"[""贵州茅台""]","[""2024""]",[],"[""2023"", ""2023年"", ""2024年"", ""2025"", ""2025年"", ""2026""]",[],"[""归母净利润"", ""经营活动现金流净额"", ""营业收入""]","[""归母股东权益"", ""总资产""]",[],"[""1225114731"", ""17，""]","[""+1.64%"", ""+4.95%"", ""+8.09%"", ""+9.62%"", ""04"", ""17"", ""2,156.69"", ""2,331.06"", ""2,446.38"", ""2,727"", ""2,989.45"", ""2023"", ""2024"", ""2025"", ""2026"", ""3,038.35""]","[""同步""]","[""信息缺口"", ""先升后降"", ""拐点"", ""错位""]","[""连续上升""]","[""同步""]","[""比较"", ""错位""]","[""同比""]",[],"[""PREVIOUS_TURN""]",[],[],"[""信息缺口""]","[""来源限制""]","[""年报原数"", ""连续上升""]","[""内控审计"", ""资产效率""]","[""2023-2025"", ""两段同比"", ""归母股东权益"", ""总资产"", ""贵州茅台"", ""近似杠杆""]",[],[],"[""确认"", ""结论""]"
