comparison,session_id,query_id,gold_page_id,gold_source_turn_id,before_rank,after_rank,rank_improvement,before_score,after_score,score_difference
原 Production Add（仅当前 User + Assistant）：去除 User vs 原始 formatter,S001,S001-Q007,2631e802-75be-5089-9418-baece6a717cf,S001-Q001,3,3,0,0.39499083161354065,0.3981127440929413,0.0031219124794006348
原 Production Add（仅当前 User + Assistant）：去除 User vs 原始 formatter,S001,S001-Q011,2631e802-75be-5089-9418-baece6a717cf,S001-Q001,6,6,0,0.4535906910896301,0.44235309958457947,-0.01123759150505066
原 Production Add（仅当前 User + Assistant）：去除 User vs 原始 formatter,S001,S001-Q011,dc12b285-c21d-5cfe-84a2-d016fce5ffe6,S001-Q007,1,1,0,0.5185935497283936,0.49538174271583557,-0.023211807012557983
原 Production Add（仅当前 User + Assistant）：去除 User vs 原始 formatter,S001,S001-Q013,2631e802-75be-5089-9418-baece6a717cf,S001-Q001,9,9,0,0.5047256946563721,0.5098980665206909,0.005172371864318848
原 Production Add（仅当前 User + Assistant）：去除 User vs 原始 formatter,S001,S001-Q013,9b4b60a1-f0f9-5368-b4ce-b441752321bb,S001-Q006,3,4,-1,0.5994397401809692,0.5895031094551086,-0.009936630725860596
原 Production Add（仅当前 User + Assistant）：去除 User vs 原始 formatter,S001,S001-Q014,f99dbe58-f286-568d-b1fe-f1ebe59c0e0a,S001-Q008,3,1,2,0.6697158813476562,0.6581516265869141,-0.011564254760742188
原 Production Add（仅当前 User + Assistant）：去除 User vs 原始 formatter,S001,S001-Q021,f1228bac-12d1-520f-9787-52a8cdcd49db,S001-Q015,6,6,0,0.6287975907325745,0.6138919591903687,-0.01490563154220581
原 Production Add（仅当前 User + Assistant）：去除 User vs 原始 formatter,S001,S001-Q022,34fa3574-894f-575c-b9b0-0a183473746e,S001-Q012,17,17,0,0.5299906730651855,0.5139644742012024,-0.016026198863983154
原 Production Add（仅当前 User + Assistant）：去除 User vs 原始 formatter,S001,S001-Q022,55e7e466-3b1c-5014-85fc-2a14618ce254,S001-Q018,11,8,3,0.5499805212020874,0.5447419285774231,-0.005238592624664307
原 Production Add（仅当前 User + Assistant）：去除 User vs 原始 formatter,S001,S001-Q026,289ba3d6-8b24-5c77-8df9-7af211ee1007,S001-Q014,17,17,0,0.5301982760429382,0.5155840516090393,-0.014614224433898926
原 Production Add（仅当前 User + Assistant）：去除 User vs 原始 formatter,S001,S001-Q026,88e975b7-0f5a-5f5c-98ce-e461dcab93b8,S001-Q019,11,11,0,0.5581397414207458,0.5475163459777832,-0.010623395442962646
原 Production Add（仅当前 User + Assistant）：去除 User vs 原始 formatter,S001,S001-Q028,44777fdf-abd5-5570-b0aa-8e3f1cb44000,S001-Q022,2,3,-1,0.4857538938522339,0.47412174940109253,-0.011632144451141357
