session_id,source_turn_id,status,unsupported,audit_scope
S001,S001-Q001,NO_FLAG,"{""indicators"": [], ""years"": [], ""numbers"": []}",deterministic comparison against current User + Assistant only; no Gold/rank
S001,S001-Q002,NO_FLAG,"{""indicators"": [], ""years"": [], ""numbers"": []}",deterministic comparison against current User + Assistant only; no Gold/rank
S001,S001-Q003,NO_FLAG,"{""indicators"": [], ""years"": [], ""numbers"": []}",deterministic comparison against current User + Assistant only; no Gold/rank
S001,S001-Q004,NO_FLAG,"{""indicators"": [], ""years"": [], ""numbers"": []}",deterministic comparison against current User + Assistant only; no Gold/rank
S001,S001-Q005,NO_FLAG,"{""indicators"": [], ""years"": [], ""numbers"": []}",deterministic comparison against current User + Assistant only; no Gold/rank
S001,S001-Q006,POTENTIAL_UNSUPPORTED,"{""indicators"": [], ""years"": [], ""numbers"": [""1476.94"", ""1688.38"", ""1708.99"", ""2156.69"", ""2331.06"", ""2446.38"", ""2727"", ""2989.45"", ""3038.35""]}",deterministic comparison against current User + Assistant only; no Gold/rank
S001,S001-Q007,NO_FLAG,"{""indicators"": [], ""years"": [], ""numbers"": []}",deterministic comparison against current User + Assistant only; no Gold/rank
S001,S001-Q008,NO_FLAG,"{""indicators"": [], ""years"": [], ""numbers"": []}",deterministic comparison against current User + Assistant only; no Gold/rank
S001,S001-Q009,NO_FLAG,"{""indicators"": [], ""years"": [], ""numbers"": []}",deterministic comparison against current User + Assistant only; no Gold/rank
S001,S001-Q010,NO_FLAG,"{""indicators"": [], ""years"": [], ""numbers"": []}",deterministic comparison against current User + Assistant only; no Gold/rank
S001,S001-Q011,NO_FLAG,"{""indicators"": [], ""years"": [], ""numbers"": []}",deterministic comparison against current User + Assistant only; no Gold/rank
S001,S001-Q012,NO_FLAG,"{""indicators"": [], ""years"": [], ""numbers"": []}",deterministic comparison against current User + Assistant only; no Gold/rank
S001,S001-Q013,NO_FLAG,"{""indicators"": [], ""years"": [], ""numbers"": []}",deterministic comparison against current User + Assistant only; no Gold/rank
S001,S001-Q014,NO_FLAG,"{""indicators"": [], ""years"": [], ""numbers"": []}",deterministic comparison against current User + Assistant only; no Gold/rank
S001,S001-Q015,NO_FLAG,"{""indicators"": [], ""years"": [], ""numbers"": []}",deterministic comparison against current User + Assistant only; no Gold/rank
S001,S001-Q016,NO_FLAG,"{""indicators"": [], ""years"": [], ""numbers"": []}",deterministic comparison against current User + Assistant only; no Gold/rank
S001,S001-Q017,NO_FLAG,"{""indicators"": [], ""years"": [], ""numbers"": []}",deterministic comparison against current User + Assistant only; no Gold/rank
S001,S001-Q018,NO_FLAG,"{""indicators"": [], ""years"": [], ""numbers"": []}",deterministic comparison against current User + Assistant only; no Gold/rank
S001,S001-Q019,NO_FLAG,"{""indicators"": [], ""years"": [], ""numbers"": []}",deterministic comparison against current User + Assistant only; no Gold/rank
S001,S001-Q020,NO_FLAG,"{""indicators"": [], ""years"": [], ""numbers"": []}",deterministic comparison against current User + Assistant only; no Gold/rank
S001,S001-Q021,NO_FLAG,"{""indicators"": [], ""years"": [], ""numbers"": []}",deterministic comparison against current User + Assistant only; no Gold/rank
S001,S001-Q022,POTENTIAL_UNSUPPORTED,"{""indicators"": [], ""years"": [], ""numbers"": [""1476.94"", ""1688.38"", ""1708.99"", ""2156.69"", ""2331.06"", ""2446.38"", ""2727"", ""2989.45"", ""3038.35""]}",deterministic comparison against current User + Assistant only; no Gold/rank
S001,S001-Q023,NO_FLAG,"{""indicators"": [], ""years"": [], ""numbers"": []}",deterministic comparison against current User + Assistant only; no Gold/rank
S001,S001-Q024,NO_FLAG,"{""indicators"": [], ""years"": [], ""numbers"": []}",deterministic comparison against current User + Assistant only; no Gold/rank
S001,S001-Q025,NO_FLAG,"{""indicators"": [], ""years"": [], ""numbers"": []}",deterministic comparison against current User + Assistant only; no Gold/rank
S001,S001-Q026,POTENTIAL_UNSUPPORTED,"{""indicators"": [], ""years"": [], ""numbers"": [""1476.94"", ""1688.38"", ""1708.99"", ""2156.69"", ""2331.06"", ""2446.38"", ""2727"", ""2989.45"", ""3038.35""]}",deterministic comparison against current User + Assistant only; no Gold/rank
S001,S001-Q027,NO_FLAG,"{""indicators"": [], ""years"": [], ""numbers"": []}",deterministic comparison against current User + Assistant only; no Gold/rank
S001,S001-Q028,NO_FLAG,"{""indicators"": [], ""years"": [], ""numbers"": []}",deterministic comparison against current User + Assistant only; no Gold/rank
S001,S001-Q029,POTENTIAL_UNSUPPORTED,"{""indicators"": [], ""years"": [], ""numbers"": [""2025，""]}",deterministic comparison against current User + Assistant only; no Gold/rank
S001,S001-Q030,NO_FLAG,"{""indicators"": [], ""years"": [], ""numbers"": []}",deterministic comparison against current User + Assistant only; no Gold/rank
S001,S001-Q031,NO_FLAG,"{""indicators"": [], ""years"": [], ""numbers"": []}",deterministic comparison against current User + Assistant only; no Gold/rank
S001,S001-Q032,NO_FLAG,"{""indicators"": [], ""years"": [], ""numbers"": []}",deterministic comparison against current User + Assistant only; no Gold/rank
