query_id,original_query,required_context,gold_page_id,gold_source_turn_id,baseline_gold_rank,best_query_variant,best_query_gold_rank,best_page_representation,best_page_gold_rank,best_embedding,best_embedding_gold_rank,best_hybrid,best_hybrid_gold_rank,baseline_local_rerank_gold_rank,best_reranker,best_rerank_gold_rank,final_gold_rank,final_in_top5,root_cause,single_factor_rescues
S001-Q011,前面的整体画像已经有了，接下来沿着营业收入把三年盈利路径拆开；请区分最新一年的边际变化和完整三年路径。,S001-Q001“先帮我梳理一下贵州茅台2023—2025年的主要财务变化。”中已经确认的三年路径结论、三年原数、指标口径和限制；S001-Q007“既然利润口径已经拆开，经营现金流是否支持刚才的盈利质量判断；请明确哪些是年报原数、哪些是……”中已经确认的现金利润结论、三年原数、指标口径和限制；S001-Q010“综合刚才几轮，如果现在写一段研究底稿，最稳妥的阶段性结论是什么；结论要能直接接到下一轮继……”中已经确认的投研摘要结论、三年原数、指标口径和限制,2631e802-75be-5089-9418-baece6a717cf,S001-Q001,6,Q5,5,P8,6,E1,5,H0_dense,6,6,R2_llm_no_thinking,4,4,True,MULTI_FACTOR,"[""QUERY"", ""EMBEDDING""]"
S001-Q013,上一轮的差异具体集中在哪个年度，能否把两段同比分别解释清楚；别只复述数字，要说明它和上一问的关系。,S001-Q001“先帮我梳理一下贵州茅台2023—2025年的主要财务变化。”中已经确认的三年路径结论、三年原数、指标口径和限制；S001-Q006“再把扣非净利润接进来，前面对盈利趋势的判断需要调整吗；把结论写得可以回到公开来源复算。”中已经确认的扣非差异结论、三年原数、指标口径和限制；S001-Q012“刚才看了收入，再看归母净利润，两者的增减方向和幅度匹配吗；回答时同时保留一项可能的反证。”中已经确认的规模质量结论、三年原数、指标口径和限制,2631e802-75be-5089-9418-baece6a717cf,S001-Q001,9,Q5,8,P8,9,E1,8,H0_dense,9,7,R2_llm_no_thinking,3,3,True,MULTI_FACTOR,[]
S001-Q013,上一轮的差异具体集中在哪个年度，能否把两段同比分别解释清楚；别只复述数字，要说明它和上一问的关系。,S001-Q001“先帮我梳理一下贵州茅台2023—2025年的主要财务变化。”中已经确认的三年路径结论、三年原数、指标口径和限制；S001-Q006“再把扣非净利润接进来，前面对盈利趋势的判断需要调整吗；把结论写得可以回到公开来源复算。”中已经确认的扣非差异结论、三年原数、指标口径和限制；S001-Q012“刚才看了收入，再看归母净利润，两者的增减方向和幅度匹配吗；回答时同时保留一项可能的反证。”中已经确认的规模质量结论、三年原数、指标口径和限制,9b4b60a1-f0f9-5368-b4ce-b441752321bb,S001-Q006,7,Q5,2,P8,7,E1,4,H0_dense,7,3,R2_llm_no_thinking,8,8,False,MULTI_FACTOR,"[""QUERY"", ""EMBEDDING"", ""RERANK""]"
S001-Q021,沿着上一轮的盈利结论，接下来重点看经营现金流是否跟得上；请从当前岗位最关心的证据开始回答。,S001-Q015“基于前面的收入和利润原数，近似利润率发生了什么变化；请把两段同比分开，不要合成一个趋势词……”中已经确认的比率拆解结论、三年原数、指标口径和限制；S001-Q020“把这一组盈利分析接回前面的整体画像，给出一段不超过公开证据边界的结论；先说明能确认的事实……”中已经确认的投研摘要结论、三年原数、指标口径和限制,f1228bac-12d1-520f-9787-52a8cdcd49db,S001-Q015,6,Q5,8,P8,7,E1,13,H0_dense,6,13,R2_llm_no_thinking,17,17,False,CANDIDATE_DEPTH,[]
S001-Q022,刚才看到的现金流三年路径是连续变化还是中途反转；不要只比较2023年和2025年两个端点。,S001-Q012“刚才看了收入，再看归母净利润，两者的增减方向和幅度匹配吗；回答时同时保留一项可能的反证。”中已经确认的规模质量结论、三年原数、指标口径和限制；S001-Q018“我想反过来验证上一轮结论，哪一项已披露数字最可能削弱它；请用完整财年数据回答，不加入季度……”中已经确认的反证检验结论、三年原数、指标口径和限制；S001-Q021“沿着上一轮的盈利结论，接下来重点看经营现金流是否跟得上；请从当前岗位最关心的证据开始回答……”中已经确认的现金利润结论、三年原数、指标口径和限制,34fa3574-894f-575c-b9b0-0a183473746e,S001-Q012,16,Q5,14,P8,15,E1,16,H0_dense,16,12,R2_llm_no_thinking,5,5,True,MULTI_FACTOR,[]
S001-Q022,刚才看到的现金流三年路径是连续变化还是中途反转；不要只比较2023年和2025年两个端点。,S001-Q012“刚才看了收入，再看归母净利润，两者的增减方向和幅度匹配吗；回答时同时保留一项可能的反证。”中已经确认的规模质量结论、三年原数、指标口径和限制；S001-Q018“我想反过来验证上一轮结论，哪一项已披露数字最可能削弱它；请用完整财年数据回答，不加入季度……”中已经确认的反证检验结论、三年原数、指标口径和限制；S001-Q021“沿着上一轮的盈利结论，接下来重点看经营现金流是否跟得上；请从当前岗位最关心的证据开始回答……”中已经确认的现金利润结论、三年原数、指标口径和限制,55e7e466-3b1c-5014-85fc-2a14618ce254,S001-Q018,13,Q5,12,P8,8,E1,8,H0_dense,13,17,R2_llm_no_thinking,16,16,False,CANDIDATE_DEPTH,[]
S001-Q026,再结合总资产变化，前面的现金表现更像效率问题还是只能确认存在错位；把口径限制放在结论里，不要另作假设。,S001-Q014“接着加入扣非净利润，刚才看到的利润变化有多少属于持续经营口径；请先给结论，再说明三年依据……”中已经确认的扣非差异结论、三年原数、指标口径和限制；S001-Q019“结合刚才的反证，前面有哪些表述需要降级或修正？”中已经确认的历史纠错结论、三年原数、指标口径和限制；S001-Q025“刚才的现金错位如果只看2025年，会不会夸大或掩盖三年趋势；请明确哪些是年报原数、哪些是……”中已经确认的年度拐点结论、三年原数、指标口径和限制,289ba3d6-8b24-5c77-8df9-7af211ee1007,S001-Q014,21,Q5,22,P8,21,E1,12,H0_dense,21,21,R2_llm_no_thinking,18,18,False,UNRESOLVED,[]
S001-Q033,基于上一轮的资产和权益原数，近似杠杆变化能说明什么、又不能说明什么；请把两段同比分开，不要合成一个趋势词。,S001-Q023“把上一轮现金流与归母净利润逐年配对，两者在哪一年错位最明显；如果指标方向不同，请保留这种……”中已经确认的冲突调和结论、三年原数、指标口径和限制；S001-Q029“结合刚才的支持证据和反证，现金相关风险应该怎样排序；请区分最新一年的边际变化和完整三年路……”中已经确认的风险排序结论、三年原数、指标口径和限制；S001-Q032“刚才看到资产变化后，再看股东权益，两者的扩张或收缩是否同步；请先给结论，再说明三年依据。”中已经确认的权益积累结论、三年原数、指标口径和限制,b4497adc-7393-57c0-8917-ce3372fbd151,S001-Q029,20,Q5,19,P8,21,E1,26,H0_dense,20,18,R2_llm_no_thinking,5,5,True,MULTI_FACTOR,[]
S001-Q035,如果收入、资产和权益方向不一致，刚才的效率判断应当怎样表述；如果前面的判断需要修订，请直接指出。,S001-Q029“结合刚才的支持证据和反证，现金相关风险应该怎样排序；请区分最新一年的边际变化和完整三年路……”中已经确认的风险排序结论、三年原数、指标口径和限制；S001-Q032“刚才看到资产变化后，再看股东权益，两者的扩张或收缩是否同步；请先给结论，再说明三年依据。”中已经确认的权益积累结论、三年原数、指标口径和限制；S001-Q034“把前面的营业收入接回来，资产变化有没有得到规模增长支撑；如果证据不足，直接说明缺口，不要……”中已经确认的规模质量结论、三年原数、指标口径和限制,b4497adc-7393-57c0-8917-ce3372fbd151,S001-Q029,27,Q5,27,P8,24,E1,29,H0_dense,27,27,R2_llm_no_thinking,13,13,False,UNRESOLVED,[]
S001-Q039,如果要向管理层追问，前面的资产和权益变化应当转化成哪些可核实的问题；请从当前岗位最关心的证据开始回答。,S001-Q027“从增长质量、盈利可持续性与资本回报的角度，刚才这组现金证据最直接影响哪项判断；把2024……”中已经确认的信用视角结论、三年原数、指标口径和限制；S001-Q032“刚才看到资产变化后，再看股东权益，两者的扩张或收缩是否同步；请先给结论，再说明三年依据。”中已经确认的权益积累结论、三年原数、指标口径和限制；S001-Q038“结合刚才的反向检查，当前最值得关注的资产端风险是什么；先说明能确认的事实，再说还不能确认……”中已经确认的风险排序结论、三年原数、指标口径和限制,c107828c-a741-55f6-8e0c-446cfbdba215,S001-Q032,11,Q5,12,P8,11,E1,13,H0_dense,11,6,R2_llm_no_thinking,13,13,False,CANDIDATE_DEPTH,[]
S001-Q042,刚才确认了来源，再检查三年比较数是否存在单位、主体或重述口径差异；把结论写得可以回到公开来源复算。,S001-Q036“上一轮识别的矛盾主要发生在哪一年，2025年是延续还是反转；请用完整财年数据回答，不加入……”中已经确认的年度拐点结论、三年原数、指标口径和限制；S001-Q041“前面的结论先不往下延伸，接下来逐项确认它们能否追溯到公开披露；如果指标方向不同，请保留这……”中已经确认的来源追溯结论、三年原数、指标口径和限制,0ec56d0d-4e11-511a-9b98-5f6bddfc2dcc,S001-Q036,6,Q5,12,P8,6,E1,18,H0_dense,6,16,R2_llm_no_thinking,24,24,False,CANDIDATE_DEPTH,[]
S001-Q044,刚才的三层证据中，哪些措辞已经超过事实本身能够支持的强度；把口径限制放在结论里，不要另作假设。,S001-Q034“把前面的营业收入接回来，资产变化有没有得到规模增长支撑；如果证据不足，直接说明缺口，不要……”中已经确认的规模质量结论、三年原数、指标口径和限制；S001-Q040“沿着上一轮的结论，把这一章接回利润和现金分析，给出资产、权益与经营结果的综合判断；不要只……”中已经确认的投研摘要结论、三年原数、指标口径和限制；S001-Q043“沿着上一轮的口径检查，把原始披露、派生计算和分析判断分开写清楚；请明确哪些是年报原数、哪……”中已经确认的证据分级结论、三年原数、指标口径和限制,32b5d492-2df9-5ed9-ac46-caca5c87097c,S001-Q034,15,Q5,9,P8,13,E1,23,H0_dense,15,15,R2_llm_no_thinking,24,24,False,CANDIDATE_DEPTH,[]
S001-Q044,刚才的三层证据中，哪些措辞已经超过事实本身能够支持的强度；把口径限制放在结论里，不要另作假设。,S001-Q034“把前面的营业收入接回来，资产变化有没有得到规模增长支撑；如果证据不足，直接说明缺口，不要……”中已经确认的规模质量结论、三年原数、指标口径和限制；S001-Q040“沿着上一轮的结论，把这一章接回利润和现金分析，给出资产、权益与经营结果的综合判断；不要只……”中已经确认的投研摘要结论、三年原数、指标口径和限制；S001-Q043“沿着上一轮的口径检查，把原始披露、派生计算和分析判断分开写清楚；请明确哪些是年报原数、哪……”中已经确认的证据分级结论、三年原数、指标口径和限制,4054aab2-0aa7-5019-b341-077265511add,S001-Q040,29,Q5,25,P8,29,E1,21,H0_dense,29,29,R2_llm_no_thinking,5,5,True,MULTI_FACTOR,[]
S001-Q049,如果把刚才的风险点交给管理层，怎样问才能对应到具体披露而不是泛泛问原因；别只复述数字，要说明它和上一问的关系。,S001-Q043“沿着上一轮的口径检查，把原始披露、派生计算和分析判断分开写清楚；请明确哪些是年报原数、哪……”中已经确认的证据分级结论、三年原数、指标口径和限制；S001-Q048“把前面的证据按可靠性排序，哪几项可以直接用于决策，哪几项只能提示风险；回答时同时保留一项……”中已经确认的风险排序结论、三年原数、指标口径和限制,de592e81-e050-536b-8909-32866c85f6c2,S001-Q043,13,Q5,17,P8,7,E1,3,H0_dense,13,2,R2_llm_no_thinking,19,19,False,MULTI_FACTOR,"[""EMBEDDING"", ""RERANK""]"
