config,session_id,query_id,requirement_id,gold_page_id,rank,hit_at_5,a0_rank,promoted_vs_a0,demoted_vs_a0,c3_rank,promoted_vs_c3,demoted_vs_c3,previous_config,previous_rank,promoted_vs_previous,demoted_vs_previous
A0,S001,S001-Q006,S001-Q006::OUT1,S001-Q001,1,True,1,False,False,1,False,False,,,False,False
A0,S001,S001-Q008,S001-Q008::OUT1,S001-Q003,1,True,1,False,False,1,False,False,,,False,False
A0,S001,S001-Q010,S001-Q010::OUT1,S001-Q005,1,True,1,False,False,1,False,False,,,False,False
A0,S001,S001-Q012,S001-Q012::OUT1,S001-Q007,1,True,1,False,False,1,False,False,,,False,False
A0,S001,S001-Q014,S001-Q014::OUT1,S001-Q009,2,True,2,False,False,4,False,False,,,False,False
A0,S001,S001-Q016,S001-Q016::OUT1,S001-Q011,6,False,6,False,False,6,False,False,,,False,False
A0,S001,S001-Q018,S001-Q018::OUT1,S001-Q013,3,True,3,False,False,1,False,False,,,False,False
A0,S001,S001-Q020,S001-Q020::OUT1,S001-Q015,7,False,7,False,False,10,False,False,,,False,False
A0,S001,S001-Q022,S001-Q022::OUT1,S001-Q017,1,True,1,False,False,4,False,False,,,False,False
A0,S001,S001-Q024,S001-Q024::OUT1,S001-Q019,4,True,4,False,False,6,True,False,,,False,False
A0,S001,S001-Q026,S001-Q026::OUT1,S001-Q021,3,True,3,False,False,2,False,False,,,False,False
A0,S001,S001-Q028,S001-Q028::OUT1,S001-Q023,3,True,3,False,False,2,False,False,,,False,False
A0,S001,S001-Q030,S001-Q030::OUT1,S001-Q025,3,True,3,False,False,5,False,False,,,False,False
A0,S001,S001-Q032,S001-Q032::OUT1,S001-Q027,1,True,1,False,False,2,False,False,,,False,False
A0,S001,S001-Q034,S001-Q034::OUT1,S001-Q029,13,False,13,False,False,17,False,False,,,False,False
A0,S001,S001-Q036,S001-Q036::OUT1,S001-Q031,11,False,11,False,False,18,False,False,,,False,False
A0,S001,S001-Q038,S001-Q038::OUT1,S001-Q033,6,False,6,False,False,2,False,True,,,False,False
A0,S001,S001-Q039,S001-Q039::OUT1,S001-Q033,12,False,12,False,False,12,False,False,,,False,False
A0,S001,S001-Q040,S001-Q040::OUT1,S001-Q035,8,False,8,False,False,7,False,False,,,False,False
A0,S001,S001-Q042,S001-Q042::OUT1,S001-Q037,1,True,1,False,False,1,False,False,,,False,False
A0,S001,S001-Q044,S001-Q044::OUT1,S001-Q039,10,False,10,False,False,4,False,True,,,False,False
A0,S001,S001-Q046,S001-Q046::OUT1,S001-Q041,22,False,22,False,False,35,False,False,,,False,False
A0,S001,S001-Q048,S001-Q048::OUT1,S001-Q043,14,False,14,False,False,1,False,True,,,False,False
A0,S001,S001-Q050,S001-Q050::OUT1,S001-Q045,1,True,1,False,False,4,False,False,,,False,False
A0,S002,S002-Q006,S002-Q006::OUT1,S002-Q001,1,True,1,False,False,1,False,False,,,False,False
A0,S002,S002-Q008,S002-Q008::OUT1,S002-Q003,2,True,2,False,False,2,False,False,,,False,False
A0,S002,S002-Q010,S002-Q010::OUT1,S002-Q005,1,True,1,False,False,1,False,False,,,False,False
A0,S002,S002-Q012,S002-Q012::OUT1,S002-Q007,1,True,1,False,False,2,False,False,,,False,False
A0,S002,S002-Q014,S002-Q014::OUT1,S002-Q009,2,True,2,False,False,2,False,False,,,False,False
A0,S002,S002-Q016,S002-Q016::OUT1,S002-Q011,10,False,10,False,False,5,False,True,,,False,False
A0,S002,S002-Q018,S002-Q018::OUT1,S002-Q013,2,True,2,False,False,1,False,False,,,False,False
A0,S002,S002-Q020,S002-Q020::OUT1,S002-Q015,9,False,9,False,False,2,False,True,,,False,False
A0,S002,S002-Q021,S002-Q021::OUT1,S002-Q010,16,False,16,False,False,16,False,False,,,False,False
A0,S002,S002-Q022,S002-Q022::OUT1,S002-Q017,1,True,1,False,False,1,False,False,,,False,False
A0,S002,S002-Q024,S002-Q024::OUT1,S002-Q019,9,False,9,False,False,9,False,False,,,False,False
A0,S002,S002-Q026,S002-Q026::OUT1,S002-Q021,1,True,1,False,False,8,True,False,,,False,False
A0,S002,S002-Q028,S002-Q028::OUT1,S002-Q023,5,True,5,False,False,5,False,False,,,False,False
A0,S002,S002-Q030,S002-Q030::OUT1,S002-Q025,8,False,8,False,False,17,False,False,,,False,False
A0,S002,S002-Q032,S002-Q032::OUT1,S002-Q027,1,True,1,False,False,2,False,False,,,False,False
A0,S002,S002-Q034,S002-Q034::OUT1,S002-Q029,2,True,2,False,False,3,False,False,,,False,False
A0,S002,S002-Q036,S002-Q036::OUT1,S002-Q031,3,True,3,False,False,5,False,False,,,False,False
A0,S002,S002-Q038,S002-Q038::OUT1,S002-Q033,2,True,2,False,False,3,False,False,,,False,False
A0,S002,S002-Q040,S002-Q040::OUT1,S002-Q035,5,True,5,False,False,33,True,False,,,False,False
A0,S002,S002-Q042,S002-Q042::OUT1,S002-Q037,1,True,1,False,False,1,False,False,,,False,False
A0,S002,S002-Q044,S002-Q044::OUT1,S002-Q039,8,False,8,False,False,11,False,False,,,False,False
A0,S002,S002-Q046,S002-Q046::OUT1,S002-Q041,1,True,1,False,False,4,False,False,,,False,False
A0,S002,S002-Q048,S002-Q048::OUT1,S002-Q043,1,True,1,False,False,1,False,False,,,False,False
A0,S002,S002-Q049,S002-Q049::OUT1,S002-Q043,9,False,9,False,False,5,False,True,,,False,False
A0,S002,S002-Q050,S002-Q050::OUT1,S002-Q045,1,True,1,False,False,2,False,False,,,False,False
A0,S002,S002-Q051,S002-Q051::OUT1,S002-Q036,18,False,18,False,False,19,False,False,,,False,False
A0,S002,S002-Q052,S002-Q052::OUT1,S002-Q047,1,True,1,False,False,1,False,False,,,False,False
A0,S002,S002-Q054,S002-Q054::OUT1,S002-Q049,4,True,4,False,False,11,True,False,,,False,False
A0,S002,S002-Q056,S002-Q056::OUT1,S002-Q051,7,False,7,False,False,26,False,False,,,False,False
A0,S002,S002-Q057,S002-Q057::OUT1,S002-Q048,8,False,8,False,False,17,False,False,,,False,False
A0,S002,S002-Q058,S002-Q058::OUT1,S002-Q053,4,True,4,False,False,12,True,False,,,False,False
A0,S002,S002-Q060,S002-Q060::OUT1,S002-Q055,17,False,17,False,False,24,False,False,,,False,False
A0,S002,S002-Q062,S002-Q062::OUT1,S002-Q057,7,False,7,False,False,2,False,True,,,False,False
A0,S002,S002-Q064,S002-Q064::OUT1,S002-Q059,3,True,3,False,False,11,True,False,,,False,False
A0,S002,S002-Q066,S002-Q066::OUT1,S002-Q061,27,False,27,False,False,20,False,False,,,False,False
A0,S002,S002-Q068,S002-Q068::OUT1,S002-Q063,18,False,18,False,False,17,False,False,,,False,False
A0,S002,S002-Q070,S002-Q070::OUT1,S002-Q065,7,False,7,False,False,1,False,True,,,False,False
A0,S002,S002-Q072,S002-Q072::OUT1,S002-Q067,1,True,1,False,False,3,False,False,,,False,False
A0,S003,S003-Q006,S003-Q006::OUT1,S003-Q001,1,True,1,False,False,1,False,False,,,False,False
A0,S003,S003-Q008,S003-Q008::OUT1,S003-Q003,2,True,2,False,False,1,False,False,,,False,False
A0,S003,S003-Q010,S003-Q010::OUT1,S003-Q005,1,True,1,False,False,1,False,False,,,False,False
A0,S003,S003-Q012,S003-Q012::OUT1,S003-Q007,2,True,2,False,False,2,False,False,,,False,False
A0,S003,S003-Q014,S003-Q014::OUT1,S003-Q009,2,True,2,False,False,2,False,False,,,False,False
A0,S003,S003-Q016,S003-Q016::OUT1,S003-Q011,4,True,4,False,False,4,False,False,,,False,False
A0,S003,S003-Q018,S003-Q018::OUT1,S003-Q013,1,True,1,False,False,1,False,False,,,False,False
