query_id,gold_page_id,baseline_rank,candidate_rank,local_candidate_rank,llm_candidate_rank,local_rerank_rank,local_rank_delta,local_movement,llm_rerank_rank,llm_rank_delta,llm_movement,baseline_rank_6_to_20
S001-Q007,2631e802-75be-5089-9418-baece6a717cf,3,3,3,3,3,0,UNCHANGED,2,1,UNCHANGED,False
S001-Q011,2631e802-75be-5089-9418-baece6a717cf,6,7,7,4,5,1,PROMOTED_INTO_TOP5,4,2,PROMOTED_INTO_TOP5,True
S001-Q011,dc12b285-c21d-5cfe-84a2-d016fce5ffe6,1,1,1,1,2,-1,DEMOTED_BUT_STILL_HIT,3,-2,DEMOTED_BUT_STILL_HIT,False
S001-Q013,2631e802-75be-5089-9418-baece6a717cf,9,9,9,7,5,4,PROMOTED_INTO_TOP5,3,6,PROMOTED_INTO_TOP5,True
S001-Q013,9b4b60a1-f0f9-5368-b4ce-b441752321bb,7,8,8,6,1,6,PROMOTED_INTO_TOP5,8,-1,UNCHANGED,True
S001-Q014,f99dbe58-f286-568d-b1fe-f1ebe59c0e0a,1,2,2,3,2,-1,DEMOTED_BUT_STILL_HIT,4,-3,DEMOTED_BUT_STILL_HIT,False
S001-Q021,f1228bac-12d1-520f-9787-52a8cdcd49db,6,11,11,16,8,-2,UNCHANGED,17,-11,UNCHANGED,True
S001-Q022,34fa3574-894f-575c-b9b0-0a183473746e,16,15,15,7,13,3,PROMOTED_BUT_STILL_MISS,5,11,PROMOTED_INTO_TOP5,True
S001-Q022,55e7e466-3b1c-5014-85fc-2a14618ce254,13,17,17,16,11,2,PROMOTED_BUT_STILL_MISS,16,-3,UNCHANGED,True
S001-Q026,289ba3d6-8b24-5c77-8df9-7af211ee1007,21,19,19,13,2,19,PROMOTED_INTO_TOP5,18,3,PROMOTED_BUT_STILL_MISS,False
S001-Q026,88e975b7-0f5a-5f5c-98ce-e461dcab93b8,4,2,2,4,17,-13,DEMOTED_OUT_OF_TOP5,13,-9,DEMOTED_OUT_OF_TOP5,False
S001-Q028,44777fdf-abd5-5570-b0aa-8e3f1cb44000,2,5,5,8,14,-12,DEMOTED_OUT_OF_TOP5,15,-13,DEMOTED_OUT_OF_TOP5,False
S001-Q033,d5c03971-3795-5256-a75f-b3921d61a92d,2,3,3,7,3,-1,DEMOTED_BUT_STILL_HIT,1,1,UNCHANGED,False
S001-Q033,b4497adc-7393-57c0-8917-ce3372fbd151,20,23,23,13,23,-3,UNCHANGED,5,15,PROMOTED_INTO_TOP5,True
S001-Q035,b4497adc-7393-57c0-8917-ce3372fbd151,27,17,17,15,20,7,PROMOTED_BUT_STILL_MISS,13,14,PROMOTED_BUT_STILL_MISS,False
S001-Q039,31eb0f30-7b80-5d07-8ba6-bc6a6a24cb62,3,2,2,7,5,-2,DEMOTED_BUT_STILL_HIT,1,2,UNCHANGED,False
S001-Q039,c107828c-a741-55f6-8e0c-446cfbdba215,11,15,15,19,11,0,UNCHANGED,13,-2,UNCHANGED,True
S001-Q042,0ec56d0d-4e11-511a-9b98-5f6bddfc2dcc,6,16,16,24,15,-9,UNCHANGED,24,-18,UNCHANGED,True
S001-Q044,32b5d492-2df9-5ed9-ac46-caca5c87097c,15,18,18,24,15,0,UNCHANGED,24,-9,UNCHANGED,True
S001-Q044,4054aab2-0aa7-5019-b341-077265511add,29,26,26,11,26,3,PROMOTED_BUT_STILL_MISS,5,24,PROMOTED_INTO_TOP5,False
S001-Q049,de592e81-e050-536b-8909-32866c85f6c2,13,15,15,19,2,11,PROMOTED_INTO_TOP5,19,-6,UNCHANGED,True
