turn_id,current_question,gold_turn_ids,long_range_gold_ids,long_range_gold_count,mid_page_long_hits,long_long_hits,effective_long_hits,effective_full_dependency_recall,root_causes
S001-Q007,既然利润口径已经拆开，经营现金流是否支持刚才的盈利质量判断；请明确哪些是年报原数、哪些是计算结果。,S001-Q001|S001-Q006,S001-Q001,1,1,1,1,True,
S001-Q011,前面的整体画像已经有了，接下来沿着营业收入把三年盈利路径拆开；请区分最新一年的边际变化和完整三年路径。,S001-Q001|S001-Q007|S001-Q010,S001-Q001|S001-Q007,2,2,2,2,True,
S001-Q013,上一轮的差异具体集中在哪个年度，能否把两段同比分别解释清楚；别只复述数字，要说明它和上一问的关系。,S001-Q001|S001-Q006|S001-Q012,S001-Q001|S001-Q006,2,0,1,1,False,TOP_K_CUTOFF
S001-Q014,接着加入扣非净利润，刚才看到的利润变化有多少属于持续经营口径；请先给结论，再说明三年依据。,S001-Q008|S001-Q013,S001-Q008,1,1,1,1,True,
S001-Q021,沿着上一轮的盈利结论，接下来重点看经营现金流是否跟得上；请从当前岗位最关心的证据开始回答。,S001-Q015|S001-Q020,S001-Q015,1,0,0,0,False,DATASET_WRONG_GOLD
S001-Q022,刚才看到的现金流三年路径是连续变化还是中途反转；不要只比较2023年和2025年两个端点。,S001-Q012|S001-Q018|S001-Q021,S001-Q012|S001-Q018,2,0,0,0,False,QUERY_FORMULATION|TOP_K_CUTOFF
S001-Q026,再结合总资产变化，前面的现金表现更像效率问题还是只能确认存在错位；把口径限制放在结论里，不要另作假设。,S001-Q014|S001-Q019|S001-Q025,S001-Q014|S001-Q019,2,1,2,2,True,TOP_K_CUTOFF
S001-Q028,我不想只听支持项，哪项前面已经出现的数字可能推翻现金质量结论；结论要能直接接到下一轮继续追问。,S001-Q022|S001-Q027,S001-Q022,1,0,0,0,False,PAGE_REPRESENTATION
S001-Q033,基于上一轮的资产和权益原数，近似杠杆变化能说明什么、又不能说明什么；请把两段同比分开，不要合成一个趋势词。,S001-Q023|S001-Q029|S001-Q032,S001-Q023|S001-Q029,2,1,0,1,False,QUERY_FORMULATION
S001-Q035,如果收入、资产和权益方向不一致，刚才的效率判断应当怎样表述；如果前面的判断需要修订，请直接指出。,S001-Q029|S001-Q032|S001-Q034,S001-Q029,1,0,0,0,False,TOP_K_CUTOFF
S001-Q039,如果要向管理层追问，前面的资产和权益变化应当转化成哪些可核实的问题；请从当前岗位最关心的证据开始回答。,S001-Q027|S001-Q032|S001-Q038,S001-Q027|S001-Q032,2,0,0,0,False,TOP_K_CUTOFF
S001-Q042,刚才确认了来源，再检查三年比较数是否存在单位、主体或重述口径差异；把结论写得可以回到公开来源复算。,S001-Q036|S001-Q041,S001-Q036,1,0,0,0,False,TOP_K_CUTOFF
S001-Q044,刚才的三层证据中，哪些措辞已经超过事实本身能够支持的强度；把口径限制放在结论里，不要另作假设。,S001-Q034|S001-Q040|S001-Q043,S001-Q034|S001-Q040,2,0,0,0,False,EQUIVALENT_ALTERNATIVE_PAGE
S001-Q049,如果把刚才的风险点交给管理层，怎样问才能对应到具体披露而不是泛泛问原因；别只复述数字，要说明它和上一问的关系。,S001-Q043|S001-Q048,S001-Q043,1,0,0,0,False,TOP_K_CUTOFF
