comparison,session_id,query_id,gold_page_id,gold_source_turn_id,before_rank,after_rank,rank_improvement,before_score,after_score,score_difference,Model,Type,extreme_movement
qcsun/financial-embedding vs BAAI/bge-small-zh-v1.5,S001,S001-Q007,2631e802-75be-5089-9418-baece6a717cf,S001-Q001,3,1,2,0.428148090839386,0.4166967570781708,-0.01145133376121521,qcsun/financial-embedding,金融,
qcsun/financial-embedding vs BAAI/bge-small-zh-v1.5,S001,S001-Q011,2631e802-75be-5089-9418-baece6a717cf,S001-Q001,4,2,2,0.466714084148407,0.35704100131988525,-0.10967308282852173,qcsun/financial-embedding,金融,
qcsun/financial-embedding vs BAAI/bge-small-zh-v1.5,S001,S001-Q011,dc12b285-c21d-5cfe-84a2-d016fce5ffe6,S001-Q007,1,5,-4,0.5079617500305176,0.3245771527290344,-0.18338459730148315,qcsun/financial-embedding,金融,
qcsun/financial-embedding vs BAAI/bge-small-zh-v1.5,S001,S001-Q013,2631e802-75be-5089-9418-baece6a717cf,S001-Q001,6,8,-2,0.5258427858352661,0.37090739607810974,-0.15493538975715637,qcsun/financial-embedding,金融,
qcsun/financial-embedding vs BAAI/bge-small-zh-v1.5,S001,S001-Q013,9b4b60a1-f0f9-5368-b4ce-b441752321bb,S001-Q006,5,6,-1,0.5786083340644836,0.38990190625190735,-0.1887064278125763,qcsun/financial-embedding,金融,
qcsun/financial-embedding vs BAAI/bge-small-zh-v1.5,S001,S001-Q014,f99dbe58-f286-568d-b1fe-f1ebe59c0e0a,S001-Q008,3,9,-6,0.6154555082321167,0.39703845977783203,-0.21841704845428467,qcsun/financial-embedding,金融,
qcsun/financial-embedding vs BAAI/bge-small-zh-v1.5,S001,S001-Q021,f1228bac-12d1-520f-9787-52a8cdcd49db,S001-Q015,7,7,0,0.6190251111984253,0.4316053092479706,-0.1874198019504547,qcsun/financial-embedding,金融,
qcsun/financial-embedding vs BAAI/bge-small-zh-v1.5,S001,S001-Q022,34fa3574-894f-575c-b9b0-0a183473746e,S001-Q012,13,4,9,0.5578075647354126,0.20831924676895142,-0.3494883179664612,qcsun/financial-embedding,金融,
qcsun/financial-embedding vs BAAI/bge-small-zh-v1.5,S001,S001-Q022,55e7e466-3b1c-5014-85fc-2a14618ce254,S001-Q018,11,13,-2,0.5649251937866211,0.18255409598350525,-0.38237109780311584,qcsun/financial-embedding,金融,
qcsun/financial-embedding vs BAAI/bge-small-zh-v1.5,S001,S001-Q026,289ba3d6-8b24-5c77-8df9-7af211ee1007,S001-Q014,3,10,-7,0.6154380440711975,0.2159620225429535,-0.399476021528244,qcsun/financial-embedding,金融,
