Session,Query ID,Gold Page ID,Gold source_turn_id,Add Prompt,Query 检索方式,Gold rank,Gold score
S001,S001-Q007,2631e802-75be-5089-9418-baece6a717cf,S001-Q001,原 Production Add Prompt,原始问题直接检索,3,0.35526493191719055
S001,S001-Q007,2631e802-75be-5089-9418-baece6a717cf,S001-Q001,原 Production Add Prompt,上下文引用解析后检索,3,0.39499086141586304
S001,S001-Q007,2631e802-75be-5089-9418-baece6a717cf,S001-Q001,最小改动 Add Prompt,原始问题直接检索,3,0.3693975806236267
S001,S001-Q007,2631e802-75be-5089-9418-baece6a717cf,S001-Q001,最小改动 Add Prompt,上下文引用解析后检索,3,0.4167041778564453
S001,S001-Q007,2631e802-75be-5089-9418-baece6a717cf,S001-Q001,多检索入口保留 Add Prompt,原始问题直接检索,3,0.3809669017791748
S001,S001-Q007,2631e802-75be-5089-9418-baece6a717cf,S001-Q001,多检索入口保留 Add Prompt,上下文引用解析后检索,3,0.42836809158325195
S001,S001-Q007,2631e802-75be-5089-9418-baece6a717cf,S001-Q001,任务 + 证据链保留 Add Prompt,原始问题直接检索,3,0.3645704686641693
S001,S001-Q007,2631e802-75be-5089-9418-baece6a717cf,S001-Q001,任务 + 证据链保留 Add Prompt,上下文引用解析后检索,3,0.40685197710990906
S001,S001-Q011,2631e802-75be-5089-9418-baece6a717cf,S001-Q001,原 Production Add Prompt,原始问题直接检索,6,0.4535906910896301
S001,S001-Q011,2631e802-75be-5089-9418-baece6a717cf,S001-Q001,原 Production Add Prompt,上下文引用解析后检索,6,0.4535906910896301
S001,S001-Q011,2631e802-75be-5089-9418-baece6a717cf,S001-Q001,最小改动 Add Prompt,原始问题直接检索,5,0.47475892305374146
S001,S001-Q011,2631e802-75be-5089-9418-baece6a717cf,S001-Q001,最小改动 Add Prompt,上下文引用解析后检索,5,0.47475892305374146
S001,S001-Q011,2631e802-75be-5089-9418-baece6a717cf,S001-Q001,多检索入口保留 Add Prompt,原始问题直接检索,4,0.47795477509498596
S001,S001-Q011,2631e802-75be-5089-9418-baece6a717cf,S001-Q001,多检索入口保留 Add Prompt,上下文引用解析后检索,4,0.47795477509498596
S001,S001-Q011,2631e802-75be-5089-9418-baece6a717cf,S001-Q001,任务 + 证据链保留 Add Prompt,原始问题直接检索,6,0.46466901898384094
S001,S001-Q011,2631e802-75be-5089-9418-baece6a717cf,S001-Q001,任务 + 证据链保留 Add Prompt,上下文引用解析后检索,6,0.46466901898384094
S001,S001-Q011,dc12b285-c21d-5cfe-84a2-d016fce5ffe6,S001-Q007,原 Production Add Prompt,原始问题直接检索,1,0.5185934901237488
S001,S001-Q011,dc12b285-c21d-5cfe-84a2-d016fce5ffe6,S001-Q007,原 Production Add Prompt,上下文引用解析后检索,1,0.5185934901237488
S001,S001-Q011,dc12b285-c21d-5cfe-84a2-d016fce5ffe6,S001-Q007,最小改动 Add Prompt,原始问题直接检索,1,0.5781141519546509
S001,S001-Q011,dc12b285-c21d-5cfe-84a2-d016fce5ffe6,S001-Q007,最小改动 Add Prompt,上下文引用解析后检索,1,0.5781141519546509
S001,S001-Q011,dc12b285-c21d-5cfe-84a2-d016fce5ffe6,S001-Q007,多检索入口保留 Add Prompt,原始问题直接检索,1,0.5452966094017029
S001,S001-Q011,dc12b285-c21d-5cfe-84a2-d016fce5ffe6,S001-Q007,多检索入口保留 Add Prompt,上下文引用解析后检索,1,0.5452966094017029
S001,S001-Q011,dc12b285-c21d-5cfe-84a2-d016fce5ffe6,S001-Q007,任务 + 证据链保留 Add Prompt,原始问题直接检索,3,0.5395814776420593
S001,S001-Q011,dc12b285-c21d-5cfe-84a2-d016fce5ffe6,S001-Q007,任务 + 证据链保留 Add Prompt,上下文引用解析后检索,3,0.5395814776420593
S001,S001-Q013,2631e802-75be-5089-9418-baece6a717cf,S001-Q001,原 Production Add Prompt,原始问题直接检索,9,0.3880617618560791
