comparison,session_id,query_id,gold_page_id,gold_source_turn_id,before_rank,after_rank,rank_improvement,before_score,after_score,score_difference,Model,Type,extreme_movement
qcsun/financial-embedding vs BAAI/bge-small-zh-v1.5,S002,S002-Q033,79860bb6-6010-5ca0-ac81-f4327e2bff44,S002-Q023,2,22,-20,0.7454124689102173,0.49337539076805115,-0.25203707814216614,qcsun/financial-embedding,金融,TOP5_TO_OUTSIDE20
qcsun/financial-embedding vs BAAI/bge-small-zh-v1.5,S002,S002-Q044,647fce0c-6320-5a98-819d-50dff3300582,S002-Q040,4,30,-26,0.7309869527816772,0.6827995777130127,-0.04818737506866455,qcsun/financial-embedding,金融,TOP5_TO_OUTSIDE20
qcsun/financial-embedding vs BAAI/bge-small-zh-v1.5,S002,S002-Q065,a2f4bee5-f836-545e-8197-d79f3f2d284c,S002-Q053,1,46,-45,0.650933027267456,0.19946715235710144,-0.4514658749103546,qcsun/financial-embedding,金融,TOP5_TO_OUTSIDE20
qcsun/financial-embedding vs BAAI/bge-small-zh-v1.5,S003,S003-Q033,1b535a84-9ae4-50ee-bbda-1d7ba186183e,S003-Q029,21,1,20,0.54683518409729,0.5127506852149963,-0.0340844988822937,qcsun/financial-embedding,金融,OUTSIDE20_TO_TOP5
qcsun/financial-embedding vs BAAI/bge-small-zh-v1.5,S003,S003-Q066,3e1cec0a-77e2-5463-865e-1f49b78e966c,S003-Q056,1,42,-41,0.48954805731773376,0.23137281835079193,-0.25817523896694183,qcsun/financial-embedding,金融,TOP5_TO_OUTSIDE20
qcsun/financial-embedding vs BAAI/bge-small-zh-v1.5,S003,S003-Q091,dc75d4a6-dbec-512b-bed7-4048466382c6,S003-Q084,3,22,-19,0.5488320589065552,0.3577103018760681,-0.19112175703048706,qcsun/financial-embedding,金融,TOP5_TO_OUTSIDE20
qcsun/financial-embedding vs BAAI/bge-small-zh-v1.5,S004,S004-Q039,594016a4-b321-5143-a8c6-3923fed20111,S004-Q032,21,2,19,0.489423006772995,0.48491623997688293,-0.0045067667961120605,qcsun/financial-embedding,金融,OUTSIDE20_TO_TOP5
qcsun/financial-embedding vs BAAI/bge-small-zh-v1.5,S004,S004-Q042,c61777d3-f94f-5655-9b6b-9d6cdc28c303,S004-Q036,4,21,-17,0.5434472560882568,0.2210461050271988,-0.32240115106105804,qcsun/financial-embedding,金融,TOP5_TO_OUTSIDE20
qcsun/financial-embedding vs BAAI/bge-small-zh-v1.5,S004,S004-Q056,adc1eeb8-b0f8-5877-88cf-abdd23798b3a,S004-Q050,3,22,-19,0.6123521327972412,0.3246597945690155,-0.2876923382282257,qcsun/financial-embedding,金融,TOP5_TO_OUTSIDE20
qcsun/financial-embedding vs BAAI/bge-small-zh-v1.5,S004,S004-Q063,2c5547ce-bd04-536c-8b2d-e09ae5633e53,S004-Q057,26,2,24,0.4568561911582947,0.25537094473838806,-0.20148524641990662,qcsun/financial-embedding,金融,OUTSIDE20_TO_TOP5
qcsun/financial-embedding vs BAAI/bge-small-zh-v1.5,S005,S005-Q049,d0b649b9-d683-5ad9-a5a6-64c75b0bc996,S005-Q043,1,25,-24,0.6233232617378235,0.24903301894664764,-0.37429024279117584,qcsun/financial-embedding,金融,TOP5_TO_OUTSIDE20
BalyasnyAI/multilingual-e5-base vs BAAI/bge-small-zh-v1.5,S002,S002-Q065,a2f4bee5-f836-545e-8197-d79f3f2d284c,S002-Q053,1,29,-28,0.650933027267456,0.4380570948123932,-0.21287593245506287,BalyasnyAI/multilingual-e5-base,金融,TOP5_TO_OUTSIDE20
BalyasnyAI/multilingual-e5-base vs BAAI/bge-small-zh-v1.5,S003,S003-Q078,70584af0-da6d-5ee7-9e7c-ad3f962ef545,S003-Q066,5,37,-32,0.5364928841590881,0.4340018928050995,-0.10249099135398865,BalyasnyAI/multilingual-e5-base,金融,TOP5_TO_OUTSIDE20
BalyasnyAI/multilingual-e5-base vs BAAI/bge-small-zh-v1.5,S004,S004-Q039,594016a4-b321-5143-a8c6-3923fed20111,S004-Q032,21,3,18,0.489423006772995,0.5573464632034302,0.06792345643043518,BalyasnyAI/multilingual-e5-base,金融,OUTSIDE20_TO_TOP5
BalyasnyAI/multilingual-e5-base vs BAAI/bge-small-zh-v1.5,S004,S004-Q056,adc1eeb8-b0f8-5877-88cf-abdd23798b3a,S004-Q050,3,25,-22,0.6123521327972412,0.5121762156486511,-0.10017591714859009,BalyasnyAI/multilingual-e5-base,金融,TOP5_TO_OUTSIDE20
Alibaba-NLP/gte-multilingual-base vs BAAI/bge-small-zh-v1.5,S003,S003-Q056,59d896c1-0734-53cf-821a-5728dd5fe548,S003-Q050,3,46,-43,0.5221919417381287,0.5599702000617981,0.037778258323669434,Alibaba-NLP/gte-multilingual-base,通用,TOP5_TO_OUTSIDE20
Alibaba-NLP/gte-multilingual-base vs BAAI/bge-small-zh-v1.5,S003,S003-Q078,70584af0-da6d-5ee7-9e7c-ad3f962ef545,S003-Q066,5,35,-30,0.5364928841590881,0.6422461867332458,0.10575330257415771,Alibaba-NLP/gte-multilingual-base,通用,TOP5_TO_OUTSIDE20
