comparison,session_id,query_id,transition,before_gold_ranks,after_gold_ranks,promoted_gold,demoted_gold,top5_page_ids_identical,Model,Type
qcsun/financial-embedding vs BAAI/bge-small-zh-v1.5,S001,S001-Q007,UNCHANGED_HIT,"{""2631e802-75be-5089-9418-baece6a717cf"": 3}","{""2631e802-75be-5089-9418-baece6a717cf"": 1}",0,0,False,qcsun/financial-embedding,金融
qcsun/financial-embedding vs BAAI/bge-small-zh-v1.5,S001,S001-Q011,UNCHANGED_HIT,"{""2631e802-75be-5089-9418-baece6a717cf"": 4, ""dc12b285-c21d-5cfe-84a2-d016fce5ffe6"": 1}","{""2631e802-75be-5089-9418-baece6a717cf"": 2, ""dc12b285-c21d-5cfe-84a2-d016fce5ffe6"": 5}",0,0,False,qcsun/financial-embedding,金融
qcsun/financial-embedding vs BAAI/bge-small-zh-v1.5,S001,S001-Q013,HURT,"{""2631e802-75be-5089-9418-baece6a717cf"": 6, ""9b4b60a1-f0f9-5368-b4ce-b441752321bb"": 5}","{""2631e802-75be-5089-9418-baece6a717cf"": 8, ""9b4b60a1-f0f9-5368-b4ce-b441752321bb"": 6}",0,1,False,qcsun/financial-embedding,金融
qcsun/financial-embedding vs BAAI/bge-small-zh-v1.5,S001,S001-Q014,HURT,"{""f99dbe58-f286-568d-b1fe-f1ebe59c0e0a"": 3}","{""f99dbe58-f286-568d-b1fe-f1ebe59c0e0a"": 9}",0,1,False,qcsun/financial-embedding,金融
qcsun/financial-embedding vs BAAI/bge-small-zh-v1.5,S001,S001-Q021,UNCHANGED_MISS,"{""f1228bac-12d1-520f-9787-52a8cdcd49db"": 7}","{""f1228bac-12d1-520f-9787-52a8cdcd49db"": 7}",0,0,False,qcsun/financial-embedding,金融
qcsun/financial-embedding vs BAAI/bge-small-zh-v1.5,S001,S001-Q022,RESCUED,"{""34fa3574-894f-575c-b9b0-0a183473746e"": 13, ""55e7e466-3b1c-5014-85fc-2a14618ce254"": 11}","{""34fa3574-894f-575c-b9b0-0a183473746e"": 4, ""55e7e466-3b1c-5014-85fc-2a14618ce254"": 13}",1,0,False,qcsun/financial-embedding,金融
qcsun/financial-embedding vs BAAI/bge-small-zh-v1.5,S001,S001-Q026,HURT,"{""289ba3d6-8b24-5c77-8df9-7af211ee1007"": 3, ""88e975b7-0f5a-5f5c-98ce-e461dcab93b8"": 12}","{""289ba3d6-8b24-5c77-8df9-7af211ee1007"": 10, ""88e975b7-0f5a-5f5c-98ce-e461dcab93b8"": 11}",0,1,False,qcsun/financial-embedding,金融
qcsun/financial-embedding vs BAAI/bge-small-zh-v1.5,S001,S001-Q028,HURT,"{""44777fdf-abd5-5570-b0aa-8e3f1cb44000"": 3}","{""44777fdf-abd5-5570-b0aa-8e3f1cb44000"": 19}",0,1,False,qcsun/financial-embedding,金融
qcsun/financial-embedding vs BAAI/bge-small-zh-v1.5,S001,S001-Q033,UNCHANGED_HIT,"{""d5c03971-3795-5256-a75f-b3921d61a92d"": 2, ""b4497adc-7393-57c0-8917-ce3372fbd151"": 24}","{""d5c03971-3795-5256-a75f-b3921d61a92d"": 2, ""b4497adc-7393-57c0-8917-ce3372fbd151"": 21}",0,0,False,qcsun/financial-embedding,金融
qcsun/financial-embedding vs BAAI/bge-small-zh-v1.5,S001,S001-Q035,UNCHANGED_MISS,"{""b4497adc-7393-57c0-8917-ce3372fbd151"": 23}","{""b4497adc-7393-57c0-8917-ce3372fbd151"": 14}",0,0,False,qcsun/financial-embedding,金融
qcsun/financial-embedding vs BAAI/bge-small-zh-v1.5,S001,S001-Q039,UNCHANGED_HIT,"{""31eb0f30-7b80-5d07-8ba6-bc6a6a24cb62"": 1, ""c107828c-a741-55f6-8e0c-446cfbdba215"": 13}","{""31eb0f30-7b80-5d07-8ba6-bc6a6a24cb62"": 12, ""c107828c-a741-55f6-8e0c-446cfbdba215"": 1}",1,1,False,qcsun/financial-embedding,金融
qcsun/financial-embedding vs BAAI/bge-small-zh-v1.5,S001,S001-Q042,RESCUED,"{""0ec56d0d-4e11-511a-9b98-5f6bddfc2dcc"": 7}","{""0ec56d0d-4e11-511a-9b98-5f6bddfc2dcc"": 2}",1,0,False,qcsun/financial-embedding,金融
qcsun/financial-embedding vs BAAI/bge-small-zh-v1.5,S001,S001-Q044,HURT,"{""32b5d492-2df9-5ed9-ac46-caca5c87097c"": 4, ""4054aab2-0aa7-5019-b341-077265511add"": 6}","{""32b5d492-2df9-5ed9-ac46-caca5c87097c"": 8, ""4054aab2-0aa7-5019-b341-077265511add"": 6}",0,1,False,qcsun/financial-embedding,金融
