Session,Query ID,Gold Page ID,Gold source_turn_id,完整实验配置,Add Prompt,Search 方案,Gold rank,Gold score,Gold hit Top5
S001,S001-Q007,2631e802-75be-5089-9418-baece6a717cf,S001-Q001,原 Production Add Prompt + 原始问题直接检索,原 Production Add Prompt,原始问题直接检索,3,0.35526493191719055,True
S001,S001-Q011,2631e802-75be-5089-9418-baece6a717cf,S001-Q001,原 Production Add Prompt + 原始问题直接检索,原 Production Add Prompt,原始问题直接检索,6,0.4535906910896301,False
S001,S001-Q011,dc12b285-c21d-5cfe-84a2-d016fce5ffe6,S001-Q007,原 Production Add Prompt + 原始问题直接检索,原 Production Add Prompt,原始问题直接检索,1,0.5185934901237488,True
S001,S001-Q013,2631e802-75be-5089-9418-baece6a717cf,S001-Q001,原 Production Add Prompt + 原始问题直接检索,原 Production Add Prompt,原始问题直接检索,9,0.3880617618560791,False
S001,S001-Q013,9b4b60a1-f0f9-5368-b4ce-b441752321bb,S001-Q006,原 Production Add Prompt + 原始问题直接检索,原 Production Add Prompt,原始问题直接检索,7,0.4383961260318756,False
S001,S001-Q014,f99dbe58-f286-568d-b1fe-f1ebe59c0e0a,S001-Q008,原 Production Add Prompt + 原始问题直接检索,原 Production Add Prompt,原始问题直接检索,1,0.6648146510124207,True
S001,S001-Q021,f1228bac-12d1-520f-9787-52a8cdcd49db,S001-Q015,原 Production Add Prompt + 原始问题直接检索,原 Production Add Prompt,原始问题直接检索,6,0.5378081798553467,False
S001,S001-Q022,34fa3574-894f-575c-b9b0-0a183473746e,S001-Q012,原 Production Add Prompt + 原始问题直接检索,原 Production Add Prompt,原始问题直接检索,16,0.5138569474220276,False
S001,S001-Q022,55e7e466-3b1c-5014-85fc-2a14618ce254,S001-Q018,原 Production Add Prompt + 原始问题直接检索,原 Production Add Prompt,原始问题直接检索,13,0.5241682529449463,False
S001,S001-Q026,289ba3d6-8b24-5c77-8df9-7af211ee1007,S001-Q014,原 Production Add Prompt + 原始问题直接检索,原 Production Add Prompt,原始问题直接检索,21,0.3901694118976593,False
S001,S001-Q026,88e975b7-0f5a-5f5c-98ce-e461dcab93b8,S001-Q019,原 Production Add Prompt + 原始问题直接检索,原 Production Add Prompt,原始问题直接检索,4,0.4946797788143158,True
S001,S001-Q028,44777fdf-abd5-5570-b0aa-8e3f1cb44000,S001-Q022,原 Production Add Prompt + 原始问题直接检索,原 Production Add Prompt,原始问题直接检索,2,0.48575401306152344,True
S001,S001-Q033,d5c03971-3795-5256-a75f-b3921d61a92d,S001-Q023,原 Production Add Prompt + 原始问题直接检索,原 Production Add Prompt,原始问题直接检索,2,0.5201343297958374,True
S001,S001-Q033,b4497adc-7393-57c0-8917-ce3372fbd151,S001-Q029,原 Production Add Prompt + 原始问题直接检索,原 Production Add Prompt,原始问题直接检索,20,0.4486255347728729,False
S001,S001-Q035,b4497adc-7393-57c0-8917-ce3372fbd151,S001-Q029,原 Production Add Prompt + 原始问题直接检索,原 Production Add Prompt,原始问题直接检索,27,0.38482916355133057,False
S001,S001-Q039,31eb0f30-7b80-5d07-8ba6-bc6a6a24cb62,S001-Q027,原 Production Add Prompt + 原始问题直接检索,原 Production Add Prompt,原始问题直接检索,3,0.49549949169158936,True
S001,S001-Q039,c107828c-a741-55f6-8e0c-446cfbdba215,S001-Q032,原 Production Add Prompt + 原始问题直接检索,原 Production Add Prompt,原始问题直接检索,11,0.4700566232204437,False
S001,S001-Q042,0ec56d0d-4e11-511a-9b98-5f6bddfc2dcc,S001-Q036,原 Production Add Prompt + 原始问题直接检索,原 Production Add Prompt,原始问题直接检索,6,0.524163007736206,False
