comparison,session_id,query_id,transition,before_gold_ranks,after_gold_ranks,promoted_gold,demoted_gold,top5_page_ids_identical,候选 Add Prompt
候选一：关系解析优先，禁止上下文事实扩写 vs 当前前后文 Prompt（主要基线）,S002,S002-Q007,UNCHANGED_HIT,"{""f70d87dd-c4b9-59de-a761-869308b1818b"": 3}","{""f70d87dd-c4b9-59de-a761-869308b1818b"": 3}",0,0,False,候选一：关系解析优先，禁止上下文事实扩写
候选一：关系解析优先，禁止上下文事实扩写 vs 当前前后文 Prompt（主要基线）,S002,S002-Q011,UNCHANGED_HIT,"{""f70d87dd-c4b9-59de-a761-869308b1818b"": 7, ""03c3981b-3b09-56ca-a545-043c8ff0d240"": 5}","{""f70d87dd-c4b9-59de-a761-869308b1818b"": 7, ""03c3981b-3b09-56ca-a545-043c8ff0d240"": 2}",0,0,False,候选一：关系解析优先，禁止上下文事实扩写
候选一：关系解析优先，禁止上下文事实扩写 vs 当前前后文 Prompt（主要基线）,S002,S002-Q013,UNCHANGED_HIT,"{""f70d87dd-c4b9-59de-a761-869308b1818b"": 9, ""a6c0000c-f234-59a1-b6e5-1283680d9b77"": 5}","{""f70d87dd-c4b9-59de-a761-869308b1818b"": 9, ""a6c0000c-f234-59a1-b6e5-1283680d9b77"": 4}",0,0,False,候选一：关系解析优先，禁止上下文事实扩写
候选一：关系解析优先，禁止上下文事实扩写 vs 当前前后文 Prompt（主要基线）,S002,S002-Q014,UNCHANGED_MISS,"{""37d568b0-90c6-5481-b7d9-e0101fd95e52"": 6}","{""37d568b0-90c6-5481-b7d9-e0101fd95e52"": 6}",0,0,False,候选一：关系解析优先，禁止上下文事实扩写
候选一：关系解析优先，禁止上下文事实扩写 vs 当前前后文 Prompt（主要基线）,S002,S002-Q021,UNCHANGED_MISS,"{""691ce2a8-c4c3-51f3-8cb7-32f42cdee99e"": 15}","{""691ce2a8-c4c3-51f3-8cb7-32f42cdee99e"": 10}",0,0,False,候选一：关系解析优先，禁止上下文事实扩写
候选一：关系解析优先，禁止上下文事实扩写 vs 当前前后文 Prompt（主要基线）,S002,S002-Q022,RESCUED,"{""4d8b4bb3-4a1f-538c-af07-cc0ce19ea796"": 11, ""b304ab57-b911-5070-88ba-fca4f39a37e8"": 7}","{""4d8b4bb3-4a1f-538c-af07-cc0ce19ea796"": 8, ""b304ab57-b911-5070-88ba-fca4f39a37e8"": 5}",1,0,False,候选一：关系解析优先，禁止上下文事实扩写
候选一：关系解析优先，禁止上下文事实扩写 vs 当前前后文 Prompt（主要基线）,S002,S002-Q026,UNCHANGED_MISS,"{""00ce1b35-d357-53e0-a42e-a8f97d4a07f0"": 8, ""e64218f2-62ce-555a-ba53-f3fd1214e0f7"": 10}","{""00ce1b35-d357-53e0-a42e-a8f97d4a07f0"": 6, ""e64218f2-62ce-555a-ba53-f3fd1214e0f7"": 18}",0,0,False,候选一：关系解析优先，禁止上下文事实扩写
候选一：关系解析优先，禁止上下文事实扩写 vs 当前前后文 Prompt（主要基线）,S002,S002-Q028,HURT,"{""42756865-0f8f-5dcc-a050-6ecec5b828ce"": 2}","{""42756865-0f8f-5dcc-a050-6ecec5b828ce"": 21}",0,1,False,候选一：关系解析优先，禁止上下文事实扩写
候选一：关系解析优先，禁止上下文事实扩写 vs 当前前后文 Prompt（主要基线）,S002,S002-Q033,UNCHANGED_HIT,"{""79860bb6-6010-5ca0-ac81-f4327e2bff44"": 2, ""893b3ae9-1f94-5436-8c6d-54e200693867"": 11}","{""79860bb6-6010-5ca0-ac81-f4327e2bff44"": 2, ""893b3ae9-1f94-5436-8c6d-54e200693867"": 27}",0,0,False,候选一：关系解析优先，禁止上下文事实扩写
候选一：关系解析优先，禁止上下文事实扩写 vs 当前前后文 Prompt（主要基线）,S002,S002-Q035,UNCHANGED_MISS,"{""893b3ae9-1f94-5436-8c6d-54e200693867"": 11}","{""893b3ae9-1f94-5436-8c6d-54e200693867"": 29}",0,0,False,候选一：关系解析优先，禁止上下文事实扩写
