session_id,query_id,prompt,original_query,resolved_query,state_content_additions,state_content_items,added_spans
S001,S001-Q007,P2,既然利润口径已经拆开，经营现金流是否支持刚才的盈利质量判断；请明确哪些是年报原数、哪些是计算结果。,既然利润口径已经拆开，经营现金流是否支持刚才的盈利质量判断（归母净利润呈先升后降）；请明确哪些是年报原数、哪些是计算结果。,1,"[{""surface_text"": ""先升后降"", ""canonical"": ""RISE_THEN_FALL"", ""detection_methods"": [""canonical_historical_conclusion_diff"", ""state_term_occurrence_delta"", ""added_span_alignment""], ""classification"": ""REFERENCE_REQUIRED""}]","[{""tag"": ""insert"", ""original_span"": """", ""resolved_span"": ""（归母净利润呈先升后降）"", ""start"": 29, ""end"": 41}]"
S001,S001-Q011,P2,前面的整体画像已经有了，接下来沿着营业收入把三年盈利路径拆开；请区分最新一年的边际变化和完整三年路径。,前面的整体画像已经有了，接下来沿着营业收入把三年盈利路径拆开；请区分最新一年的边际变化和完整三年路径。,0,[],[]
S001,S001-Q013,P2,上一轮的差异具体集中在哪个年度，能否把两段同比分别解释清楚；别只复述数字，要说明它和上一问的关系。,上一轮的差异（归母净利润呈先升后降，总资产呈连续上升）具体集中在哪个年度，能否把两段同比分别解释清楚；别只复述数字，要说明它和上一问（归母净利润与营业收入增减方向和幅度是否匹配）的关系。,3,"[{""surface_text"": ""先升后降"", ""canonical"": ""RISE_THEN_FALL"", ""detection_methods"": [""canonical_historical_conclusion_diff"", ""state_term_occurrence_delta"", ""added_span_alignment""], ""classification"": ""REFERENCE_REQUIRED""}, {""surface_text"": ""连续上升"", ""canonical"": ""CONTINUOUS_RISE"", ""detection_methods"": [""canonical_historical_conclusion_diff"", ""state_term_occurrence_delta"", ""added_span_alignment""], ""classification"": ""REFERENCE_REQUIRED""}, {""surface_text"": ""匹配"", ""canonical"": null, ""detection_methods"": [""state_term_occurrence_delta"", ""added_span_alignment""], ""classification"": null}]","[{""tag"": ""insert"", ""original_span"": """", ""resolved_span"": ""（归母净利润呈先升后降，总资产呈连续上升）"", ""start"": 6, ""end"": 27}, {""tag"": ""insert"", ""original_span"": """", ""resolved_span"": ""（归母净利润与营业收入增减方向和幅度是否匹配）"", ""start"": 66, ""end"": 89}]"
S001,S001-Q014,P2,接着加入扣非净利润，刚才看到的利润变化有多少属于持续经营口径；请先给结论，再说明三年依据。,接着加入扣非净利润，刚才看到的归母净利润变化有多少属于持续经营口径；请先给结论，再说明三年依据。,0,[],"[{""tag"": ""insert"", ""original_span"": """", ""resolved_span"": ""归母净"", ""start"": 15, ""end"": 18}]"
S001,S001-Q021,P2,沿着上一轮的盈利结论，接下来重点看经营现金流是否跟得上；请从当前岗位最关心的证据开始回答。,沿着上一轮的盈利结论（归母净利润呈先升后降，总资产呈连续上升），接下来重点看经营现金流是否跟得上；请从当前岗位最关心的证据开始回答。,2,"[{""surface_text"": ""先升后降"", ""canonical"": ""RISE_THEN_FALL"", ""detection_methods"": [""canonical_historical_conclusion_diff"", ""state_term_occurrence_delta"", ""added_span_alignment""], ""classification"": ""REFERENCE_REQUIRED""}, {""surface_text"": ""连续上升"", ""canonical"": ""CONTINUOUS_RISE"", ""detection_methods"": [""canonical_historical_conclusion_diff"", ""state_term_occurrence_delta"", ""added_span_alignment""], ""classification"": ""REFERENCE_REQUIRED""}]","[{""tag"": ""insert"", ""original_span"": """", ""resolved_span"": ""（归母净利润呈先升后降，总资产呈连续上升）"", ""start"": 10, ""end"": 31}]"
S001,S001-Q022,P2,刚才看到的现金流三年路径是连续变化还是中途反转；不要只比较2023年和2025年两个端点。,刚才看到的经营现金流三年路径是连续变化还是中途反转；不要只比较2023年和2025年两个端点。,0,[],"[{""tag"": ""insert"", ""original_span"": """", ""resolved_span"": ""经营"", ""start"": 5, ""end"": 7}]"
S001,S001-Q026,P2,再结合总资产变化，前面的现金表现更像效率问题还是只能确认存在错位；把口径限制放在结论里，不要另作假设。,再结合总资产变化，前面的现金表现（经营现金流与归母净利润逐年配对中错位最明显的年份）更像效率问题还是只能确认存在错位；把口径限制放在结论里，不要另作假设。,1,"[{""surface_text"": ""错位"", ""canonical"": null, ""detection_methods"": [""state_term_occurrence_delta""], ""classification"": null}]","[{""tag"": ""insert"", ""original_span"": """", ""resolved_span"": ""（经营现金流与归母净利润逐年配对中错位最明显的年份）"", ""start"": 16, ""end"": 42}]"
S001,S001-Q028,P2,我不想只听支持项，哪项前面已经出现的数字可能推翻现金质量结论；结论要能直接接到下一轮继续追问。,我不想只听支持项，哪项前面已经出现的数字可能推翻现金质量结论；结论要能直接接到下一轮继续追问。,0,[],[]
S001,S001-Q033,P2,基于上一轮的资产和权益原数，近似杠杆变化能说明什么、又不能说明什么；请把两段同比分开，不要合成一个趋势词。,基于上一轮的总资产和归母股东权益原数，近似杠杆变化能说明什么、又不能说明什么；请把两段同比分开，不要合成一个趋势词。,0,[],"[{""tag"": ""insert"", ""original_span"": """", ""resolved_span"": ""总"", ""start"": 6, ""end"": 7}, {""tag"": ""insert"", ""original_span"": """", ""resolved_span"": ""归母股东"", ""start"": 10, ""end"": 14}]"
S001,S001-Q035,P2,如果收入、资产和权益方向不一致，刚才的效率判断应当怎样表述；如果前面的判断需要修订，请直接指出。,如果收入、资产和权益方向不一致，刚才的资产承载效率判断应当怎样表述；如果前面的资产承载效率判断需要修订，请直接指出。,0,[],"[{""tag"": ""insert"", ""original_span"": """", ""resolved_span"": ""资产承载"", ""start"": 19, ""end"": 23}, {""tag"": ""insert"", ""original_span"": """", ""resolved_span"": ""资产承载效率"", ""start"": 39, ""end"": 45}]"
S001,S001-Q039,P2,如果要向管理层追问，前面的资产和权益变化应当转化成哪些可核实的问题；请从当前岗位最关心的证据开始回答。,如果要向管理层追问，前面的资产和权益变化应当转化成哪些可核实的问题；请从当前岗位最关心的证据开始回答。,0,[],[]
S001,S001-Q042,P2,刚才确认了来源，再检查三年比较数是否存在单位、主体或重述口径差异；把结论写得可以回到公开来源复算。,刚才确认了来源，再检查三年比较数是否存在单位、主体或重述口径差异；把结论写得可以回到公开来源复算。,0,[],[]
S001,S001-Q044,P2,刚才的三层证据中，哪些措辞已经超过事实本身能够支持的强度；把口径限制放在结论里，不要另作假设。,刚才的三层证据中，哪些措辞已经超过事实本身能够支持的强度；把口径限制放在结论里，不要另作假设。,0,[],[]
