session_id,query_id,turn_index,original_query,parsed_gold_groups,shortterm_hit,midterm_rank,longterm_hit,final_hit
S001,S001-Q001,0,先帮我梳理一下贵州茅台2023—2025年的主要财务变化。,[],[],[],[],[]
S001,S001-Q002,1,刚才先看了整体变化，接着确认一下年报来源、单位和三年比较口径是否一致；先说明能确认的事实，再说还不能确认的原因。,"[[""S001-Q001""]]",[true],[null],[false],[true]
S001,S001-Q003,2,口径确认后，把刚才提到的关键指标逐年列出来，哪一年变化最明显；请从当前岗位最关心的证据开始回答。,"[[""S001-Q002""]]",[true],[null],[false],[true]
S001,S001-Q004,3,沿着上一轮的年度变化看，收入规模和利润表现是同步的吗；不要只比较2023年和2025年两个端点。,"[[""S001-Q003""]]",[true],[null],[false],[true]
S001,S001-Q005,4,刚才如果识别出了拐点，它主要发生在2024年还是2025年；如果指标方向不同，请保留这种冲突。,"[[""S001-Q002""], [""S001-Q004""]]","[true, true]","[null, null]","[false, false]","[true, true]"
S001,S001-Q006,5,再把扣非净利润接进来，前面对盈利趋势的判断需要调整吗；把结论写得可以回到公开来源复算。,"[[""S001-Q005""]]",[true],[null],[false],[true]
S001,S001-Q007,6,既然利润口径已经拆开，经营现金流是否支持刚才的盈利质量判断；请明确哪些是年报原数、哪些是计算结果。,"[[""S001-Q001""], [""S001-Q006""]]","[false, true]","[3, null]","[true, false]","[true, true]"
S001,S001-Q008,7,把前面的现金和利润变化放到总资产路径里看，资产扩张得到经营结果支撑了吗；把口径限制放在结论里，不要另作假设。,"[[""S001-Q007""]]",[true],[null],[false],[true]
S001,S001-Q009,8,接着看股东权益，前面这些经营变化最终有没有转化为权益积累；把2024年这个中间点也保留下来。,"[[""S001-Q008""]]",[true],[null],[false],[true]
S001,S001-Q010,9,综合刚才几轮，如果现在写一段研究底稿，最稳妥的阶段性结论是什么；结论要能直接接到下一轮继续追问。,"[[""S001-Q007""], [""S001-Q009""]]","[true, true]","[null, null]","[false, false]","[true, true]"
S001,S001-Q011,10,前面的整体画像已经有了，接下来沿着营业收入把三年盈利路径拆开；请区分最新一年的边际变化和完整三年路径。,"[[""S001-Q001""], [""S001-Q007""], [""S001-Q010""]]","[false, false, true]","[4, 1, null]","[true, false, false]","[true, true, true]"
S001,S001-Q012,11,刚才看了收入，再看归母净利润，两者的增减方向和幅度匹配吗；回答时同时保留一项可能的反证。,"[[""S001-Q011""]]",[true],[null],[false],[true]
S001,S001-Q013,12,上一轮的差异具体集中在哪个年度，能否把两段同比分别解释清楚；别只复述数字，要说明它和上一问的关系。,"[[""S001-Q001""], [""S001-Q006""], [""S001-Q012""]]","[false, false, true]","[6, 5, null]","[true, false, false]","[true, true, true]"
