session_id,query_id,original_query,search_baseline_actual_embedding_text,search_p2_actual_embedding_text,comparison,before_config,after_config,gold_page_ids,before_gold_ranks,after_gold_ranks,transition,promoted_gold,demoted_gold,extreme_promotion_beyond20_to_top5,extreme_demotion_top5_to_beyond20,max_promotion,max_demotion
S001,S001-Q007,既然利润口径已经拆开，经营现金流是否支持刚才的盈利质量判断；请明确哪些是年报原数、哪些是计算结果。,既然利润口径已经拆开，经营现金流是否支持刚才的盈利质量判断；请明确哪些是年报原数、哪些是计算结果。,既然利润口径已经拆开，经营现金流是否支持刚才的盈利质量判断（归母净利润呈先升后降）；请明确哪些是年报原数、哪些是计算结果。,NewAdd vs OldAdd under Search-Baseline,OLD_BASE,NEW_BASE,"[""2631e802-75be-5089-9418-baece6a717cf""]","{""2631e802-75be-5089-9418-baece6a717cf"": 3}","{""2631e802-75be-5089-9418-baece6a717cf"": 3}",UNCHANGED_HIT,0,0,0,0,0,0
S001,S001-Q007,既然利润口径已经拆开，经营现金流是否支持刚才的盈利质量判断；请明确哪些是年报原数、哪些是计算结果。,既然利润口径已经拆开，经营现金流是否支持刚才的盈利质量判断；请明确哪些是年报原数、哪些是计算结果。,既然利润口径已经拆开，经营现金流是否支持刚才的盈利质量判断（归母净利润呈先升后降）；请明确哪些是年报原数、哪些是计算结果。,NewAdd vs OldAdd under Search-P2,OLD_P2,NEW_P2,"[""2631e802-75be-5089-9418-baece6a717cf""]","{""2631e802-75be-5089-9418-baece6a717cf"": 3}","{""2631e802-75be-5089-9418-baece6a717cf"": 3}",UNCHANGED_HIT,0,0,0,0,0,0
S001,S001-Q011,前面的整体画像已经有了，接下来沿着营业收入把三年盈利路径拆开；请区分最新一年的边际变化和完整三年路径。,前面的整体画像已经有了，接下来沿着营业收入把三年盈利路径拆开；请区分最新一年的边际变化和完整三年路径。,前面的整体画像已经有了，接下来沿着营业收入把三年盈利路径拆开；请区分最新一年的边际变化和完整三年路径。,NewAdd vs OldAdd under Search-Baseline,OLD_BASE,NEW_BASE,"[""2631e802-75be-5089-9418-baece6a717cf"", ""dc12b285-c21d-5cfe-84a2-d016fce5ffe6""]","{""2631e802-75be-5089-9418-baece6a717cf"": 6, ""dc12b285-c21d-5cfe-84a2-d016fce5ffe6"": 1}","{""2631e802-75be-5089-9418-baece6a717cf"": 7, ""dc12b285-c21d-5cfe-84a2-d016fce5ffe6"": 1}",UNCHANGED_HIT,0,0,0,0,0,1
S001,S001-Q011,前面的整体画像已经有了，接下来沿着营业收入把三年盈利路径拆开；请区分最新一年的边际变化和完整三年路径。,前面的整体画像已经有了，接下来沿着营业收入把三年盈利路径拆开；请区分最新一年的边际变化和完整三年路径。,前面的整体画像已经有了，接下来沿着营业收入把三年盈利路径拆开；请区分最新一年的边际变化和完整三年路径。,NewAdd vs OldAdd under Search-P2,OLD_P2,NEW_P2,"[""2631e802-75be-5089-9418-baece6a717cf"", ""dc12b285-c21d-5cfe-84a2-d016fce5ffe6""]","{""2631e802-75be-5089-9418-baece6a717cf"": 6, ""dc12b285-c21d-5cfe-84a2-d016fce5ffe6"": 1}","{""2631e802-75be-5089-9418-baece6a717cf"": 7, ""dc12b285-c21d-5cfe-84a2-d016fce5ffe6"": 1}",UNCHANGED_HIT,0,0,0,0,0,1
S001,S001-Q013,上一轮的差异具体集中在哪个年度，能否把两段同比分别解释清楚；别只复述数字，要说明它和上一问的关系。,上一轮的差异具体集中在哪个年度，能否把两段同比分别解释清楚；别只复述数字，要说明它和上一问的关系。,上一轮的差异（归母净利润呈先升后降，总资产呈连续上升）具体集中在哪个年度，能否把两段同比分别解释清楚；别只复述数字，要说明它和上一问（归母净利润与营业收入增减方向和幅度是否匹配）的关系。,NewAdd vs OldAdd under Search-Baseline,OLD_BASE,NEW_BASE,"[""2631e802-75be-5089-9418-baece6a717cf"", ""9b4b60a1-f0f9-5368-b4ce-b441752321bb""]","{""2631e802-75be-5089-9418-baece6a717cf"": 9, ""9b4b60a1-f0f9-5368-b4ce-b441752321bb"": 7}","{""2631e802-75be-5089-9418-baece6a717cf"": 9, ""9b4b60a1-f0f9-5368-b4ce-b441752321bb"": 8}",UNCHANGED_MISS,0,0,0,0,0,1
S001,S001-Q013,上一轮的差异具体集中在哪个年度，能否把两段同比分别解释清楚；别只复述数字，要说明它和上一问的关系。,上一轮的差异具体集中在哪个年度，能否把两段同比分别解释清楚；别只复述数字，要说明它和上一问的关系。,上一轮的差异（归母净利润呈先升后降，总资产呈连续上升）具体集中在哪个年度，能否把两段同比分别解释清楚；别只复述数字，要说明它和上一问（归母净利润与营业收入增减方向和幅度是否匹配）的关系。,NewAdd vs OldAdd under Search-P2,OLD_P2,NEW_P2,"[""2631e802-75be-5089-9418-baece6a717cf"", ""9b4b60a1-f0f9-5368-b4ce-b441752321bb""]","{""2631e802-75be-5089-9418-baece6a717cf"": 9, ""9b4b60a1-f0f9-5368-b4ce-b441752321bb"": 3}","{""2631e802-75be-5089-9418-baece6a717cf"": 9, ""9b4b60a1-f0f9-5368-b4ce-b441752321bb"": 8}",HURT,0,1,0,0,0,5
S001,S001-Q014,接着加入扣非净利润，刚才看到的利润变化有多少属于持续经营口径；请先给结论，再说明三年依据。,接着加入扣非净利润，刚才看到的利润变化有多少属于持续经营口径；请先给结论，再说明三年依据。,接着加入扣非净利润，刚才看到的归母净利润变化有多少属于持续经营口径；请先给结论，再说明三年依据。,NewAdd vs OldAdd under Search-Baseline,OLD_BASE,NEW_BASE,"[""f99dbe58-f286-568d-b1fe-f1ebe59c0e0a""]","{""f99dbe58-f286-568d-b1fe-f1ebe59c0e0a"": 1}","{""f99dbe58-f286-568d-b1fe-f1ebe59c0e0a"": 1}",UNCHANGED_HIT,0,0,0,0,0,0
S001,S001-Q014,接着加入扣非净利润，刚才看到的利润变化有多少属于持续经营口径；请先给结论，再说明三年依据。,接着加入扣非净利润，刚才看到的利润变化有多少属于持续经营口径；请先给结论，再说明三年依据。,接着加入扣非净利润，刚才看到的归母净利润变化有多少属于持续经营口径；请先给结论，再说明三年依据。,NewAdd vs OldAdd under Search-P2,OLD_P2,NEW_P2,"[""f99dbe58-f286-568d-b1fe-f1ebe59c0e0a""]","{""f99dbe58-f286-568d-b1fe-f1ebe59c0e0a"": 3}","{""f99dbe58-f286-568d-b1fe-f1ebe59c0e0a"": 1}",UNCHANGED_HIT,0,0,0,0,2,-2
S001,S001-Q021,沿着上一轮的盈利结论，接下来重点看经营现金流是否跟得上；请从当前岗位最关心的证据开始回答。,沿着上一轮的盈利结论，接下来重点看经营现金流是否跟得上；请从当前岗位最关心的证据开始回答。,沿着上一轮的盈利结论（归母净利润呈先升后降，总资产呈连续上升），接下来重点看经营现金流是否跟得上；请从当前岗位最关心的证据开始回答。,NewAdd vs OldAdd under Search-Baseline,OLD_BASE,NEW_BASE,"[""f1228bac-12d1-520f-9787-52a8cdcd49db""]","{""f1228bac-12d1-520f-9787-52a8cdcd49db"": 6}","{""f1228bac-12d1-520f-9787-52a8cdcd49db"": 10}",UNCHANGED_MISS,0,0,0,0,-4,4
S001,S001-Q021,沿着上一轮的盈利结论，接下来重点看经营现金流是否跟得上；请从当前岗位最关心的证据开始回答。,沿着上一轮的盈利结论，接下来重点看经营现金流是否跟得上；请从当前岗位最关心的证据开始回答。,沿着上一轮的盈利结论（归母净利润呈先升后降，总资产呈连续上升），接下来重点看经营现金流是否跟得上；请从当前岗位最关心的证据开始回答。,NewAdd vs OldAdd under Search-P2,OLD_P2,NEW_P2,"[""f1228bac-12d1-520f-9787-52a8cdcd49db""]","{""f1228bac-12d1-520f-9787-52a8cdcd49db"": 6}","{""f1228bac-12d1-520f-9787-52a8cdcd49db"": 11}",UNCHANGED_MISS,0,0,0,0,-5,5
