query_turn,gold_turn,current_query_current_page_rank,current_query_new_page_rank,oracle_query_current_page_rank,oracle_query_new_page_rank,page_rescue_top5,query_rescue_top5,joint_rescue_top5,root_cause_2x2,ranking_primary_reason,ranking_secondary_reason,ranking_explanation,prior_dataset_verdict,prior_semantic_equivalent
S001-Q013,S001-Q001,9,9,4,1,False,True,True,QUERY_PRIMARY,B_SURFACE_KEYWORD,A_COMMON_TERMS,"The top-ranked page (S001-Q004) shares more surface-level keywords with the current query, particularly '同比' and '年度', which appear frequently in its summary and keywords. The query asks to explain '两段同比' and '年度', and the top page explicitly discusses year-over-year changes for each year, making it a strong lexical match. In contrast, the gold page (S001-Q001) provides the same data but frames it as a general overview, with less emphasis on the specific '两段同比' phrasing. Additionally, both pages contain common financial terms like '营业收入' and '归母净利润', but the top page's summary is more aligned with the query's focus on year-by-year comparison, leading to a higher cosine score despite the gold page being the actual intended reference.",CORRECT,False
S001-Q013,S001-Q006,7,6,1,2,False,True,True,QUERY_PRIMARY,B_SURFACE_KEYWORD,A_COMMON_TERMS,"The current query asks for a detailed explanation of year-over-year differences and their relation to the previous question, but it does not explicitly mention '扣非净利润' or '盈利趋势' which are central to the Gold summary. Instead, the query uses generic terms like '年度', '同比', '两段同比', and '上一问' that appear frequently in the top-ranked pages (e.g., S001-Q004, S001-Q005, S001-Q003) which discuss year-over-year changes and trends. These pages have higher surface keyword overlap with the query, leading to higher cosine scores. Additionally, the Gold summary contains many common financial terms (e.g., '营业收入', '归母净利润', '同比') that are also present in other pages, diluting its distinctiveness. The Gold's unique concept '扣非净利润' is not reflected in the query, so it does not contribute to matching. Thus, the error pages rank higher due to surface keyword overlap and common term dilution.",CORRECT,False
S001-Q021,S001-Q015,9,15,1,1,False,True,True,DATASET,B_SURFACE_KEYWORD,A_COMMON_TERMS,"The error page (S001-Q007) ranks higher because it shares more surface-level keywords with the current query, particularly '经营现金流' and '盈利结论' (via '盈利质量'). The gold page (S001-Q015) is about '近似利润率' and '同比', which are not explicitly mentioned in the query, so its embedding similarity is lower. Additionally, both the query and the error page contain common financial terms like '经营现金流' and '盈利', which inflate the cosine score due to term overlap, while the gold page's summary lacks these specific terms, making it less aligned with the query's surface form.",WRONG_TURN,False
S001-Q022,S001-Q012,8,11,2,1,False,True,True,QUERY_PRIMARY,B_SURFACE_KEYWORD,A_COMMON_TERMS,"The current query explicitly asks about '现金流三年路径' (cash flow three-year path) and whether it is '连续变化还是中途反转' (continuous change or reversal). The top-1 page (S001-Q007) directly addresses '经营现金流' (operating cash flow) and mentions '三年完整财年' (three complete fiscal years), sharing the key surface terms '现金流' and '三年' with the query. In contrast, the gold page (S001-Q012) is about comparing revenue and net profit, with no mention of cash flow, so it lacks the surface keyword '现金流' that the query emphasizes. Additionally, both the query and the top-1 page use common financial terms like '三年' and '路径', which further inflate the cosine similarity. The gold page's summary and keywords do not include '现金流', making it less aligned with the query's surface form. Thus, the top-1 page ranks higher due to surface keyword overlap and common financial terminology, despite the gold page being the actual target for this turn.",CORRECT,False
S001-Q022,S001-Q018,16,14,7,3,False,False,True,BOTH,B_SURFACE_KEYWORD,A_COMMON_TERMS,错误 Page（如 S001-Q007、S001-Q017）的 summary 中大量出现 '2023—2025'、'营业收入'、'归母股东权益'、'同比'、'连续上升'、'先升后降' 等与 current_query 表面词（'现金流三年路径'、'连续变化'、'中途反转'、'2023年和2025年'）直接重叠的术语，导致 cosine 得分偏高。而 Gold summary 虽然也包含这些财务术语，但其核心概念是 '反向验证' 和 '削弱结论'，与 query 的 '现金流路径' 主题匹配度较低，且 Gold keywords 中缺少 '现金流'、'路径'、'反转' 等关键概念，导致 Gold 得分低于错误 Page。此外，错误 Page 中 '2023—2025'、'同比' 等通用财务术语重复过多，进一步拉高了表面相似度。,CORRECT,False
S001-Q026,S001-Q014,18,18,1,1,False,True,True,QUERY_PRIMARY,B_SURFACE_KEYWORD,A_COMMON_TERMS,"The error pages (especially S001-Q008 and S001-Q016) share more surface keywords with the current query, such as '总资产', '现金', '口径限制', and '结论', which inflate their cosine scores. The gold summary focuses on '扣非净利润' and '持续经营口径' but does not explicitly address '现金表现' or '效率问题', so it misses the query's core concepts. Additionally, the gold summary contains many common financial terms like '营业收入', '归母净利润', and '总资产' that are diluted across all pages, reducing its distinctiveness. The query's anaphoric references ('前面的现金表现') also make it harder for the gold page to match, but the primary issue is the surface keyword overlap with error pages.",CORRECT,False
S001-Q028,S001-Q022,10,4,4,1,True,True,True,BOTH,F_USER_SIGNAL_DILUTED,B_SURFACE_KEYWORD,Gold summary 虽然包含“经营现金流”一词，但被大量财务数据（营收、权益、同比）稀释，导致其 embedding 偏向公共财务信息，而非用户问题中强调的“现金流路径”和“反证”意图。错误 Page（如 rank 1）的 summary 明确提及“经营现金流”和“盈利质量判断”，与 query 表面词“现金流”“现金质量结论”更接近，因此 cosine score 更高。此外，query 中的“支持项”“推翻”等指令性词汇在 Gold summary 中未得到强化，而错误 Page 的 summary 更直接体现验证逻辑，进一步拉大差距。,CORRECT,False
S001-Q033,S001-Q023,6,20,1,1,False,True,True,QUERY_PRIMARY,B_SURFACE_KEYWORD,A_COMMON_TERMS,错误Page（如S001-Q016和S001-Q015）的summary中大量出现'总资产'、'归母股东权益'、'同比'等与当前query直接相关的表面词，且这些词在query中也有出现（如'资产和权益原数'、'两段同比'），导致余弦相似度较高。而Gold summary虽然包含'归母股东权益'和'同比'，但核心是'现金流与归母净利润配对'和'数据缺失'，与query的'杠杆变化'主题匹配较弱，且缺少'杠杆'这一关键概念，因此得分较低。此外，错误Page和Gold都包含大量通用财务术语（如'贵州茅台'、'2023-2025'、'同比'），进一步稀释了Gold的区分度。,CORRECT,False
S001-Q035,S001-Q029,7,22,1,1,False,True,True,QUERY_PRIMARY,G_QUERY_ANAPHORIC,B_SURFACE_KEYWORD,当前 query 是典型的指代化问题，依赖前文语境（如'刚才的效率判断'、'前面的判断'），而 Gold Page 的表示（summary 和 keywords）主要围绕'现金风险排序'等具体主题，未能与 query 中的指代表述建立直接联系，导致语义匹配不足。相反，错误 Page S001-Q017 的 user_input 和 summary 中包含了与 query 相同的表面词（如'修订'、'判断'），且其内容涉及'基期选择'和'盈利叙事'，与 query 中'收入、资产和权益方向不一致'的讨论高度相关，因此其 cosine score 高于 Gold。,CORRECT,False
S001-Q039,S001-Q027,19,3,8,1,True,False,True,PAGE_PROMPT_PRIMARY,B_SURFACE_KEYWORD,A_COMMON_TERMS,错误 Page 与 Query 共享更多表面关键词，如 '资产'、'权益'、'变化'、'判断' 等，导致 cosine score 更高。同时，错误 Page 的 summary 中大量重复 '营业收入'、'总资产'、'归母股东权益' 等通用财务术语，进一步拉高相似度。Gold summary 虽然包含核心财务数据，但 Query 中 '可核实的问题' 和 '追问' 的意图在 Gold summary 中表达较弱，且 Gold keywords 未突出这些关键概念，导致 Gold 排名靠后。,CORRECT,False
