session_id,sheet_name,turn_id,turn_index,needs_history,evaluated,long_range,dependency_type,max_lookback,dependency_distances,gold_turn_ids,required_context,error,build_total_ms,retrieve_context_ms,cross_session_leak_turn_ids,future_turn_leak_turn_ids,cross_session_leak_count,future_turn_leak_count,short_retrieved_turn_ids,mid_page_retrieved_turn_ids,mid_session_retrieved_turn_ids,mid_retrieved_turn_ids,long_retrieved_turn_ids,mid_long_retrieved_turn_ids,all_retrieved_turn_ids,add_submit_ms,migration_job_id,profile_job_id,evicted_turn_ids,short_recall,short_precision,short_hit,short_full_recall,short_mrr,short_gold_count,short_retrieved_count,short_matched_count,mid_page_recall,mid_page_precision,mid_page_hit,mid_page_full_recall,mid_page_mrr,mid_page_gold_count,mid_page_retrieved_count,mid_page_matched_count,mid_session_recall,mid_session_precision,mid_session_hit,mid_session_full_recall,mid_session_mrr,mid_session_gold_count,mid_session_retrieved_count,mid_session_matched_count,mid_recall,mid_precision,mid_hit,mid_full_recall,mid_mrr,mid_gold_count,mid_retrieved_count,mid_matched_count,long_recall,long_precision,long_hit,long_full_recall,long_mrr,long_gold_count,long_retrieved_count,long_matched_count,mid_long_recall,mid_long_precision,mid_long_hit,mid_long_full_recall,mid_long_mrr,mid_long_gold_count,mid_long_retrieved_count,mid_long_matched_count,all_recall,all_precision,all_hit,all_full_recall,all_mrr,all_gold_count,all_retrieved_count,all_matched_count
S005_宁德时代_合规,S005_宁德时代_合规,S005-Q001,0,False,False,False,独立问题,0,,,无需前文；当前问题可独立回答,,4937.362849988858,4937.250849994598,,,0,0,,,,,,,,11.089901003288105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S005_宁德时代_合规,S005_宁德时代_合规,S005-Q002,1,True,False,False,相邻承接,1,1,S005-Q001,S005-Q001提供当前问题所指向的前序结论或事实依据,,38.725003993022256,38.54240399959963,,,0,0,S005-Q001,,,,,,S005-Q001,107.09011201106478,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S005_宁德时代_合规,S005_宁德时代_合规,S005-Q003,2,True,False,False,相邻承接,1,1,S005-Q002,S005-Q002提供当前问题所指向的前序结论或事实依据,,101.51341099117417,101.30171100900043,,,0,0,S005-Q001|S005-Q002,,,,,,S005-Q001|S005-Q002,10.345001996029168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S005_宁德时代_合规,S005_宁德时代_合规,S005-Q004,3,True,False,False,相邻承接,1,1,S005-Q003,S005-Q003提供当前问题所指向的前序结论或事实依据,,33.33330301393289,33.08950300561264,,,0,0,S005-Q001|S005-Q002|S005-Q003,,,,,,S005-Q001|S005-Q002|S005-Q003,110.31621298752725,1778628b-939c-4365-85f7-cfc9bffde6ec,,S005-Q001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S005_宁德时代_合规,S005_宁德时代_合规,S005-Q005,4,True,False,False,相邻承接,1,1,S005-Q004,S005-Q004提供当前问题所指向的前序结论或事实依据,,129.6385140012717,129.2471140041016,,,0,0,S005-Q001|S005-Q002|S005-Q003|S005-Q004,,,,,,S005-Q001|S005-Q002|S005-Q003|S005-Q004,12.36620100098662,014ef92b-7189-4359-a18e-1fe9f29006ea,,S005-Q002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S005_宁德时代_合规,S005_宁德时代_合规,S005-Q006,5,True,True,True,历史回溯,5,5,S005-Q001,S005-Q001提供五轮前关于【先帮我梳理一下宁德时代2023—2025年的主要财务变化】的已确认结论、三年原数及口径限制；缺少该信息无法完成本轮要求的跨轮对照与结论承接。,,407.26473499671556,379.72763199650217,,,0,0,S005-Q003|S005-Q004|S005-Q005,S005-Q001|S005-Q002,S005-Q001|S005-Q002,S005-Q001|S005-Q002,S005-Q001|S005-Q002,S005-Q001|S005-Q002,S005-Q003|S005-Q004|S005-Q005|S005-Q001|S005-Q002,262.73552200291306,db78f866-4716-4396-a186-062ba45829e9,,S005-Q003,0.0,0.0,0,0,0.0,1,3,0,1.0,0.5,1,1,1.0,1,2,1,1.0,0.5,1,1,1.0,1,2,1,1.0,0.5,1,1,1.0,1,2,1,1.0,0.5,1,1,1.0,1,2,1,1.0,0.5,1,1,1.0,1,2,1,1.0,0.2,1,1,0.25,1,5,1
S005_宁德时代_合规,S005_宁德时代_合规,S005-Q007,6,True,False,False,相邻承接,1,1,S005-Q006,S005-Q006提供当前问题所指向的前序结论或事实依据,,458.7234389910009,457.95243899920024,,,0,0,S005-Q003|S005-Q004|S005-Q005|S005-Q006,S005-Q001|S005-Q002,S005-Q001|S005-Q002,S005-Q001|S005-Q002,S005-Q001|S005-Q002,S005-Q001|S005-Q002,S005-Q003|S005-Q004|S005-Q005|S005-Q006|S005-Q001|S005-Q002,138.76361199072562,119ac4e8-e0d6-4d2a-aff2-fd209e2e5dd1,,S005-Q004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S005_宁德时代_合规,S005_宁德时代_合规,S005-Q008,7,True,True,True,历史回溯,5,5,S005-Q003,S005-Q003提供五轮前关于【口径确认后，把刚才提到的关键指标逐年列出来，哪一年变化最明显】的已确认结论、三年原数及口径限制；缺少该信息无法完成本轮要求的跨轮对照与结论承接。,,341.39680401131045,340.6470039917622,,,0,0,S005-Q005|S005-Q006|S005-Q007,S005-Q003|S005-Q004|S005-Q001|S005-Q002,S005-Q001|S005-Q002|S005-Q003|S005-Q004,S005-Q003|S005-Q004|S005-Q001|S005-Q002,S005-Q003|S005-Q001|S005-Q004,S005-Q003|S005-Q004|S005-Q001|S005-Q002,S005-Q005|S005-Q006|S005-Q007|S005-Q003|S005-Q004|S005-Q001|S005-Q002,164.77300200494938,3cbce8c2-352f-4f35-923f-68b47ef1cb68,,S005-Q005,0.0,0.0,0,0,0.0,1,3,0,1.0,0.25,1,1,1.0,1,4,1,1.0,0.25,1,1,0.3333333333333333,1,4,1,1.0,0.25,1,1,1.0,1,4,1,1.0,0.3333333333333333,1,1,1.0,1,3,1,1.0,0.25,1,1,1.0,1,4,1,1.0,0.14285714285714285,1,1,0.25,1,7,1
S005_宁德时代_合规,S005_宁德时代_合规,S005-Q009,8,True,False,False,相邻承接,1,1,S005-Q008,S005-Q008提供当前问题所指向的前序结论或事实依据,,742.5537100061774,741.7838099936489,,,0,0,S005-Q005|S005-Q006|S005-Q007|S005-Q008,S005-Q003|S005-Q001|S005-Q002|S005-Q004,S005-Q001|S005-Q002|S005-Q003|S005-Q004,S005-Q003|S005-Q001|S005-Q002|S005-Q004,S005-Q001|S005-Q002|S005-Q003,S005-Q003|S005-Q001|S005-Q002|S005-Q004,S005-Q005|S005-Q006|S005-Q007|S005-Q008|S005-Q003|S005-Q001|S005-Q002|S005-Q004,106.73560100258328,28466be0-af46-4d12-8c5e-86a4fbdb1807,,S005-Q006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S005_宁德时代_合规,S005_宁德时代_合规,S005-Q010,9,True,True,True,历史回溯,5,5,S005-Q005,S005-Q005提供五轮前关于【如果识别出了拐点，它主要发生在2024年还是2025年】的已确认结论、三年原数及口径限制；缺少该信息无法完成本轮要求的跨轮对照与结论承接。,,75.68090000131633,75.18529999651946,,,0,0,S005-Q007|S005-Q008|S005-Q009,S005-Q005|S005-Q006|S005-Q003|S005-Q002|S005-Q001,S005-Q001|S005-Q002|S005-Q003|S005-Q004|S005-Q005|S005-Q006,S005-Q005|S005-Q006|S005-Q003|S005-Q002|S005-Q001|S005-Q004,S005-Q005|S005-Q006|S005-Q001|S005-Q002,S005-Q005|S005-Q006|S005-Q003|S005-Q002|S005-Q001|S005-Q004,S005-Q007|S005-Q008|S005-Q009|S005-Q005|S005-Q006|S005-Q003|S005-Q002|S005-Q001|S005-Q004,13.525800008210354,486974d6-68c7-46e5-85a0-91750e5ef7bb,,S005-Q007,0.0,0.0,0,0,0.0,1,3,0,1.0,0.2,1,1,1.0,1,5,1,1.0,0.16666666666666666,1,1,0.2,1,6,1,1.0,0.16666666666666666,1,1,1.0,1,6,1,1.0,0.25,1,1,1.0,1,4,1,1.0,0.16666666666666666,1,1,1.0,1,6,1,1.0,0.1111111111111111,1,1,0.25,1,9,1
