session_id,source_turn_id,候选 Add Prompt,Production keywords,Candidate keywords,Added keywords,Lost keywords,Keyword Jaccard,Exact ordered match
S001,S001-Q001,最小改动 Add Prompt,"[""贵州茅台"", ""2023-2025"", ""财务变化"", ""营业收入"", ""归母净利润"", ""总资产"", ""归母股东权益"", ""同比""]","[""贵州茅台"", ""2023-2025"", ""财务变化"", ""营业收入"", ""归母净利润"", ""总资产"", ""归母股东权益"", ""同比""]",[],[],1.0,True
S001,S001-Q002,最小改动 Add Prompt,"[""贵州茅台"", ""2023-2025"", ""年报"", ""营业收入"", ""归母净利润"", ""总资产"", ""归母股东权益"", ""同比""]","[""贵州茅台"", ""2023-2025"", ""年报来源"", ""口径一致性"", ""营业收入"", ""归母净利润"", ""总资产"", ""归母股东权益""]","[""口径一致性"", ""年报来源""]","[""同比"", ""年报""]",0.6,False
S001,S001-Q003,最小改动 Add Prompt,"[""贵州茅台"", ""2023-2025"", ""营业收入"", ""归母股东权益"", ""同比"", ""拐点"", ""权益研究员"", ""年报来源""]","[""贵州茅台"", ""2023-2025"", ""营业收入"", ""归母股东权益"", ""同比"", ""拐点"", ""年度报告"", ""权益研究员""]","[""年度报告""]","[""年报来源""]",0.7777777777777778,False
S001,S001-Q004,最小改动 Add Prompt,"[""贵州茅台"", ""2023-2025"", ""收入"", ""归母净利润"", ""总资产"", ""同比"", ""先升后降"", ""连续上升""]","[""贵州茅台"", ""2023-2025"", ""收入利润同步性"", ""归母净利润"", ""总资产"", ""同比分析"", ""年度报告"", ""权益研究""]","[""同比分析"", ""年度报告"", ""收入利润同步性"", ""权益研究""]","[""先升后降"", ""同比"", ""收入"", ""连续上升""]",0.3333333333333333,False
S001,S001-Q005,最小改动 Add Prompt,"[""贵州茅台"", ""2023-2025"", ""拐点"", ""归母净利润"", ""总资产"", ""同比"", ""年度报告"", ""权益研究员""]","[""贵州茅台"", ""2023-2025"", ""拐点"", ""归母净利润"", ""总资产"", ""同比"", ""年报"", ""权益研究员""]","[""年报""]","[""年度报告""]",0.7777777777777778,False
S001,S001-Q006,最小改动 Add Prompt,"[""贵州茅台"", ""2023-2025"", ""扣非净利润"", ""盈利趋势"", ""营业收入"", ""归母净利润"", ""归母股东权益"", ""同比""]","[""贵州茅台"", ""2023-2025"", ""扣非净利润"", ""盈利趋势"", ""归母股东权益"", ""营业收入"", ""同比"", ""年度报告""]","[""年度报告""]","[""归母净利润""]",0.7777777777777778,False
S001,S001-Q007,最小改动 Add Prompt,"[""贵州茅台"", ""2023-2025"", ""营业收入"", ""归母净利润"", ""归母股东权益"", ""经营现金流"", ""盈利质量"", ""年报原数""]","[""贵州茅台"", ""2023-2025"", ""营业收入"", ""归母股东权益"", ""经营现金流"", ""盈利质量"", ""年报原数"", ""计算结果""]","[""计算结果""]","[""归母净利润""]",0.7777777777777778,False
S001,S001-Q008,最小改动 Add Prompt,"[""贵州茅台"", ""2023-2025"", ""总资产"", ""归母净利润"", ""资产扩张"", ""经营支撑"", ""同比"", ""年度报告""]","[""贵州茅台"", ""2023-2025"", ""总资产"", ""归母净利润"", ""资产扩张"", ""经营支撑"", ""同比"", ""年度报告""]",[],[],1.0,True
S001,S001-Q009,最小改动 Add Prompt,"[""贵州茅台"", ""2023-2025"", ""股东权益"", ""归母净利润"", ""总资产"", ""同比"", ""权益积累"", ""年报分析""]","[""贵州茅台"", ""2023-2025"", ""股东权益"", ""总资产"", ""归母净利润"", ""同比"", ""权益积累"", ""年报分析""]",[],[],1.0,False
S001,S001-Q010,最小改动 Add Prompt,"[""贵州茅台"", ""2023-2025"", ""归母股东权益"", ""营业收入"", ""同比"", ""拐点"", ""年度报告"", ""研究底稿""]","[""贵州茅台"", ""2023-2025"", ""归母股东权益"", ""营业收入"", ""同比"", ""年报"", ""研究底稿"", ""阶段性结论""]","[""年报"", ""阶段性结论""]","[""年度报告"", ""拐点""]",0.6,False
S001,S001-Q011,最小改动 Add Prompt,"[""贵州茅台"", ""2023-2025"", ""营业收入"", ""归母净利润"", ""归母股东权益"", ""同比"", ""先升后降"", ""连续上升""]","[""贵州茅台"", ""2023-2025"", ""营业收入"", ""归母净利润"", ""归母股东权益"", ""三年路径"", ""边际变化"", ""同比""]","[""三年路径"", ""边际变化""]","[""先升后降"", ""连续上升""]",0.6,False
S001,S001-Q012,最小改动 Add Prompt,"[""贵州茅台"", ""2023-2025"", ""归母净利润"", ""总资产"", ""同比"", ""先升后降"", ""连续上升"", ""增长质量""]","[""贵州茅台"", ""2023-2025"", ""归母净利润"", ""总资产"", ""同比"", ""先升后降"", ""连续上升"", ""反证""]","[""反证""]","[""增长质量""]",0.7777777777777778,False
S001,S001-Q013,最小改动 Add Prompt,"[""贵州茅台"", ""2023-2025"", ""总资产"", ""归母净利润"", ""同比"", ""年度拐点"", ""年报"", ""权益研究员""]","[""贵州茅台"", ""2023-2025"", ""总资产"", ""归母净利润"", ""同比"", ""年度拐点"", ""年报"", ""权益研究员""]",[],[],1.0,True
S001,S001-Q014,最小改动 Add Prompt,"[""贵州茅台"", ""2023-2025"", ""归母净利润"", ""扣非净利润"", ""营业收入"", ""同比"", ""持续经营"", ""年报""]","[""贵州茅台"", ""2023-2025"", ""归母净利润"", ""扣非净利润"", ""营业收入"", ""归母股东权益"", ""同比分析"", ""年报数据""]","[""同比分析"", ""年报数据"", ""归母股东权益""]","[""同比"", ""年报"", ""持续经营""]",0.45454545454545453,False
S001,S001-Q015,最小改动 Add Prompt,"[""贵州茅台"", ""2023-2025"", ""营业收入"", ""归母股东权益"", ""同比"", ""先升后降"", ""连续上升"", ""年度报告""]","[""贵州茅台"", ""2023-2025"", ""营业收入"", ""归母股东权益"", ""同比"", ""先升后降"", ""连续上升"", ""年度报告""]",[],[],1.0,True
S001,S001-Q016,最小改动 Add Prompt,"[""贵州茅台"", ""2023-2025"", ""盈利指标"", ""归母净利润"", ""总资产"", ""同比"", ""数据缺口"", ""权益研究员""]","[""贵州茅台"", ""2023-2025"", ""盈利指标"", ""信号调和"", ""归母净利润"", ""总资产"", ""同比"", ""数据缺口""]","[""信号调和""]","[""权益研究员""]",0.7777777777777778,False
S001,S001-Q017,最小改动 Add Prompt,"[""贵州茅台"", ""2023-2025"", ""基期选择"", ""归母净利润"", ""总资产"", ""同比"", ""盈利叙事"", ""修订""]","[""贵州茅台"", ""2023-2025"", ""基期选择"", ""归母净利润"", ""总资产"", ""同比"", ""盈利叙事"", ""年度报告""]","[""年度报告""]","[""修订""]",0.7777777777777778,False
S001,S001-Q018,最小改动 Add Prompt,"[""贵州茅台"", ""2023-2025财年"", ""反证检验"", ""营业收入"", ""归母股东权益"", ""同比"", ""年度报告"", ""权益研究员""]","[""贵州茅台"", ""2023-2025财年"", ""归母股东权益"", ""营业收入"", ""归母净利润"", ""总资产"", ""反证检验"", ""年度报告""]","[""归母净利润"", ""总资产""]","[""同比"", ""权益研究员""]",0.6,False
S001,S001-Q019,最小改动 Add Prompt,"[""贵州茅台"", ""2023-2025"", ""营业收入"", ""归母股东权益"", ""先升后降"", ""连续上升"", ""反证检验"", ""表述修正""]","[""贵州茅台"", ""2023-2025财年"", ""营业收入"", ""归母股东权益"", ""同比"", ""先升后降"", ""连续上升"", ""反证""]","[""2023-2025财年"", ""反证"", ""同比""]","[""2023-2025"", ""反证检验"", ""表述修正""]",0.45454545454545453,False
S001,S001-Q020,最小改动 Add Prompt,"[""贵州茅台"", ""2023-2025"", ""盈利分析"", ""归母净利润"", ""总资产"", ""同比"", ""先升后降"", ""连续上升""]","[""贵州茅台"", ""2023-2025"", ""归母净利润"", ""总资产"", ""同比"", ""先升后降"", ""连续上升"", ""年报""]","[""年报""]","[""盈利分析""]",0.7777777777777778,False
S001,S001-Q021,最小改动 Add Prompt,"[""贵州茅台"", ""2023-2025"", ""经营现金流"", ""归母净利润"", ""总资产"", ""同比"", ""权益研究员"", ""盈利质量""]","[""贵州茅台"", ""2023-2025"", ""经营现金流"", ""归母净利润"", ""总资产"", ""同比"", ""权益研究员"", ""年度报告""]","[""年度报告""]","[""盈利质量""]",0.7777777777777778,False
S001,S001-Q022,最小改动 Add Prompt,"[""贵州茅台"", ""2023-2025"", ""现金流路径"", ""归母股东权益"", ""营业收入"", ""同比"", ""拐点"", ""年度报告""]","[""贵州茅台"", ""2023-2025"", ""现金流路径"", ""营业收入"", ""归母股东权益"", ""同比"", ""年度报告"", ""权益研究员""]","[""权益研究员""]","[""拐点""]",0.7777777777777778,False
S001,S001-Q023,最小改动 Add Prompt,"[""贵州茅台"", ""2023-2025"", ""营业收入"", ""归母净利润"", ""归母股东权益"", ""同比"", ""先升后降"", ""连续上升""]","[""贵州茅台"", ""2023-2025"", ""营业收入"", ""归母净利润"", ""归母股东权益"", ""同比"", ""先升后降"", ""连续上升""]",[],[],1.0,True
S001,S001-Q024,最小改动 Add Prompt,"[""贵州茅台"", ""2023-2025"", ""现金流与净利润比率"", ""归母净利润"", ""总资产"", ""同比"", ""先升后降"", ""连续上升""]","[""贵州茅台"", ""2023-2025"", ""现金流与净利润比率"", ""归母净利润"", ""总资产"", ""同比"", ""先升后降"", ""连续上升""]",[],[],1.0,True
S001,S001-Q025,最小改动 Add Prompt,"[""贵州茅台"", ""2023-2025"", ""年报原数"", ""同比增速"", ""总资产"", ""归母净利润"", ""年度拐点"", ""近似周转率""]","[""贵州茅台"", ""2023-2025"", ""三年趋势"", ""年报原数"", ""计算结果"", ""总资产"", ""归母净利润"", ""同比""]","[""三年趋势"", ""同比"", ""计算结果""]","[""同比增速"", ""年度拐点"", ""近似周转率""]",0.45454545454545453,False
S001,S001-Q026,最小改动 Add Prompt,"[""贵州茅台"", ""2023-2025"", ""总资产"", ""归母股东权益"", ""营业收入"", ""同比"", ""错位"", ""效率""]","[""贵州茅台"", ""2023-2025"", ""归母股东权益"", ""营业收入"", ""资产效率"", ""错位"", ""年报"", ""同比""]","[""年报"", ""资产效率""]","[""总资产"", ""效率""]",0.6,False
S001,S001-Q027,最小改动 Add Prompt,"[""贵州茅台"", ""2023-2025"", ""营业收入"", ""归母股东权益"", ""增长质量"", ""盈利可持续性"", ""资本回报"", ""同比""]","[""贵州茅台"", ""2023-2025"", ""营业收入"", ""归母股东权益"", ""增长质量"", ""盈利可持续性"", ""资本回报"", ""同比""]",[],[],1.0,True
S001,S001-Q028,最小改动 Add Prompt,"[""贵州茅台"", ""2023-2025"", ""归母净利润"", ""总资产"", ""反证"", ""现金质量"", ""先升后降"", ""连续上升""]","[""贵州茅台"", ""2023-2025"", ""归母净利润"", ""总资产"", ""反证"", ""现金质量"", ""增长质量"", ""同比""]","[""同比"", ""增长质量""]","[""先升后降"", ""连续上升""]",0.6,False
S001,S001-Q029,最小改动 Add Prompt,"[""贵州茅台"", ""2023-2025"", ""现金风险排序"", ""归母净利润"", ""总资产"", ""同比"", ""边际变化"", ""三年路径""]","[""贵州茅台"", ""2023-2025"", ""现金风险排序"", ""归母净利润"", ""总资产"", ""同比"", ""边际变化"", ""三年路径""]",[],[],1.0,True
S001,S001-Q030,最小改动 Add Prompt,"[""贵州茅台"", ""2023-2025"", ""营业收入"", ""归母净利润"", ""归母股东权益"", ""同比"", ""反证"", ""阶段小结""]","[""贵州茅台"", ""2023-2025"", ""归母股东权益"", ""营业收入"", ""同比"", ""先升后降"", ""连续上升"", ""年度报告""]","[""先升后降"", ""年度报告"", ""连续上升""]","[""反证"", ""归母净利润"", ""阶段小结""]",0.45454545454545453,False
S001,S001-Q031,最小改动 Add Prompt,"[""贵州茅台"", ""2023-2025"", ""总资产"", ""营业收入"", ""归母股东权益"", ""同比"", ""年度报告"", ""资产效率""]","[""贵州茅台"", ""2023-2025"", ""总资产"", ""营业收入"", ""归母股东权益"", ""同比变化"", ""资产效率"", ""年度报告""]","[""同比变化""]","[""同比""]",0.7777777777777778,False
S001,S001-Q032,最小改动 Add Prompt,"[""贵州茅台"", ""2023-2025"", ""总资产"", ""股东权益"", ""归母净利润"", ""同比"", ""同步性"", ""年度报告""]","[""贵州茅台"", ""2023-2025"", ""归母净利润"", ""总资产"", ""同步性"", ""同比"", ""年报"", ""权益研究员""]","[""年报"", ""权益研究员""]","[""年度报告"", ""股东权益""]",0.6,False
S001,S001-Q033,最小改动 Add Prompt,"[""贵州茅台"", ""2023-2025"", ""近似杠杆"", ""总资产"", ""归母净利润"", ""同比"", ""权益"", ""年报""]","[""贵州茅台"", ""2023-2025"", ""总资产"", ""归母净利润"", ""近似杠杆"", ""同比"", ""权益"", ""年报""]",[],[],1.0,False
